Matteo 1:1	Genealogia di Gesù Cristo figlio di Davide, figlio di Abrahamo.
Luca 2:7	ed ella diede alla luce il suo figlio primogenito, e lo fasciò, e lo pose a giacere in una mangiatoia perché non v’era posto per loro nell’albergo.
Luca 2:8	Ora, in quella medesima contrada c’erano dei pastori che stavano nei campi e facevano di notte la guardia al loro gregge.
Luca 2:9	E un angelo del Signore si presentò a loro e la gloria del Signore risplendette intorno a loro, e temettero di gran timore.
Luca 2:10	E l’angelo disse loro: “Non temete, perché ecco, vi reco il buon annuncio di una grande allegrezza che tutto il popolo avrà:
Luca 2:11	oggi, nella città di Davide, vi è nato un salvatore, che è Cristo, il Signore.
Luca 2:12	E questo vi servirà di segno: troverete un bambino fasciato e coricato in una mangiatoia”.
Luca 2:13	E a un tratto vi fu con l’angelo una moltitudine dell’esercito celeste, che lodava Dio e diceva:
Luca 2:14	“Gloria a Dio nei luoghi altissimi, pace in terra fra gli uomini che Egli gradisce!”.
Luca 2:15	E avvenne che quando gli angeli se ne furono andati da loro verso il cielo, i pastori presero a dire tra loro: “Passiamo fino a Betlemme e vediamo questo che è avvenuto, e che il Signore ci ha fatto sapere”.
Luca 2:16	E andarono in fretta, e trovarono Maria e Giuseppe e il bambino giacente nella mangiatoia;
Luca 2:17	e vedutolo, divulgarono ciò che era loro stato detto di quel bambino.
Luca 2:18	E tutti quelli che li udirono, si meravigliarono delle cose dette loro dai pastori.
Luca 2:19	Ora, Maria serbava in sé tutte quelle cose, collegandole insieme nel suo cuore.
Luca 2:20	E i pastori se ne tornarono, glorificando e lodando Dio per tutto quello che avevano udito e visto, come era loro stato annunciato.
Luca 2:21	E quando furono compiuti gli otto giorni in capo ai quali egli doveva essere circonciso, gli fu posto il nome di Gesù, che gli era stato dato dall’angelo prima che fosse concepito nel grembo.
Luca 2:22	E quando furono compiuti i giorni della loro purificazione secondo la legge di Mosè, portarono il bambino a Gerusalemme per presentarlo al Signore,
Luca 2:23	come è scritto nella legge del Signore: “Ogni maschio primogenito sarà chiamato santo al Signore”,
Luca 2:24	e per offrire il sacrificio di cui parla la legge del Signore, di un paio di tortore o di due giovani piccioni.
Luca 2:25	Ed ecco, c’era a Gerusalemme un uomo di nome Simeone; e quest’uomo era retto e timorato di Dio, e aspettava la consolazione di Israele; e lo Spirito Santo era su di lui;
Luca 2:26	e gli era stato rivelato dallo Spirito Santo che non avrebbe veduto la morte prima di aver veduto il Cristo del Signore.
Luca 2:27	Ed egli, mosso dallo Spirito, venne nel tempio; e quando i genitori vi portarono il bambino Gesù per adempiere a suo riguardo le prescrizioni della legge,
Luca 2:28	se lo prese anch’egli tra le braccia, e benedisse Dio e disse:
Luca 2:29	“Ora, o mio Signore, lascia andare in pace il tuo servo, secondo la tua parola;
Luca 2:30	poiché i miei occhi hanno visto la tua salvezza,
Luca 2:31	che hai preparato dinanzi a tutti i popoli
Luca 2:32	perché fosse una luce per illuminare le genti, e la gloria del tuo popolo Israele”.
Luca 2:33	E il padre e la madre di Gesù si meravigliavano delle cose che dicevano di lui.
Luca 2:34	E Simeone li benedisse, e disse a Maria, madre di lui: “Ecco, questi è posto a caduta e a rialzamento di molti in Israele, e come segno a cui ci si opporrà
Luca 2:35	(e a te stessa una spada trapasserà l’anima), affinché i pensieri di molti cuori siano rivelati”.
Luca 2:36	C’era anche Anna, profetessa, figlia di Fanuel, della tribù di Ascer, la quale era molto attempata. Dopo essere vissuta con il marito sette anni dalla sua verginità,
Luca 2:37	era rimasta vedova e aveva raggiunto gli ottantaquattro anni. Ella non se ne andava mai dal tempio, servendo Dio notte e giorno con digiuni e preghiere.
Luca 2:38	Sopraggiunta in quella stessa ora, lodava anche lei Dio e parlava del bambino a tutti quelli che aspettavano la redenzione di Gerusalemme.
Luca 2:39	E quando ebbero adempiuto tutte le prescrizioni della legge del Signore, tornarono in Galilea, a Nazaret, loro città.
Luca 2:40	E il bambino cresceva e si fortificava, essendo ripieno di saggezza; e la grazia di Dio era su di lui.
Luca 2:41	Ora, i suoi genitori andavano ogni anno a Gerusalemme per la festa di Pasqua.
Luca 2:42	E quando egli fu giunto ai dodici anni, salirono a Gerusalemme, secondo l’usanza della festa;
Luca 2:43	e passati i giorni della festa, mentre se ne tornavano, il fanciullo Gesù rimase a Gerusalemme all’insaputa dei genitori;
Luca 2:44	i quali, stimando che egli fosse nella comitiva, camminarono una giornata, e si misero a cercarlo fra i parenti e i conoscenti;
Luca 2:45	e, non avendolo trovato, tornarono a Gerusalemme per cercarlo.
Luca 2:46	E avvenne che tre giorni dopo lo trovarono nel tempio, seduto in mezzo ai dottori, che li ascoltava e faceva loro delle domande;
Luca 2:47	e tutti quelli che lo udivano, si stupivano della sua intelligenza e delle sue risposte.
Luca 2:48	E, vedutolo, sbigottirono; e sua madre gli disse: “Figlio, perché ci hai fatto questo? Ecco, tuo padre e io ti cercavamo, stando in gran pena”.
Luca 2:49	Ed egli disse loro: “Perché mi cercavate? Non sapevate che io dovevo trovarmi nella casa di mio Padre?”.
Luca 2:50	Ed essi non intesero la parola che egli aveva detto loro.
Luca 2:51	E discese con loro, e venne a Nazaret, e stava loro sottomesso. E sua madre serbava tutte queste cose nel suo cuore.
Luca 2:52	E Gesù cresceva in saggezza e in statura, e in grazia dinanzi a Dio e agli uomini.
Luca 3:1	Ora, nel quindicesimo anno dell’impero di Tiberio Cesare, essendo Ponzio Pilato governatore della Giudea, ed Erode tetrarca della Galilea, e Filippo, suo fratello, tetrarca dell’Iturea e della Traconitide, e Lisania tetrarca dell’Abilene,
Luca 3:2	sotto i sommi sacerdoti Anna e Caiafa, la parola di Dio fu diretta a Giovanni, figlio di Zaccaria, nel deserto.
Luca 3:3	Ed egli andò per tutta la contrada circostante al Giordano, predicando un battesimo di ravvedimento per la remissione dei peccati,
Luca 3:4	secondo quanto è scritto nel libro delle parole del profeta Isaia: “C’è una voce di uno che grida nel deserto: ‘Preparate la via del Signore, raddrizzate i suoi sentieri’.
Luca 3:5	Ogni valle sarà colmata e ogni monte ed ogni colle sarà abbassato; le vie tortuose saranno fatte diritte e le scabre saranno appianate;
Luca 3:6	e ogni carne vedrà la salvezza di Dio”.
Luca 3:7	Giovanni dunque diceva alle folle che uscivano per essere battezzate da lui: “Razza di vipere, chi vi ha insegnato a fuggire dall’ira a venire?
Luca 3:8	Producete dunque dei frutti degni del ravvedimento, e non vi mettete a dire in voi stessi: ‘Noi abbiamo Abrahamo per padre!’, perché vi dico che Dio può da queste pietre far sorgere dei figli ad Abrahamo.
Luca 3:9	E ormai è anche posta la scure alla radice degli alberi; ogni albero dunque che non produce buon frutto viene tagliato e gettato nel fuoco”.
Luca 3:10	E le folle lo interrogavano, dicendo: “E allora, che dobbiamo fare?”.
Luca 3:11	Ed egli rispondeva loro: “Chi ha due tuniche, le condivida con chi non ne ha; e chi ha da mangiare faccia altrettanto”.
Luca 3:12	Ora, vennero anche dei pubblicani per essere battezzati, e gli dissero: “Maestro, che dobbiamo fare?”.
Luca 3:13	Ed egli rispose loro: “Non riscuotete nulla di più di quello che vi è ordinato”.
Luca 3:14	Lo interrogarono pure dei soldati, dicendo: “E noi, che dobbiamo fare?”. Ed egli a loro: “Non fate estorsioni, né opprimete alcuno con false denunce, e accontentatevi della vostra paga”.
Luca 3:15	Ora, poiché il popolo era in attesa e tutti si domandavano nel loro cuore riguardo a Giovanni se non fosse lui il Cristo,
Luca 3:16	Giovanni rispose, dicendo a tutti: “Ben vi battezzo io con acqua; ma viene colui che è più forte di me, al quale io non sono degno di sciogliere i lacci dei calzari. Egli vi battezzerà con lo Spirito Santo e con il fuoco.
Luca 3:17	Egli ha in mano il suo ventilabro per nettare interamente la sua aia e raccogliere il grano nel suo granaio; ma quanto alla pula la brucerà con fuoco inestinguibile”.
Luca 3:18	Così, con molte e varie esortazioni, evangelizzava il popolo;
Luca 3:19	ma Erode, il tetrarca, essendo da lui ripreso riguardo a Erodiade, moglie di suo fratello, e per tutte le malvagità che Erode aveva commesso,
Luca 3:20	aggiunse a tutte le altre anche questa, di rinchiudere Giovanni in prigione.
Luca 3:21	Ora avvenne che, mentre tutto il popolo si faceva battezzare, anche Gesù fu battezzato e, mentre egli pregava, si aprì il cielo
Luca 3:22	e lo Spirito Santo scese su di lui in forma corporea come una colomba; e venne una voce dal cielo: “Tu sei il mio Figlio diletto; in te mi sono compiaciuto”.
Luca 3:23	E Gesù, quando cominciò anch’egli a insegnare, aveva circa trent’anni ed era figlio, come si credeva, di Giuseppe,
Luca 3:24	di Eli, di Mattat, di Levi, di Melchi, di Iannai, di Giuseppe,
Luca 3:25	di Mattatia, di Amos, di Naum, di Esli, di Naggai,
Luca 3:26	di Maat, di Mattatia, di Semein, di Iosec, di Ioda,
Luca 3:27	di Ioanan, di Resa, di Zorobabele, di Salatiel, di Neri,
Luca 3:28	di Melchi, di Addi, di Cosam, di Elmadam, di Er,
Luca 3:29	di Gesù, di Eliezer, di Iorim, di Mattat,
Luca 3:30	di Levi, di Simeone, di Giuda, di Giuseppe, di Ionam, di Eliachim,
Luca 3:31	di Melea, di Menna, di Mattata, di Natan, di Davide,
Luca 3:32	di Iesse, di Iobed, di Boos, di Sala, di Naasson,
Luca 3:33	di Aminadab, di Admin, di Arni, di Esrom, di Fares, di Giuda,
Luca 3:34	di Giacobbe, di Isacco, di Abrahamo, di Tara, di Nacor,
Luca 3:35	di Seruc, di Ragau, di Falec, di Eber, di Sala,
Luca 3:36	di Cainam, di Arfacsad, di Sem, di Noè,
Luca 3:37	di Lamec, di Matusala, di Enoc, di Iaret, di Maleleel, di Cainam,
Luca 3:38	di Enos, di Set, di Adamo, di Dio.
Luca 4:1	Ora, Gesù, ripieno dello Spirito Santo, se ne ritornò dal Giordano e fu condotto dallo Spirito nel deserto per quaranta giorni, ed era tentato dal diavolo.
Luca 4:2	E durante quei giorni non mangiò nulla; e dopo che quelli furono trascorsi, ebbe fame.
Luca 4:3	E il diavolo gli disse: “Se tu sei il Figlio di Dio, di’ a questa pietra che diventi pane”.
Luca 4:4	E Gesù gli rispose: “È scritto: ‘Non di pane soltanto vivrà l’uomo’”.
Luca 4:5	E il diavolo, portatolo in alto, gli mostrò in un attimo tutti i regni del mondo e gli disse:
Luca 4:6	“Ti darò tutta quanta questa potenza e la gloria di questi regni; perché essa mi è stata data, e la do a chi voglio.
Luca 4:7	Se dunque tu ti prostri ad adorarmi, sarà tutta tua”.
Luca 4:8	E Gesù, rispondendo, gli disse: “È scritto: ‘Adora il Signore tuo Dio, e a lui solo rendi il tuo culto’”.
Luca 4:9	Poi lo portò a Gerusalemme e lo pose sul pinnacolo del tempio e gli disse: “Se tu sei il Figlio di Dio, gettati giù da qui;
Luca 4:10	perché è scritto: ‘Egli darà ordini ai suoi angeli a tuo riguardo, affinché ti proteggano;
Luca 4:11	ed essi ti porteranno sulle mani, affinché tu non urti con il piede contro una pietra”.
Luca 4:12	E Gesù, rispondendo, gli disse: “È stato detto: ‘Non tentare il Signore tuo Dio’”.
Luca 4:13	Allora il diavolo, finita che ebbe ogni sorta di tentazione, andò via da lui fino ad altra occasione.
Luca 4:14	E Gesù, nel potere dello Spirito, se ne tornò in Galilea; e la sua fama si sparse per tutta la regione circostante.
Luca 4:15	E insegnava nelle loro sinagoghe, glorificato da tutti.
Luca 4:16	E venne a Nazaret, dove era stato allevato; e come era solito, entrò in giorno di sabato nella sinagoga e, alzatosi per leggere,
Luca 4:17	gli fu dato il libro del profeta Isaia; e aperto il libro trovò quel passo dov’era scritto:
Luca 4:18	“Lo Spirito del Signore è su di me; per questo egli mi ha unto per evangelizzare i poveri; mi ha mandato ad annunciare liberazione ai prigionieri, e ai ciechi recupero della vista; a rimettere in libertà gli oppressi,
Luca 4:19	e a predicare l’anno accettevole del Signore”.
Luca 4:20	Poi, chiuso il libro e resolo all’inserviente, si pose a sedere; e gli occhi di tutti nella sinagoga erano fissi su di lui.
Luca 4:21	Ed egli prese a dire loro: “Oggi, si è adempiuta questa scrittura, e voi lo udite”.
Luca 4:22	E tutti rendevano testimonianza a suo riguardo, e si meravigliavano delle parole di grazia che uscivano dalla sua bocca, e dicevano: “Non è questo il figlio di Giuseppe?”.
Luca 4:23	Ed egli disse loro: “Certamente, voi mi citerete questo proverbio: ‘Medico, cura te stesso; fa’ anche qui nella tua patria tutto quello che abbiamo udito essere avvenuto a Capernaum’”.
Luca 4:24	Ma egli disse: “In verità vi dico che nessun profeta è ben accetto nella sua patria.
Luca 4:25	Anzi, vi dico in verità che ai giorni di Elia, quando il cielo fu serrato per tre anni e sei mesi e vi fu una grande carestia in tutto il paese, c’erano molte vedove in Israele;
Luca 4:26	eppure a nessuna di esse fu mandato Elia, ma fu mandato a una vedova a Sarepta di Sidon.
Luca 4:27	E al tempo del profeta Eliseo, c’erano molti lebbrosi in Israele; eppure nessuno di loro fu purificato, ma lo fu Naaman il Siro”.
Luca 4:28	E tutti, nella sinagoga, furono ripieni di ira all’udire queste cose.
Luca 4:29	E alzatisi, lo scacciarono fuori della città, e lo portarono fin sul ciglio del monte sul quale era fabbricata la loro città, per farlo precipitare giù.
Luca 4:30	Ma egli, passando in mezzo a loro, se ne andò.
Luca 4:31	E scese a Capernaum, città della Galilea; e vi stava ammaestrando la gente nei giorni di sabato.
Luca 4:32	Ed essi erano stupiti della sua dottrina perché parlava con autorità.
Luca 4:33	Ora, nella sinagoga si trovava un uomo posseduto da uno spirito di un demonio impuro, il quale gridò con gran voce: “Ahi!
Luca 4:34	Che vuoi da noi, o Gesù Nazareno? Sei tu venuto per distruggerci? Io so chi tu sei: il Santo di Dio!”.
Luca 4:35	E Gesù lo sgridò, dicendo: “Taci, ed esci da quest’uomo!”. E il demonio, gettatolo a terra in mezzo alla gente, uscì da lui senza fargli alcun male.
Luca 4:36	E tutti furono presi da sbigottimento e ragionavano fra loro, dicendo: “Che parola è mai questa? Egli comanda con autorità e potere agli spiriti impuri, ed essi escono”.
Luca 4:37	E la sua fama si spargeva in ogni parte della regione circostante.
Luca 4:38	Poi, alzatosi e uscito dalla sinagoga, entrò in casa di Simone. Ora, la suocera di Simone era travagliata da una grande febbre; e lo pregarono per lei.
Luca 4:39	Ed egli, chinatosi verso di lei, sgridò la febbre, e la febbre la lasciò; ed ella, alzatasi prontamente, si mise a servirli.
Luca 4:40	E sul tramontar del sole, tutti quelli che avevano degli infermi di varie malattie li portarono a lui; ed egli li guarì, imponendo le mani a ciascuno.
Luca 4:41	Anche i demoni uscirono da molti, gridando e dicendo: “Tu sei il Figlio di Dio!”. Ed egli li sgridò e non permise loro di parlare, perché sapevano che egli era il Cristo.
Luca 4:42	Poi, fattosi giorno, uscì e andò in un luogo deserto; e le folle lo cercavano e giunsero fino a lui; e lo trattennero perché non andasse via da loro.
Luca 4:43	Ma egli disse loro: “Anche alle altre città bisogna che io evangelizzi il regno di Dio; poiché per questo sono stato mandato”.
Luca 4:44	E andava predicando per le sinagoghe della Galilea.
Luca 5:1	Ora, avvenne che essendogli la moltitudine addosso per udire la parola di Dio, ed essendo egli in piedi sulla riva del lago di Gennesaret,
Luca 5:2	vide due barche ferme a riva, dalle quali erano smontati i pescatori, che lavavano le reti.
Luca 5:3	E montato in una di quelle barche che era di Simone, lo pregò di scostarsi un po’ da terra; poi, sedutosi, dalla barca ammaestrava le folle.
Luca 5:4	E quando ebbe cessato di parlare, disse a Simone: “Prendi il largo, e calate le reti per pescare”.
Luca 5:5	E Simone, rispondendo, disse: “Maestro, tutta la notte ci siamo affaticati, e non abbiamo preso nulla; però, alla tua parola, calerò le reti”.
Luca 5:6	E fatto così, presero una tale quantità di pesci, che le reti si rompevano.
Luca 5:7	E fecero segno ai loro compagni dell’altra barca di venire ad aiutarli. E quelli vennero e riempirono ambedue le barche, tanto che stavano affondando.
Luca 5:8	Simon Pietro, veduto ciò, si gettò alle ginocchia di Gesù, dicendo: “Signore, vattene da me, perché sono un uomo peccatore”.
Luca 5:9	Poiché lui e tutti quelli che erano con lui erano stati colti da stupore per la pesca che avevano fatto;
Luca 5:10	e così pure Giacomo e Giovanni, figli di Zebedeo, che eran soci di Simone. E Gesù disse a Simone: “Non temere: da ora innanzi sarai pescatore di uomini”.
Luca 5:11	Ed essi, portate le barche a terra, lasciarono ogni cosa e lo seguirono.
Luca 5:12	E avvenne che, trovandosi egli in una di quelle città, ecco un uomo pieno di lebbra, il quale, veduto Gesù e gettatosi con la faccia a terra, lo pregò dicendo: “Signore, se tu vuoi, tu puoi purificarmi”.
Luca 5:13	Ed egli, stesa la mano, lo toccò dicendo: “Lo voglio, sii purificato”. E in quell’istante la lebbra sparì da lui.
Luca 5:14	E Gesù gli comandò di non dirlo a nessuno: “Ma vai”, gli disse, “mostrati al sacerdote e offri per la tua purificazione quello che ha prescritto Mosè; e ciò serva loro di testimonianza”.
Luca 5:15	Però la sua fama si diffondeva sempre più; e molte folle si adunavano per udirlo ed essere guarite delle loro infermità.
Luca 5:16	Ma egli si ritirava nei luoghi deserti e pregava.
Luca 5:17	E avvenne, in uno di quei giorni, che egli stava insegnando; ed erano lì seduti dei Farisei e dei dottori della legge, venuti da tutti i villaggi della Galilea, della Giudea e da Gerusalemme; e il potere del Signore era con lui per compiere guarigioni.
Luca 5:18	Ed ecco degli uomini che portavano su un letto un paralitico, e cercavano di portarlo dentro e di metterlo davanti a lui.
Luca 5:19	E non trovando modo di introdurlo a motivo della calca, salirono sul tetto, e fatta un’apertura fra le tegole, lo calarono giù con il suo lettuccio, in mezzo alla gente, davanti a Gesù.
Luca 5:20	Ed egli, veduta la loro fede, disse: “O uomo, i tuoi peccati ti sono rimessi”.
Luca 5:21	Allora gli scribi e i Farisei cominciarono a ragionare, dicendo: “Chi è costui che pronuncia bestemmie? Chi può rimettere i peccati se non Dio soltanto?”.
Luca 5:22	Ma Gesù, conosciuti i loro ragionamenti, prese a dire loro: “Che ragionate nei vostri cuori?
Luca 5:23	Che cosa è più facile dire: ‘I tuoi peccati ti sono rimessi’, oppure dire: ‘Alzati e cammina?’.
Luca 5:24	Ora, affinché sappiate che il Figlio dell’uomo ha sulla terra autorità di rimettere i peccati, io ti dico — disse al paralitico — alzati, prendi il tuo lettuccio, e vattene a casa tua”.
Luca 5:25	E in quell’istante, alzatosi in loro presenza e preso il suo giaciglio, se ne andò a casa sua, glorificando Dio.
Luca 5:26	E tutti furono presi da stupore e glorificavano Dio; e pieni di spavento, dicevano: “Oggi abbiamo visto cose strane”.
Luca 5:27	E dopo queste cose, egli uscì e notò un pubblicano, di nome Levi, che sedeva al banco delle imposte, e gli disse: “Seguimi”.
Luca 5:28	Ed egli, lasciata ogni cosa, si alzò e si mise a seguirlo.
Luca 5:29	E Levi gli fece un grande convito in casa sua; e c’era una gran folla di pubblicani e di altri che erano a tavola con loro.
Luca 5:30	E i Farisei e i loro scribi mormoravano contro i discepoli di Gesù, dicendo: “Perché mangiate e bevete con i pubblicani e con i peccatori?”.
Luca 5:31	E Gesù, rispondendo, disse loro: “I sani non hanno bisogno del medico, bensì i malati.
Luca 5:32	Io non sono venuto a chiamare i giusti, ma i peccatori a ravvedimento”.
Luca 5:33	Ed essi gli dissero: “I discepoli di Giovanni digiunano spesso e fanno preghiere; così pure i discepoli dei Farisei; mentre i tuoi mangiano e bevono”.
Luca 5:34	E Gesù disse loro: “Potete voi far digiunare gli amici dello sposo, mentre lo sposo è con loro?
Luca 5:35	Ma verranno i giorni per questo; e quando lo sposo sarà loro tolto, allora in quei giorni digiuneranno”.
Luca 5:36	Disse loro anche una parabola: “Nessuno strappa un pezzo da un vestito nuovo per metterlo su un vestito vecchio; altrimenti strappa il nuovo, e il pezzo tolto dal nuovo non si adatta al vecchio.
Luca 5:37	E nessuno mette del vino nuovo in otri vecchi; altrimenti il vino nuovo rompe gli otri, il vino si spande, e gli otri vanno perduti.
Luca 5:38	Ma il vino nuovo va messo in otri nuovi.
Luca 5:39	E nessuno che abbia bevuto del vino vecchio ne desidera del nuovo, perché dice: ‘Il vecchio è buono’”.
Luca 6:1	Ora avvenne che in un giorno di sabato egli passava per i seminati; e i suoi discepoli coglievano delle spighe e, sfregandole con le mani, mangiavano.
Luca 6:2	E alcuni dei Farisei dissero: “Perché fate quello che non è lecito nel giorno del sabato?”.
Luca 6:3	E Gesù, rispondendo, disse loro: “Non avete letto neppure quello che fece Davide, quando ebbe fame, lui e coloro che erano con lui?
Luca 6:4	Come entrò nella casa di Dio, e prese i pani di presentazione, e ne mangiò e ne diede anche a coloro che erano con lui, nonostante non sia lecito mangiarne se non ai soli sacerdoti?”.
Luca 6:5	E disse loro: “Il Figlio dell’uomo è Signore del sabato”.
Luca 6:6	Ora avvenne in un altro sabato che egli entrò nella sinagoga, e si mise ad insegnare. E lì c’era un uomo che aveva la mano destra secca.
Luca 6:7	Ora, gli scribi e i Farisei lo osservavano per vedere se avrebbe fatto una guarigione in giorno di sabato, per trovare di che accusarlo.
Luca 6:8	Ma egli conosceva i loro pensieri, e disse all’uomo che aveva la mano secca: “Alzati, e sta’ su nel mezzo”. Ed egli, alzatosi, stette su.
Luca 6:9	Poi Gesù disse loro: “Io domando a voi: è lecito, in giorno di sabato, fare del bene o fare del male? Salvare una persona o ucciderla?”.
Luca 6:10	E girato lo sguardo intorno su tutti loro, disse a quell’uomo: “Stendi la mano”. Egli fece così, e la sua mano tornò sana.
Luca 6:11	Ed essi furono ripieni di furore e discorrevano fra loro di quello che avrebbero potuto fare a Gesù.
Luca 6:12	Ora avvenne in quei giorni che egli se ne andò sul monte a pregare, e passò la notte in preghiera a Dio.
Luca 6:13	E quando fu giorno, chiamò a sé i suoi discepoli, e ne scelse dodici, ai quali dette anche il nome di apostoli:
Luca 6:14	Simone, che nominò anche Pietro, e Andrea, suo fratello, e Giacomo e Giovanni, e Filippo e Bartolomeo,
Luca 6:15	e Matteo e Tommaso, e Giacomo di Alfeo e Simone chiamato Zelota,
Luca 6:16	e Giuda di Giacomo, e Giuda Iscariota che divenne poi traditore.
Luca 6:17	E sceso con loro, si fermò sopra un luogo pianeggiante, insieme con una grande folla dei suoi discepoli e una grande quantità di persone da tutta la Giudea e da Gerusalemme e dal litorale di Tiro e di Sidone,
Luca 6:18	i quali erano venuti per udirlo e per essere guariti delle loro infermità.
Luca 6:19	E quelli che erano tormentati da spiriti impuri erano guariti; e tutta la moltitudine cercava di toccarlo, perché usciva da lui una virtù che sanava tutti.
Luca 6:20	Ed egli, alzati gli occhi verso i suoi discepoli, disse: “Beati voi che siete poveri, perché il Regno di Dio è vostro.
Luca 6:21	Beati voi che ora avete fame, perché sarete saziati. Beati voi che ora piangete, perché riderete.
Luca 6:22	Beati voi, quando gli uomini vi odieranno, e quando vi scacceranno, e vi vitupereranno e ripudieranno il vostro nome come malvagio, a motivo del Figlio dell’uomo.
Luca 6:23	Rallegratevi in quel giorno e saltate di letizia, perché, ecco, il vostro premio è grande nei cieli; poiché i loro padri facevano lo stesso ai profeti.
Luca 6:24	Ma guai a voi, ricchi, perché avete già la vostra consolazione.
Luca 6:25	Guai a voi che siete ora sazi, perché avrete fame. Guai a voi che ora ridete, perché farete cordoglio e piangerete.
Luca 6:26	Guai a voi quando tutti gli uomini diranno bene di voi, perché i loro padri facevano lo stesso con i falsi profeti.
Luca 6:27	Ma a voi che ascoltate, io dico: amate i vostri nemici; fate del bene a quelli che vi odiano;
Luca 6:28	benedite quelli che vi maledicono, pregate per quelli che vi oltraggiano.
Luca 6:29	A chi ti percuote su una guancia, porgigli anche l’altra; e a chi ti toglie il mantello non impedire di prenderti anche la tunica.
Luca 6:30	Da’ a chiunque ti chiede; e a chi ti toglie il tuo, non glielo ridomandare.
Luca 6:31	E come volete che gli uomini facciano a voi, fate voi pure a loro.
Luca 6:32	E se amate quelli che vi amano, quale grazia ve ne viene? Poiché anche i peccatori amano quelli che li amano.
Luca 6:33	E se fate del bene a quelli che vi fanno del bene, quale grazia ve ne viene? Anche i peccatori fanno lo stesso.
Luca 6:34	E se prestate a quelli dai quali sperate di ricevere, quale grazia ne avete? Anche i peccatori prestano ai peccatori per riceverne altrettanto.
Luca 6:35	Ma amate i vostri nemici, e fate del bene e prestate senza sperarne alcunché, e il vostro premio sarà grande e sarete figli dell’Altissimo; poiché Egli è benigno verso gli ingrati e i malvagi.
Luca 6:36	Siate misericordiosi come è misericordioso vostro Padre.
Luca 6:37	Non giudicate, e non sarete giudicati; non condannate, e non sarete condannati; perdonate, e vi sarà perdonato.
Luca 6:38	Date, e vi sarà dato: vi sarà versata in seno buona misura, pigiata, scossa, traboccante; perché con la misura con cui misurate sarà rimisurato a voi”.
Luca 6:39	Poi disse loro anche una parabola: “Un cieco può forse guidare un cieco? Non cadranno tutti e due nella fossa?
Luca 6:40	Un discepolo non è da più del maestro; ma ogni discepolo perfetto sarà come il suo maestro.
Luca 6:41	Ora, perché guardi tu il bruscolo che è nell’occhio di tuo fratello, mentre non scorgi la trave che è nel tuo proprio occhio?
Luca 6:42	Come puoi dire a tuo fratello: ‘Fratello, lascia che io ti tolga il bruscolo che hai nell’occhio’, mentre tu stesso non vedi la trave che è nel tuo occhio? Ipocrita, togli prima dal tuo occhio la trave, e allora ci vedrai bene per togliere il bruscolo che è nell’occhio di tuo fratello.
Luca 6:43	Non c’è infatti albero buono che faccia frutto cattivo, né c’è albero cattivo che faccia frutto buono;
Luca 6:44	poiché ogni albero si riconosce dal suo proprio frutto; perché non si colgono fichi dalle spine, né si vendemmia uva dal pruno.
Luca 6:45	L’uomo buono dal buon tesoro del suo cuore tira fuori il bene; e l’uomo malvagio, dal malvagio tesoro tira fuori il male; poiché dall’abbondanza del cuore parla la sua bocca.
Luca 6:46	Perché mi chiamate ‘Signore, Signore’, e non fate quello che dico?
Luca 6:47	Chiunque viene a me e ascolta le mie parole e le mette in pratica, io vi mostrerò a chi somiglia.
Luca 6:48	Somiglia a un uomo il quale, edificando una casa, ha scavato e scavato profondo, e ha posto le fondamenta sulla roccia; e venuta una piena, la fiumana ha investito quella casa e non ha potuto smuoverla perché era stata edificata bene.
Luca 6:49	Ma chi ha udito e non ha messo in pratica somiglia a un uomo che ha edificato una casa sulla terra, senza fondamenta; la fiumana l’ha investita, e subito è crollata; e la rovina di quella casa è stata grande”.
Luca 7:1	Dopo che egli ebbe finito tutti i suoi ragionamenti al popolo che lo ascoltava, entrò a Capernaum.
Luca 7:2	Ora, il servitore di un certo centurione, che lo aveva molto caro, era malato e stava per morire;
Luca 7:3	e il centurione, avendo udito parlare di Gesù, gli mandò degli anziani dei Giudei per pregarlo che venisse a salvare il suo servitore.
Luca 7:4	Ed essi, presentatisi a Gesù, lo pregarono con insistenza, dicendo: “Lui è degno che tu gli conceda questo;
Luca 7:5	perché ama la nostra nazione, ed è lui che ci ha edificato la sinagoga”.
Luca 7:6	E Gesù si incamminò con loro; e ormai non si trovava più molto lontano dalla casa, quando il centurione mandò degli amici a dirgli: “Signore, non ti dare questo incomodo, perché io non sono degno che tu entri sotto il mio tetto;
Luca 7:7	e perciò non mi sono neppure reputato degno di venire da te; ma dillo con una parola, e sia guarito il mio servitore.
Luca 7:8	Poiché anch’io sono un uomo sottoposto all’autorità altrui, e ho sotto di me dei soldati; e dico ad uno: ‘Vai’, ed egli va; e a un altro: ‘Vieni’, ed egli viene; e al mio servitore: ‘Fai questo’, ed egli lo fa.
Luca 7:9	Udito questo, Gesù restò meravigliato di lui; e rivoltosi alla moltitudine che lo seguiva, disse: “Io vi dico che neppure in Israele ho trovato così tanta fede”.
Luca 7:10	E quando gli inviati furono tornati a casa, trovarono il servitore guarito.
Luca 7:11	E avvenne, in seguito, che egli si avviò verso una città chiamata Nain, e i suoi discepoli e una grande moltitudine andavano con lui.
