Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Matthäus 27:39	Diejenigen aber, die vorübergingen, schmähten ihn, wobei sie den Kopf schüttelten
Matthäus 27:40	und ausriefen: „Du wolltest ja den Tempel niederreißen und ihn in drei Tagen wieder aufbauen! Hilf dir nun selbst, wenn du Gottes Sohn bist, und steige vom Kreuz herab!“
Matthäus 27:41	Ebenso verhöhnten ihn auch die Hohepriester samt den Schriftgelehrten und Ältesten mit den Worten:
Matthäus 27:42	„Anderen hat er geholfen, sich selbst kann er nicht helfen! Ist er der König von Israel, so steige er jetzt vom Kreuz herab, dann wollen wir an ihn glauben!
Matthäus 27:43	Er hat auf Gott vertraut: Der rette ihn jetzt, wenn er Wohlgefallen an ihm hat! Er hat ja doch behauptet: ‚Ich bin Gottes Sohn.‘“
Matthäus 27:44	In der gleichen Weise schmähten ihn auch die Räuber, die mit ihm gekreuzigt worden waren.
Matthäus 27:45	Aber von der sechsten Stunde an legte sich eine Finsternis über das ganze Land bis zur neunten Stunde.
Matthäus 27:46	Um die neunte Stunde aber rief Jesus mit lauter Stimme aus: „Eli, Eli, lema sabachtani?“, das heißt: „Mein Gott, mein Gott, warum hast du mich verlassen?“
Matthäus 27:47	Als einige von denen, die dort standen, dies hörten, sagten sie: „Der ruft den Elija!“
Matthäus 27:48	Und sogleich lief einer von ihnen hin, nahm einen Schwamm, tränkte ihn mit Essig, steckte ihn an einen Stab und wollte Jesus trinken lassen.
Matthäus 27:49	Die anderen aber sagten: „Lass das! Wir wollen doch sehen, ob Elija wirklich kommt, um ihm zu helfen.“
Matthäus 27:50	Jesus aber stieß noch einmal einen lauten Schrei aus und gab dann seinen Geist auf.
Matthäus 27:51	Da zerriss der Vorhang im Tempel von oben bis unten in zwei Stücke, die Erde erbebte und die Felsen zersprangen,
Matthäus 27:52	die Gräber taten sich auf, und viele Leiber der entschlafenen Heiligen wurden auferweckt,
Matthäus 27:53	kamen nach seiner Auferstehung aus ihren Gräbern hervor, gingen in die heilige Stadt hinein und erschienen vielen.
Matthäus 27:54	Als aber der Hauptmann und seine Leute, die Jesus zu bewachen hatten, das Erdbeben und was sonst noch geschah, sahen, gerieten sie in große Furcht und sagten: „Dieser ist wirklich Gottes Sohn gewesen!“
Matthäus 27:55	Es waren dort aber auch viele Frauen zugegen, die von weitem zuschauten; sie waren Jesus aus Galiläa nachgefolgt und hatten ihm gedient.
Matthäus 27:56	Unter ihnen befanden sich Maria aus Magdala und Maria, die Mutter des Jakobus und des Josef, und die Mutter der Söhne des Zebedäus.
Matthäus 27:57	Als es dann Spätnachmittag geworden war, kam ein reicher Mann aus Arimathäa namens Josef, der gleichfalls ein Jünger Jesu geworden war;
Matthäus 27:58	dieser begab sich zu Pilatus und bat ihn um den Leichnam Jesu. Da gab Pilatus den Befehl, man solle ihm den Leichnam übergeben.
Matthäus 27:59	Josef nahm nun den Leichnam, wickelte ihn in ein reines Leinentuch
Matthäus 27:60	und legte ihn in das neue Grab, das er für sich selbst im Felsen hatte aushauen lassen; dann wälzte er einen großen Stein vor den Eingang des Grabes und entfernte sich.
Matthäus 27:61	Es waren aber dort Maria aus Magdala und die andere Maria zugegen; die saßen dem Grab gegenüber.
Matthäus 27:62	Am nächsten Tag aber, der auf den Rüsttag folgte, versammelten sich die Hohepriester und Pharisäer bei Pilatus
Matthäus 27:63	und sagten: „Herr, es ist uns eingefallen, dass jener Betrüger zu seinen Lebzeiten angekündigt hat: ‚Nach drei Tagen werde ich auferstehen.‘
Matthäus 27:64	Gib also Befehl, dass das Grab bis zum dritten Tag sicher bewacht wird; sonst könnten seine Jünger kommen, könnten ihn stehlen und dann zu den Leuten sagen: ‚Er ist von den Toten auferstanden‘; dann wäre der letzte Betrug noch schlimmer als der erste.“
Matthäus 27:65	Pilatus antwortete ihnen: „Ihr sollt eine Wachmannschaft haben; geht hin und sichert das Grab, so gut ihr könnt!“
Matthäus 27:66	Da gingen sie hin und sicherten das Grab mit der Wachmannschaft, nachdem sie den Stein versiegelt hatten.
Matthäus 28:1	Nach Ablauf des Sabbats aber, als der erste Tag nach dem Sabbat anbrechen wollte, gingen Maria aus Magdala und die andere Maria hin, um nach dem Grab zu sehen.
Matthäus 28:2	Da entstand plötzlich ein starkes Erdbeben; denn ein Engel des Herrn war vom Himmel herabgekommen und herangetreten, wälzte den Stein weg und setzte sich oben darauf.
Matthäus 28:3	Sein Aussehen war leuchtend wie ein Blitz und sein Gewand weiß wie Schnee.
Matthäus 28:4	Aus Furcht vor ihm zitterten die Wächter und wurden wie tot.
Matthäus 28:5	Der Engel aber wandte sich an die Frauen mit den Worten: „Fürchtet euch nicht! Denn ich weiß, dass ihr Jesus, den Gekreuzigten, sucht.
Matthäus 28:6	Er ist nicht mehr hier, denn er ist auferstanden, wie er es vorausgesagt hat. Kommt her, seht euch die Stelle an, wo er gelegen hat.
Matthäus 28:7	Geht nun eilends hin und sagt seinen Jüngern: ‚Er ist von den Toten auferstanden und geht euch voran nach Galiläa; dort werdet ihr ihn sehen.‘ Beachtet wohl, was ich euch gesagt habe!“
Matthäus 28:8	Da gingen sie eilends vom Grab weg voller Furcht und zugleich voll großer Freude und eilten davon, um seinen Jüngern die Botschaft zu bringen.
Matthäus 28:9	Und siehe! Jesus kam ihnen entgegen mit den Worten: „Seid gegrüßt!“ Da gingen sie auf ihn zu, umfassten seine Füße und warfen sich anbetend vor ihm nieder.
Matthäus 28:10	Hierauf sagte Jesus zu ihnen: „Fürchtet euch nicht! Geht hin und verkündigt meinen Brüdern, dass sie nach Galiläa gehen sollen: Dort werden sie mich sehen.“
Matthäus 28:11	Während sie nun hingingen, begaben sich einige von der Wachmannschaft des Grabes in die Stadt und meldeten den Hohepriestern alles, was sich zugetragen hatte.
Matthäus 28:12	Nachdem diese sich mit den Ältesten versammelt und sich beraten hatten, gaben sie den Soldaten reichlich Geld
Matthäus 28:13	und sagten: „Macht folgende Aussage: ‚Seine Jünger sind bei Nacht gekommen und haben ihn gestohlen, während wir schliefen.‘
Matthäus 28:14	Und wenn dies dem Statthalter zu Ohren kommen sollte, wollen wir ihn schon beschwichtigen und dafür sorgen, dass ihr keine Angst zu haben braucht.“
Matthäus 28:15	Da nahmen sie das Geld und verfuhren nach der empfangenen Weisung; und so ist dieses Gerede bei den Juden in Umlauf gekommen und hält sich bis zum heutigen Tag.
Matthäus 28:16	Die elf Jünger aber begaben sich nach Galiläa auf den Berg, wohin Jesus sie beschieden hatte;
Matthäus 28:17	und als sie ihn erblickten, warfen sie sich vor ihm nieder; einige aber hegten Zweifel.
Matthäus 28:18	Da trat Jesus näher heran und redete sie mit den Worten an: „Mir ist alle Macht im Himmel und auf Erden verliehen.
Matthäus 28:19	Darum geht hin und macht alle Völker zu meinen Jüngern: Tauft sie auf den Namen des Vaters, des Sohnes und des Heiligen Geistes
Matthäus 28:20	und lehrt sie, alles zu halten, was ich euch geboten habe. Und seid gewiss: Ich bin bei euch alle Tage bis ans Ende der Welt!“
Markus 1:1	Das Evangelium von Jesus Christus, dem Sohn Gottes, hat folgenden Anfang:
Markus 1:2	Wie beim Propheten Jesaja geschrieben steht: „Siehe, ich sende meinen Boten vor dir her, der dir den Weg bereiten soll“;
Markus 1:3	„eine Stimme ruft in der Wüste: ‚Bereitet den Weg des Herrn, macht gerade seine Pfade!‘“
Markus 1:4	So trat Johannes der Täufer in der Wüste auf und predigte eine Taufe der Umkehr zur Vergebung der Sünden.
Markus 1:5	Da zog das ganze jüdische Land und auch alle Einwohner Jerusalems zu ihm hinaus; sie bekannten ihre Sünden und ließen sich von ihm im Fluss Jordan taufen.
Markus 1:6	Johannes trug aber ein Fell aus Kamelhaaren und einen ledernen Gürtel um seine Hüften; er nährte sich von Heuschrecken und wildem Honig,
Markus 1:7	und seine Predigt lautete: „Nach mir kommt der, welcher stärker ist als ich, für den ich nicht gut genug bin, ihm gebückt seine Schuhriemen zu lösen.
Markus 1:8	Ich habe euch nur mit Wasser getauft, er aber wird euch mit dem Heiligen Geist taufen.“
Markus 1:9	In jenen Tagen begab es sich nun auch, dass Jesus aus Nazaret in Galiläa kam und sich von Johannes im Jordan taufen ließ.
Markus 1:10	Da, als er gerade aus dem Wasser stieg, sah er den Himmel sich auftun und den Geist wie eine Taube auf ihn herabschweben;
Markus 1:11	und eine Stimme erschallte aus den Himmeln: „Du bist mein geliebter Sohn; an dir habe ich Wohlgefallen gefunden!“
Markus 1:12	Und sogleich trieb der Geist ihn in die Wüste hinaus;
Markus 1:13	und er war vierzig Tage lang in der Wüste und wurde vom Satan versucht; er weilte dort bei den wilden Tieren, und die Engel dienten ihm.
Markus 1:14	Nachdem dann Johannes gefangengesetzt worden war, begab Jesus sich nach Galiläa und verkündete dort das Evangelium Gottes
Markus 1:15	mit den Worten: „Die Zeit ist erfüllt und das Reich Gottes nahe herbeigekommen; kehrt um und glaubt an das Evangelium!“
Markus 1:16	Als Jesus nun eines Tages am Ufer des Sees von Galiläa hinging, sah er Simon und Andreas, den Bruder Simons, die Netze im See auswerfen; sie waren nämlich Fischer.
Markus 1:17	Da sagte Jesus zu ihnen: „Kommt, folgt mir nach; ich will euch zu Menschenfischern machen!“
Markus 1:18	Sogleich ließen sie ihre Netze liegen und folgten ihm nach.
Markus 1:19	Als er dann ein wenig weitergegangen war, sah er Jakobus, den Sohn des Zebedäus, und seinen Bruder Johannes, die, ebenfalls im Boot, ihre Netze instand setzten.
Markus 1:20	Sogleich rief er sie; da ließen sie ihren Vater Zebedäus mit den Tagelöhnern im Boot und folgten ihm nach.
Markus 1:21	Sie begaben sich dann nach Kafarnaum hinein; und sogleich am nächsten Sabbat ging er in die Synagoge und lehrte.
Markus 1:22	Da waren sie über seine Lehre sehr erstaunt; denn er lehrte sie wie einer, der Vollmacht hat, ganz anders als die Schriftgelehrten.
Markus 1:23	Nun war da gerade in ihrer Synagoge ein Mann mit einem unreinen Geist; dieser schrie auf:
Markus 1:24	„Was willst du von uns, Jesus von Nazaret? Du bist gekommen, um uns zu verderben! Ich weiß von dir, wer du bist: der Heilige Gottes!“
Markus 1:25	Jesus drohte ihm mit den Worten: „Verstumme und fahre aus ihm aus!“
Markus 1:26	Da riss der unreine Geist den Mann in Krämpfen hin und her und fuhr dann mit einem lauten Schrei aus ihm aus.
Markus 1:27	Da gerieten sie allesamt in Staunen, sodass sie sich gegenseitig fragten: „Was ist dies? Eine neue Lehre mit göttlicher Vollmacht! Auch den unreinen Geistern gebietet er, und sie gehorchen ihm!“
Markus 1:28	Und sein Ruf verbreitete sich alsbald überall in der ganzen umliegenden Gegend von Galiläa.
Markus 1:29	Sobald sie dann die Synagoge verlassen hatten, begaben sie sich in Begleitung des Jakobus und Johannes in das Haus des Simon und Andreas.
Markus 1:30	Die Schwiegermutter Simons aber lag dort fieberkrank im Bett, was man ihm sogleich über sie mitteilte.
Markus 1:31	Er trat nun zu ihr, fasste sie bei der Hand und richtete sie auf; da wich das Fieber sogleich von ihr, und sie diente ihnen.
Markus 1:32	Als es dann Abend geworden und die Sonne untergegangen war, brachte man alle Kranken und Besessenen zu ihm,
Markus 1:33	und die ganze Stadt war vor der Tür versammelt.
Markus 1:34	Und er heilte viele, die an Krankheiten aller Art litten, und trieb viele böse Geister aus, ließ dabei aber die Geister nicht reden, weil sie ihn kannten.
Markus 1:35	Frühmorgens aber, als es noch ganz dunkel war, stand er auf, verließ das Haus und begab sich an einen einsamen Ort, wo er betete.
Markus 1:36	Simon jedoch und seine Gefährten eilten ihm nach,
Markus 1:37	und als sie ihn gefunden hatten, sagten sie zu ihm: „Alle suchen dich!“
Markus 1:38	Er aber antwortete ihnen: „Wir wollen anderswohin in die benachbarten Ortschaften gehen, damit ich auch dort die Botschaft verkünde; denn dazu bin ich gekommen.“
Markus 1:39	So zog er denn in ganz Galiläa umher, predigte in ihren Synagogen und trieb die bösen Geister aus.
Markus 1:40	Da kam ein Aussätziger zu ihm, fiel vor ihm auf die Knie nieder und bat ihn flehentlich: „Wenn du willst, kannst du mich rein machen.“
Markus 1:41	Jesus hatte Mitleid mit ihm, streckte seine Hand aus, fasste ihn an und sagte zu ihm: „Ich willʼs: Werde rein!“
Markus 1:42	Da verschwand der Aussatz sogleich von ihm, und er wurde rein.
Markus 1:43	Jesus aber gab ihm strenge Weisung, hieß ihn auf der Stelle weggehen
Markus 1:44	und sagte zu ihm: „Hüte dich, jemandem etwas davon zu sagen! Gehe vielmehr hin, zeige dich dem Priester und bringe für deine Reinigung das Opfer dar, das Mose geboten hat, zum Zeugnis für sie!“
Markus 1:45	Als jener aber weggegangen war, fing er an, vielfach davon zu erzählen und die Sache überall bekanntzumachen, sodass Jesus nicht mehr öffentlich in eine Stadt hineingehen konnte, sondern sich draußen an einsamen Orten aufhalten musste; und doch kamen die Leute von allen Seiten her zu ihm.
Markus 2:1	Als er dann nach einiger Zeit wieder nach Kafarnaum gekommen war und die Kunde sich verbreitet hatte, dass er im Haus sei,
Markus 2:2	da versammelten sich alsbald so viele Leute, dass selbst der Platz vor der Tür für sie nicht mehr ausreichte; und er verkündigte ihnen das Wort.
Markus 2:3	Da kamen Leute zu ihm, die einen Gelähmten brachten, der von vier Männern getragen wurde.
Markus 2:4	Weil sie nun mit ihm wegen der Menschenmenge nicht an ihn herankommen konnten, deckten sie über der Stelle, wo Jesus sich befand, das Hausdach ab und ließen das Tragbett, auf dem der Gelähmte lag, durch eine Öffnung, die sie durchgebrochen hatten, hinab.
Markus 2:5	Als Jesus nun ihren Glauben erkannte, sagte er zu dem Gelähmten: „Mein Sohn, deine Sünden sind dir vergeben!“
Markus 2:6	Es saßen dort aber einige Schriftgelehrte, die machten sich in ihrem Herzen Gedanken:
Markus 2:7	„Wie kann dieser so reden? Er lästert ja Gott! Wer kann Sünden vergeben außer Gott allein?“
Markus 2:8	Da nun Jesus in seinem Geist sogleich erkannte, dass sie so bei sich dachten, sagte er zu ihnen: „Warum denkt ihr so in eurem Herzen?
Markus 2:9	Was ist leichter, zu dem Gelähmten zu sagen: ‚Deine Sünden sind dir vergeben‘, oder zu sagen: ‚Stehe auf, nimm dein Tragbett und gehe umher‘?
Markus 2:10	Damit ihr aber wisst, dass der Menschensohn Vollmacht hat, Sünden auf Erden zu vergeben“, sagte er hierauf zu dem Gelähmten:
Markus 2:11	„Ich sage dir: Stehe auf, nimm dein Bett und gehe heim in dein Haus!“
Markus 2:12	Da stand er auf, nahm sogleich das Tragbett und ging vor aller Augen hinaus, sodass alle vor Staunen außer sich gerieten und Gott priesen und erklärten: „So etwas haben wir noch nie gesehen!“
Markus 2:13	Er ging hierauf wieder hinaus an den See, und die ganze Menschenmenge kam zu ihm, und er lehrte sie.
Markus 2:14	Im Vorübergehen sah er dann Levi, den Sohn des Alphäus, an der Zollstätte sitzen und sagte zu ihm: „Folge mir nach!” Da stand er auf und folgte ihm nach.
Markus 2:15	Nun begab es sich, als Jesus in Levis Haus zu Tisch saß, dass viele Zöllner und Sünder mit Jesus und seinen Jüngern am Mahl teilnahmen; denn es waren ihrer viele, die ihm beständig nachfolgten.
Markus 2:16	Als nun die Schriftgelehrten, die zu den Pharisäern gehörten, ihn mit den Zöllnern und Sündern zusammen essen sahen, sagten sie zu seinen Jüngern: „Wie istʼs nur möglich, dass er mit den Zöllnern und Sündern isst und trinkt?“
Markus 2:17	Als Jesus das hörte, sagte er zu ihnen: „Die Gesunden haben keinen Arzt nötig, wohl aber die Kranken. Ich bin nicht gekommen, um Gerechte zu rufen, sondern Sünder.“
Markus 2:18	Die Jünger des Johannes und die Pharisäer fasteten gerade. Da kamen Leute zu Jesus mit der Frage: „Warum fasten die Jünger des Johannes und die Schüler der Pharisäer, während deine Jünger es nicht tun?“
Markus 2:19	Jesus antwortete ihnen: „Können etwa die Hochzeitsgäste fasten, solange der Bräutigam noch bei ihnen weilt? Nein, solange sie den Bräutigam noch bei sich haben, können sie nicht fasten.
Markus 2:20	Es werden aber Tage kommen, wo der Bräutigam ihnen genommen sein wird; dann, an jenem Tag, werden sie fasten.
Markus 2:21	Niemand setzt ein Stück von ungewalktem Tuch auf ein altes Kleid; sonst reißt der eingesetzte, neue Fleck von dem alten Kleid wieder ab, und es entsteht ein noch schlimmerer Riss.
Markus 2:22	Auch füllt niemand neuen Wein in alte Schläuche; sonst sprengt der Wein die Schläuche, und der Wein geht samt den Schläuchen verloren. Nein, neuer Wein gehört in neue Schläuche.“
Markus 2:23	Einst begab es sich, dass Jesus am Sabbat durch die Kornfelder ging, und seine Jünger begannen im Dahingehen Ähren abzupflücken.
Markus 2:24	Da sagten die Pharisäer zu ihm: „Sieh, was sie da am Sabbat Unerlaubtes tun!“
Markus 2:25	Er antwortete ihnen: „Habt ihr noch niemals gelesen, was David getan hat, als er Mangel litt und ihn samt seinen Begleitern hungerte?
Markus 2:26	Wie er da ins Haus Gottes ging zur Zeit des Hohepriesters Abjatar und die Schaubrote aß, die doch niemand außer den Priestern essen darf, und auch seinen Begleitern davon gab?“
Markus 2:27	Dann fuhr er fort: „Der Sabbat ist um des Menschen willen da und nicht der Mensch um des Sabbats willen;
Markus 2:28	somit ist der Menschensohn Herr auch über den Sabbat.“
Markus 3:1	Als er dann wieder einmal in eine Synagoge gegangen war, befand sich dort ein Mann, der einen verdorrten Arm hatte;
Markus 3:2	und sie lauerten ihm auf, ob er ihn am Sabbat heilen würde, um dann eine Anklage gegen ihn zu erheben.
Markus 3:3	Da sagte er zu dem Mann, der den verdorrten Arm hatte: „Stehe auf und tritt vor in die Mitte!“
Markus 3:4	Dann fragte er sie: „Darf man am Sabbat Gutes tun oder soll man Böses tun? Darf man ein Leben retten oder soll man es töten?“ Sie aber schwiegen.
Markus 3:5	Da blickte er sie ringsum voll Zorn an, betrübt über die Verstocktheit ihres Herzens, und sagte zu dem Mann: „Strecke deinen Arm aus!“ Er streckte ihn aus, und sein Arm wurde wiederhergestellt.
Markus 3:6	Da gingen die Pharisäer sogleich hinaus und berieten sich mit den Anhängern des Herodes darüber, wie sie ihn umbringen könnten.
Markus 3:7	Jesus zog sich dann mit seinen Jüngern an den See zurück, und eine große Menschenmenge aus Galiläa begleitete ihn; auch aus Judäa
Markus 3:8	und Jerusalem, aus Idumäa und dem Ostjordanland und aus der Gegend von Tyrus und Sidon kamen die Leute auf die Kunde von allen seinen Taten hin in großen Scharen zu ihm.
Markus 3:9	So sagte er denn seinen Jüngern, ein Boot solle wegen der Menschenmenge für ihn bereitgehalten werden, damit man ihn nicht zu arg bedränge;
Markus 3:10	denn weil er viele heilte, so suchten alle, die ein Leiden hatten, mit Gewalt an ihn heranzukommen, um ihn berühren zu können;
Markus 3:11	und so oft die unreinen Geister ihn erblickten, warfen sie sich vor ihm nieder und riefen laut: „Du bist der Sohn Gottes!“
Markus 3:12	Er gab ihnen dann allemal die strenge Weisung, sie sollten ihn nicht als Messias offenbar machen.
Markus 3:13	Da stieg er auf den Berg hinauf und rief die zu sich, die er selbst bei sich zu haben wünschte; und sie traten zu ihm heran.
Markus 3:14	So berief er denn zwölf, [die er auch Apostel nannte]; diese sollten beständig bei ihm sein, und er wollte sie auch aussenden, damit sie das Evangelium verkündigten;
Markus 3:15	sie sollten auch Vollmacht zum Austreiben der bösen Geister haben.
Markus 3:16	So setzte er die Zwölf ein und gab dem Simon den Beinamen Petrus;
Markus 3:17	ferner Jakobus, den Sohn des Zebedäus, und Johannes, den Bruder des Jakobus, denen er den Beinamen Boanerges, das heißt „Donnersöhne“, gab;
Markus 3:18	ferner Andreas, Philippus, Bartholomäus, Matthäus, Thomas, Jakobus, den Sohn des Alphäus, Thaddäus, Simon, den Kananäer,
Markus 3:19	und Judas Iskariot, denselben, der ihn später überantwortet hat.
Markus 3:20	Er ging dann in ein Haus; da sammelte sich wieder eine solche Menschenmenge an, dass sie nicht einmal Zeit zum Essen hatten.
Markus 3:21	Als seine Angehörigen Kunde davon erhielten, machten sie sich auf den Weg, um ihn mit Gewalt heimzuholen; denn sie sagten, er sei von Sinnen.
Markus 3:22	Auch die Schriftgelehrten, die aus Jerusalem herabgekommen waren, sagten: „Er ist von Beelzebul besessen“, und: „Im Bunde mit dem Obersten der bösen Geister treibt er die Geister aus.“
Markus 3:23	Da rief Jesus sie zu sich und redete in Gleichnissen zu ihnen: „Wie kann der Satan den Satan austreiben?
Markus 3:24	Und wenn ein Reich in sich selbst uneinig ist, so kann ein solches Reich keinen Bestand haben;
Markus 3:25	und wenn ein Haus in sich selbst uneinig ist, so wird ein solches Haus keinen Bestand haben können;
Markus 3:26	und wenn der Satan sich gegen sich selbst erhebt und mit sich selbst in Zwiespalt gerät, so kann er nicht bestehen, sondern es ist zu Ende mit ihm.
Markus 3:27	Niemand kann aber in das Haus des Starken eindringen und ihm seinen Hausrat rauben, ohne zuvor den Starken gefesselt zu haben: Erst dann kann er sein Haus ausplündern.
Markus 3:28	Wahrlich, ich sage euch: Alle Sünden werden den Menschenkindern vergeben werden, auch die Lästerungen, so viele sie derer aussprechen mögen;
Markus 3:29	wer sich aber gegen den Heiligen Geist der Lästerung schuldig macht, der erlangt in Ewigkeit keine Vergebung, sondern ist einer ewigen Sünde schuldig.“
Markus 3:30	Das sagte Jesus, weil sie behaupteten, er sei von einem unreinen Geist besessen.
Markus 3:31	Da kamen seine Mutter und seine Brüder; sie blieben draußen stehen, schickten zu ihm und ließen ihn rufen,
Markus 3:32	während gerade eine große Menschenmenge um ihn herum saß. Als man ihm nun meldete: „Deine Mutter und deine Brüder [und deine Schwestern] sind draußen und fragen nach dir“,
Markus 3:33	gab er ihnen zur Antwort: „Wer ist meine Mutter, und wer sind meine Brüder?“
Markus 3:34	Und er blickte auf die, welche rings im Kreis um ihn saßen, und sagte: „Seht, diese hier sind meine Mutter und meine Brüder!
Markus 3:35	Jeder, der den Willen Gottes tut, ist mir Bruder und Schwester und Mutter.“
Markus 4:1	Und wieder einmal begann er am See zu lehren; und es sammelte sich eine sehr große Menschenmenge bei ihm, sodass er in ein Boot stieg und sich auf dem See darin niedersetzte, während die gesamte Menge sich auf dem Land am Ufer des Sees befand.
Markus 4:2	Da trug er ihnen vielerlei Lehren in Gleichnissen vor und sagte zu ihnen bei seiner Belehrung:
Markus 4:3	„Hört zu! Seht, der Sämann ging aus, um zu säen;
Markus 4:4	und beim Säen fiel einiges vom Saatkorn daneben auf den Weg; da kamen die Vögel und fraßen es auf.
Markus 4:5	Anderes fiel auf felsigen Boden, wo es nicht viel Erdreich hatte und bald aufschoss, weil es nicht tief in den Boden dringen konnte;
Markus 4:6	als dann die Sonne aufgegangen war, wurde es versengt und verdorrte, weil es keine Wurzel geschlagen hatte.
Markus 4:7	Wieder anderes fiel unter die Dornen; und die Dornen wuchsen empor und erstickten es, und es brachte keine Frucht.
Markus 4:8	Anderes aber fiel auf guten Boden und brachte Frucht, indem es aufging und wuchs; und das eine trug dreißigfältig, das andere sechzigfältig, noch anderes hundertfältig.“
Markus 4:9	Er schloss mit den Worten: „Wer Ohren hat zu hören, der höre!“
Markus 4:10	Als er dann allein war, fragten ihn die, welche samt den Zwölfen bei ihm waren, nach dem Sinn des Gleichnisses.
Markus 4:11	Da antwortete er ihnen: „Euch ist es gegeben, das Geheimnis des Reiches Gottes zu erkennen; den Außenstehenden aber wird alles nur in Gleichnissen zuteil,
Markus 4:12	damit sie immerfort sehen und doch nicht wahrnehmen und immerfort hören und doch nicht verstehen, auf dass sie sich nicht bekehren und ihnen nicht Vergebung zuteilwerde.“
Markus 4:13	Dann fuhr er fort: „Ihr versteht dieses Gleichnis nicht? Ja, wie wollt ihr da die Gleichnisse überhaupt verstehen?
Markus 4:14	Der Sämann sät das Wort.
Markus 4:15	Die aber, bei denen der Same daneben auf den Weg fällt, sind solche: Da wird das Wort wohl gesät, doch wenn sie es gehört haben, kommt sogleich der Satan und nimmt das Wort weg, das in sie gesät war.
Markus 4:16	Ebenso die, bei denen der Same auf felsiges Land fällt, das sind solche: Wenn sie das Wort hören, nehmen sie es für den Augenblick mit Freuden an;
Markus 4:17	doch sie haben keine Wurzel in sich, sondern sind Kinder des Augenblicks; wenn nachher Drangsal oder Verfolgung um des Wortes willen kommt, nehmen sie sogleich am Glauben Anstoß.
Markus 4:18	Bei anderen fällt der Same unter die Dornen; das sind solche, die das Wort wohl gehört haben,
Markus 4:19	doch die weltlichen Sorgen und das Täuschende des Reichtums und die sonstigen Gelüste dringen in sie ein und ersticken das Wort: So bleibt es ohne Frucht.
Markus 4:20	Wo aber auf guten Boden gesät worden ist, das sind solche, die das Wort hören und aufnehmen und Frucht bringen, dreißigfältig und sechzigfältig und hundertfältig.“
Markus 4:21	Weiter sagte er zu ihnen: „Bringt man etwa ein Licht in das Zimmer, damit man es unter den Scheffel oder unter das Bett stelle? Nein, damit es auf den Leuchter gestellt werde.
Markus 4:22	Denn es gibt nichts Verborgenes, das nicht offenbar wird, und nichts ist in Geheimnis gehüllt worden, das nicht ans Tageslicht kommt.
Markus 4:23	Wer Ohren hat zu hören, der höre!“
Markus 4:24	Dann fuhr er fort: „Achtet auf das, was ihr hört! Mit demselben Maß, mit dem ihr messt, wird auch euch gemessen werden, und es wird euch noch hinzugetan werden.
Markus 4:25	Denn wer da hat, dem wird noch dazugegeben werden, und wer nicht hat, dem wird auch das genommen werden, was er hat.“
Markus 4:26	Er fuhr dann fort: „Mit dem Reich Gottes verhält es sich so, wie wenn jemand den Samen auf das Land wirft
Markus 4:27	und dann schläft und aufsteht in der Nacht und bei Tag; und der Same sprosst und wächst hoch, ohne dass er selbst etwas davon weiß.
Markus 4:28	Von selbst bringt die Erde Frucht hervor, zuerst die grünen Halme, dann die Ähren, dann den vollen Weizen in den Ähren.
Markus 4:29	Wenn aber die Frucht es zulässt, legt er sofort die Sichel an; denn die Ernte ist da.“
Markus 4:30	Weiter sagte er: „Womit sollen wir das Reich Gottes vergleichen oder in welchem Gleichnis es darstellen?
Markus 4:31	Es gleicht einem Senfkorn, das, wenn man es in den Erdboden sät, kleiner ist als alle anderen Samenarten auf der Erde;
Markus 4:32	doch wenn es gesät ist, geht es auf und wird größer als alle anderen Gartengewächse und treibt große Zweige, sodass unter seinem Schatten die Vögel des Himmels nisten können.“
Markus 4:33	In vielen derartigen Gleichnissen verkündete Jesus ihnen das Wort, je nachdem, wie sie es zu verstehen vermochten;
Markus 4:34	aber ohne Gleichnis redete er nicht zu ihnen; wenn er dann mit seinen Jüngern allein war, gab er ihnen die Auslegung von allem.
Markus 4:35	Er sagte dann zu ihnen an jenem Tag, als es Abend geworden war: „Wir wollen ans andere Ufer des Sees hinüberfahren!“
Markus 4:36	So ließen sie denn die Menschenmenge gehen und nahmen ihn, wie er war, im Boot mit; doch auch noch andere Boote begleiteten ihn.
Markus 4:37	Da erhob sich ein gewaltiger Sturm, und die Wellen schlugen in das Boot, sodass das Boot sich schon mit Wasser zu füllen begann;
Markus 4:38	er selbst aber lag im hinteren Teil des Bootes und schlief auf einem Kissen. Sie weckten ihn nun und sagten zu ihm: „Meister, ist es dir gleich, dass wir umkommen?“
Markus 4:39	Da stand er auf, drohte dem Wind und gebot dem See: „Schweig! Werde still!“ Da legte sich der Wind, und es trat völlige Windstille ein.
Markus 4:40	Hierauf sagte er zu ihnen: „Was seid ihr so von Angst erfüllt? Habt ihr immer noch keinen Glauben?“
Markus 4:41	Da gerieten sie in große Furcht und sagten zueinander: „Wer ist dieser, dass auch der Wind und der See ihm gehorsam sind?“
Markus 5:1	Sie kamen dann an das jenseitige Ufer des Sees in das Gebiet der Gerasener.
Markus 5:2	Als er dort aus dem Boot gestiegen war, lief ihm sogleich von den Grabhöhlen her ein Mann entgegen, der von einem unreinen Geist besessen war.
Markus 5:3	Er lebte in den Grabhöhlen, und niemand vermochte ihn zu fesseln, auch nicht mit einer Kette;
