Mateo 1:1	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham:
Marcos 2:3	Entonces vinieron a él unos trayendo un paralítico, que era cargado entre cuatro.
Marcos 2:4	Y como no podían acercarse a él a causa del gentío, destaparon el techo de donde él estaba y, haciendo una abertura, bajaron el lecho en que yacía el paralítico.
Marcos 2:5	Y al ver Jesús la fe de ellos, dijo al paralítico: Hijo, tus pecados te son perdonados.
Marcos 2:6	Estaban allí sentados algunos de los escribas, los cuales, pensando en sus corazones,
Marcos 2:7	decían: ¿Por qué habla este así? Blasfemias dice. ¿Quién puede perdonar pecados, sino solo Dios?
Marcos 2:8	Y conociendo al instante Jesús en su espíritu que pensaban así dentro de sí mismos, les dijo: ¿Por qué pensáis estas cosas en vuestros corazones?
Marcos 2:9	¿Qué es más fácil, decir al paralítico: Tus pecados te son perdonados, o decirle: Levántate, y toma tu lecho y anda?
Marcos 2:10	Pues para que sepáis que el Hijo del Hombre tiene potestad en la tierra para perdonar pecados (dijo al paralítico):
Marcos 2:11	A ti te digo: ¡Levántate!, y toma tu lecho y vete a tu casa.
Marcos 2:12	Entonces él se levantó enseguida y, tomando su lecho, salió delante de todos, de manera que todos se asombraron y glorificaron a Dios, diciendo: Nunca hemos visto tal cosa.
Marcos 2:13	Y volvió a salir al mar, y toda la gente venía a él, y les enseñaba.
Marcos 2:14	Y al pasar, vio a Leví hijo de Alfeo sentado al banco de los tributos públicos, y le dijo: Sígueme. Y levantándose, le siguió.
Marcos 2:15	Y aconteció que, estando Jesús a la mesa en casa de él, muchos publicanos y pecadores estaban también a la mesa juntamente con Jesús y sus discípulos, porque había muchos y le habían seguido.
Marcos 2:16	Y los escribas y los fariseos, viéndole comer con los publicanos y con los pecadores, dijeron a los discípulos: ¿Qué es esto, que él come y bebe con los publicanos y con los pecadores?
Marcos 2:17	Y oyéndolo Jesús, les dijo: Los sanos no tienen necesidad de médico, sino los enfermos. No he venido a llamar al arrepentimiento a los justos, sino a los pecadores.
Marcos 2:18	Y los discípulos de Juan y los de los fariseos ayunaban; y vinieron y le dijeron: ¿Por qué los discípulos de Juan y los de los fariseos ayunan, y tus discípulos no ayunan?
Marcos 2:19	Y Jesús les dijo: ¿Acaso ayunan los que están de bodas mientras el esposo está con ellos? Entretanto que tienen consigo al esposo, no pueden ayunar.
Marcos 2:20	Pero vendrán días cuando el esposo les será quitado, y entonces, en aquellos días ayunarán.
Marcos 2:21	Nadie pone remiendo de paño nuevo en vestido viejo; de otra manera, el mismo remiendo nuevo tira del viejo y la rotura se hace peor.
Marcos 2:22	Ni nadie echa vino nuevo en odres viejos; de otra manera, el vino nuevo rompe los odres, y se derrama el vino y los odres se pierden, pues el vino nuevo en odres nuevos se ha de echar.
Marcos 2:23	Y aconteció que pasando él por los sembrados en el día de reposo, sus discípulos, andando, comenzaron a arrancar espigas.
Marcos 2:24	Entonces los fariseos le dijeron: He aquí, ¿por qué hacen en el día de reposo lo que no es lícito?
Marcos 2:25	Y él les dijo: ¿Nunca leísteis lo que hizo David cuando tuvo necesidad, y tuvo hambre, él y los que con él estaban;
Marcos 2:26	cómo entró en la casa de Dios, siendo Abiatar sumo sacerdote, y comió los panes de la proposición, de los cuales no es lícito comer sino a los sacerdotes, y aun dio a los que con él estaban?
Marcos 2:27	También les dijo: El día de reposo fue hecho por causa del hombre, y no el hombre por causa del día de reposo.
Marcos 2:28	Así que el Hijo del Hombre es Señor aun del día de reposo.
Marcos 3:1	Y otra vez entró en la sinagoga; y había allí un hombre que tenía seca una mano.
Marcos 3:2	Y le acechaban para ver si le sanaría en el día de reposo, para acusarle.
Marcos 3:3	Entonces dijo al hombre que tenía la mano seca: Levántate y ponte en medio.
Marcos 3:4	Y les dijo: ¿Es lícito hacer bien en el día de reposo, o hacer mal? ¿Salvar la vida, o quitarla? Pero ellos callaban.
Marcos 3:5	Y mirándolos alrededor con enojo, entristecido por la dureza de sus corazones, dijo al hombre: Extiende tu mano. Y la extendió, y su mano le fue restaurada sana.
Marcos 3:6	Entonces, saliendo los fariseos, tomaron consejo con los herodianos contra él, para matarle.
Marcos 3:7	Mas Jesús se apartó al mar con sus discípulos; y le siguió gran multitud de Galilea, y de Judea,
Marcos 3:8	y de Jerusalén, y de Idumea y del otro lado del Jordán. Y los de alrededor de Tiro y de Sidón, una gran multitud, oyendo cuán grandes cosas hacía, vinieron a él.
Marcos 3:9	Y dijo a sus discípulos que le tuviesen siempre lista la barca, a causa del gentío, para que no le oprimiesen.
Marcos 3:10	Porque había sanado a muchos, de manera que se echaban sobre él, para tocarle, cuantos tenían plagas.
Marcos 3:11	Y los espíritus inmundos, al verle, se postraban delante de él y daban voces, diciendo: ¡Tú eres el Hijo de Dios!
Marcos 3:12	Pero él los reprendía mucho para que no le dieran a conocer.
Marcos 3:13	Y subió al monte y llamó a sí a los que él quiso; y vinieron a él.
Marcos 3:14	Y designó a doce, para que estuviesen con él, y para enviarlos a predicar,
Marcos 3:15	y que tuviesen autoridad para sanar enfermedades y para echar fuera demonios:
Marcos 3:16	a Simón, a quien puso por nombre Pedro;
Marcos 3:17	y a Jacobo hijo de Zebedeo y a Juan, hermano de Jacobo; y los apellidó Boanerges, es decir, Hijos del Trueno;
Marcos 3:18	y a Andrés, y a Felipe, y a Bartolomé, y a Mateo, y a Tomás, y a Jacobo hijo de Alfeo, y a Tadeo, y a Simón el Cananita,
Marcos 3:19	y a Judas Iscariote, el que le entregó. Y entraron en una casa.
Marcos 3:20	Y se agolpó de nuevo la gente, de modo que ellos ni siquiera podían comer pan.
Marcos 3:21	Y cuando lo oyeron los suyos, vinieron para prenderle, porque decían: Está fuera de sí.
Marcos 3:22	Y los escribas que habían venido de Jerusalén decían que tenía a Beelzebú, y que por el príncipe de los demonios echaba fuera los demonios.
Marcos 3:23	Y habiéndolos llamado, les decía en parábolas: ¿Cómo puede Satanás echar fuera a Satanás?
Marcos 3:24	Y si algún reino está dividido contra sí mismo, tal reino no puede permanecer.
Marcos 3:25	Y si alguna casa está dividida contra sí misma, tal casa no puede permanecer.
Marcos 3:26	Y si Satanás se levanta contra sí mismo y está dividido, no puede permanecer, sino que ha llegado su fin.
Marcos 3:27	Nadie puede saquear las alhajas de un hombre fuerte, entrando en su casa, si antes no le ata; entonces saqueará su casa.
Marcos 3:28	De cierto os digo que todos los pecados les serán perdonados a los hijos de los hombres, y las blasfemias con que blasfemen;
Marcos 3:29	pero cualquiera que blasfeme contra el Espíritu Santo, no tiene jamás perdón, sino que está expuesto a juicio eterno.
Marcos 3:30	Porque habían dicho: Tiene espíritu inmundo.
Marcos 3:31	Vinieron después sus hermanos y su madre, y quedándose afuera, enviaron a llamarle.
Marcos 3:32	Y la gente estaba sentada alrededor de él, y le dijeron: He aquí, tu madre y tus hermanos están afuera y te buscan.
Marcos 3:33	Y él les respondió, diciendo: ¿Quién es mi madre y quienes son mis hermanos?
Marcos 3:34	Y mirando a los que estaban sentados alrededor de él, dijo: He aquí mi madre y mis hermanos.
Marcos 3:35	Porque cualquiera que hace la voluntad de Dios, ese es mi hermano, y mi hermana y mi madre.
Marcos 4:1	Y otra vez comenzó a enseñar junto al mar, y se reunió alrededor de él tanta gente, que entró él en una barca y se sentó en ella; y toda la gente estaba en tierra junto al mar.
Marcos 4:2	Y les enseñaba por parábolas muchas cosas; y les decía en su doctrina:
Marcos 4:3	Oíd: He aquí, el sembrador salió a sembrar.
Marcos 4:4	Y aconteció, al sembrar, que una parte cayó junto al camino, y vinieron las aves del cielo y se la comieron.
Marcos 4:5	Y otra parte cayó en pedregales, donde no había mucha tierra; y brotó pronto, porque la tierra no era profunda.
Marcos 4:6	Pero cuando salió el sol, se quemó; y por cuanto no tenía raíz, se secó.
Marcos 4:7	Y otra parte cayó entre espinos; y crecieron los espinos y la ahogaron, y no dio fruto.
Marcos 4:8	Y otra parte cayó en buena tierra, y dio fruto que brotó y creció; y dio a treinta, y a sesenta y a ciento por uno.
Marcos 4:9	Entonces les dijo: El que tiene oídos para oír, oiga.
Marcos 4:10	Y cuando estuvo solo, los que estaban cerca de él, con los doce, le preguntaron sobre la parábola.
Marcos 4:11	Y les dijo: A vosotros os es dado saber el misterio del reino de Dios; mas a los que están fuera, por parábolas reciben todas las cosas,
Marcos 4:12	para que viendo, vean y no perciban; y oyendo, oigan y no entiendan; no sea que se conviertan y les sean perdonados los pecados.
Marcos 4:13	Y les dijo: ¿No conocéis esta parábola? ¿Cómo, pues, entenderéis todas las parábolas?
Marcos 4:14	El sembrador es el que siembra la palabra.
Marcos 4:15	Y estos son los de junto al camino en los que se siembra la palabra; mas después que la han oído, inmediatamente viene Satanás y quita la palabra que se sembró en sus corazones.
Marcos 4:16	Y de igual manera, estos son los que son sembrados en pedregales, los que cuando han oído la palabra, enseguida la toman con gozo;
Marcos 4:17	pero no tienen raíz en sí, sino que son temporales; y cuando viene la tribulación o la persecución por causa de la palabra, enseguida tropiezan.
Marcos 4:18	Y estos son los que son sembrados entre espinos, los que oyen la palabra,
Marcos 4:19	pero los afanes de este mundo, y el engaño de las riquezas, y las codicias de otras cosas entran y ahogan la palabra, y esta se hace infructuosa.
Marcos 4:20	Y estos son los que son sembrados en buena tierra, los que oyen la palabra, y la reciben y dan fruto, a treinta, a sesenta y a ciento por uno.
Marcos 4:21	También les dijo: ¿Acaso se trae la luz para ponerla debajo del almud o debajo de la cama? ¿No es para ponerla en el candelero?
Marcos 4:22	Porque no hay nada oculto que no haya de ser manifestado, ni nada secreto que no haya de descubrirse.
Marcos 4:23	Si alguno tiene oídos para oír, oiga.
Marcos 4:24	Les dijo también: Atended a lo que oís; porque con la medida que medís, os será medido, y a vosotros los que oís, os será añadido.
Marcos 4:25	Porque al que tiene, le será dado; y al que no tiene, aun lo que tiene le será quitado.
Marcos 4:26	Decía además: Así es el reino de Dios, como cuando un hombre echa semilla en la tierra;
Marcos 4:27	y duerme y se levanta, de noche y de día, y la semilla brota y crece sin que él sepa cómo.
Marcos 4:28	Porque de sí fructifica la tierra: primero hierba, luego espiga, después grano lleno en la espiga;
Marcos 4:29	y cuando el fruto se produce, enseguida se mete la hoz, porque la siega ha llegado.
Marcos 4:30	Y decía: ¿A qué haremos semejante el reino de Dios? ¿O con qué parábola lo compararemos?
Marcos 4:31	Es como el grano de mostaza que, cuando se siembra en tierra, es la más pequeña de todas las semillas que hay en la tierra;
Marcos 4:32	mas después de sembrado, crece y se hace la mayor de todas las hortalizas, y echa grandes ramas, de tal manera que las aves del cielo pueden morar bajo su sombra.
Marcos 4:33	Y con muchas parábolas semejantes les hablaba la palabra, conforme a lo que podían oír.
Marcos 4:34	Y sin parábolas no les hablaba; mas a sus discípulos en privado les declaraba todo.
Marcos 4:35	Y les dijo aquel día cuando anochecía: Pasemos al otro lado.
Marcos 4:36	Y despidiendo a la multitud, le llevaron así como estaba en la barca; y había también con él otras barcas.
Marcos 4:37	Entonces se levantó una gran tempestad de viento, y echaba las olas en la barca, de tal manera que ya se anegaba.
Marcos 4:38	Y él estaba en la popa, durmiendo sobre un cabezal, y le despertaron y le dijeron: Maestro, ¿no tienes cuidado que perecemos?
Marcos 4:39	Y levantándose, reprendió al viento y dijo al mar: ¡Calla, enmudece! Y cesó el viento y se hizo grande bonanza.
Marcos 4:40	Y a ellos les dijo: ¿Por qué estáis así amedrentados? ¿Cómo no tenéis fe?
Marcos 4:41	Y tuvieron gran temor y se decían el uno al otro: ¿Quién es este, que aun el viento y el mar le obedecen?
Marcos 5:1	Y llegaron al otro lado del mar, a la región de los gadarenos.
Marcos 5:2	Y cuando salió él de la barca, enseguida le salió al encuentro, de entre los sepulcros, un hombre con un espíritu inmundo,
Marcos 5:3	que moraba en los sepulcros, y ni aun con cadenas podían atarle;
Marcos 5:4	porque muchas veces había sido atado con grilletes y cadenas, mas las cadenas habían sido hechas pedazos por él, y los grilletes desmenuzados; y nadie le podía dominar.
Marcos 5:5	Y siempre, de día y de noche, andaba dando voces en los montes y en los sepulcros, e hiriéndose con piedras.
Marcos 5:6	Y cuando vio a Jesús de lejos, corrió y le adoró.
Marcos 5:7	Y clamando a gran voz, dijo: ¿Qué tienes conmigo, Jesús, Hijo del Dios Altísimo? Te imploro por Dios que no me atormentes.
Marcos 5:8	Porque le decía: Sal de este hombre, espíritu inmundo.
Marcos 5:9	Y le preguntó: ¿Cómo te llamas? Y respondió, diciendo: Legión me llamo, porque somos muchos.
Marcos 5:10	Y le rogaba mucho que no los enviase fuera de aquella región.
Marcos 5:11	Y había allí cerca del monte un gran hato de cerdos paciendo.
Marcos 5:12	Y le rogaron todos los demonios, diciendo: Envíanos a los cerdos para que entremos en ellos.
Marcos 5:13	Y Jesús se lo permitió. Y saliendo aquellos espíritus inmundos, entraron en los cerdos, y el hato se lanzó al mar por un despeñadero, los cuales eran como dos mil; y en el mar se ahogaron.
Marcos 5:14	Y los que apacentaban los cerdos huyeron y dieron aviso en la ciudad y en los campos. Y salieron para ver qué era aquello que había acontecido.
Marcos 5:15	Y vinieron a Jesús y vieron al que había sido atormentado por el demonio, y que había tenido la legión, sentado y vestido y en su juicio cabal; y tuvieron miedo.
Marcos 5:16	Y los que lo habían visto les contaron lo que le había acontecido al que había tenido el demonio, y lo de los cerdos.
Marcos 5:17	Y comenzaron a rogarle a Jesús que se fuese de sus contornos.
Marcos 5:18	Y entrando él en la barca, el que había estado poseído por el demonio le rogaba que le dejase estar con él.
Marcos 5:19	Mas Jesús no se lo permitió, sino que le dijo: Vete a tu casa, a los tuyos, y cuéntales cuán grandes cosas el Señor ha hecho contigo y cómo ha tenido misericordia de ti.
Marcos 5:20	Entonces se fue y comenzó a publicar en Decápolis cuán grandes cosas Jesús había hecho con él; y todos se maravillaban.
Marcos 5:21	Y pasando otra vez Jesús en una barca al otro lado, se reunió alrededor de él una gran multitud; y él estaba junto al mar.
Marcos 5:22	Y vino uno de los principales de la sinagoga, llamado Jairo; y cuando le vio, se postró a sus pies
Marcos 5:23	y le rogaba mucho, diciendo: Mi hija está al borde de la muerte; ven y pon las manos sobre ella para que sea salva, y viva.
Marcos 5:24	Y fue con él, y le seguía una gran multitud, y le apretaban.
Marcos 5:25	Y una mujer que padecía de flujo de sangre desde hacía doce años,
Marcos 5:26	y había sufrido mucho a manos de muchos médicos, y había gastado todo lo que tenía, y de nada le había aprovechado, sino que le iba peor,
Marcos 5:27	cuando oyó hablar de Jesús, se acercó por detrás entre la multitud y tocó su manto.
Marcos 5:28	Porque decía: Si tocare tan solo su manto, quedaré sana.
Marcos 5:29	Y al instante la fuente de sangre se secó, y sintió en el cuerpo que estaba sana de aquel padecimiento.
Marcos 5:30	E inmediatamente Jesús, conociendo en sí mismo que había salido virtud de él, volviéndose a la multitud, dijo: ¿Quién ha tocado mis vestidos?
Marcos 5:31	Y le dijeron sus discípulos: Ves que la multitud te aprieta, y dices: ¿Quién me ha tocado?
Marcos 5:32	Y él miraba alrededor para ver a la que había hecho esto.
Marcos 5:33	Entonces la mujer, temiendo y temblando, sabiendo lo que en ella se había hecho, vino y se postró delante de él, y le dijo toda la verdad.
Marcos 5:34	Y él le dijo: Hija, tu fe te ha sanado; ve en paz y queda sana de tu aflicción.
Marcos 5:35	Y mientras él aún hablaba, vinieron de la casa del principal de la sinagoga, diciendo: Tu hija ha muerto, ¿para qué molestas más al Maestro?
Marcos 5:36	Pero Jesús, oyendo lo que se decía, dijo al principal de la sinagoga: No temas, cree solamente.
Marcos 5:37	Y no permitió que nadie fuese con él sino Pedro, y Jacobo y Juan, hermano de Jacobo.
Marcos 5:38	Y vino a la casa del principal de la sinagoga, y vio el alboroto y a los que lloraban y gemían mucho.
Marcos 5:39	Y entrando, les dijo: ¿Por qué alborotáis y lloráis? La muchacha no está muerta, sino duerme.
Marcos 5:40	Y hacían burla de él; mas él, echando fuera a todos, tomó al padre y a la madre de la muchacha, y a los que estaban con él, y entró donde estaba la muchacha.
Marcos 5:41	Y tomando la mano de la muchacha, le dijo: Talita cumi; que interpretado es: Muchacha, a ti te digo, levántate.
Marcos 5:42	Y al instante la muchacha se levantó y andaba, pues tenía doce años. Y se espantaron con gran espanto.
Marcos 5:43	Mas él les mandó mucho que nadie lo supiese, y dijo que le diesen de comer a la muchacha.
Marcos 6:1	Y salió de allí y fue a su tierra, y le siguieron sus discípulos.
Marcos 6:2	Y cuando llegó el día de reposo, comenzó a enseñar en la sinagoga; y muchos, oyéndole, estaban atónitos y decían: ¿De dónde saca este estas cosas? ¿Y qué sabiduría es esta que le es dada, y tales maravillas que por sus manos son hechas?
Marcos 6:3	¿No es este el carpintero, hijo de María, hermano de Jacobo, y de José, y de Judas y de Simón? ¿No están también aquí con nosotros sus hermanas? Y se escandalizaban de él.
Marcos 6:4	Mas Jesús les decía: No hay profeta sin honra sino en su propia tierra, y entre sus parientes y en su casa.
Marcos 6:5	Y no pudo hacer allí ningún milagro; solamente sanó a unos pocos enfermos, poniendo sobre ellos las manos.
Marcos 6:6	Y estaba asombrado de la incredulidad de ellos. Y recorría las aldeas de alrededor, enseñando.
Marcos 6:7	Y llamó a los doce y comenzó a enviarlos de dos en dos; y les dio autoridad sobre los espíritus inmundos.
Marcos 6:8	Y les mandó que no llevasen nada para el camino: ni alforja, ni pan, ni dinero en la bolsa, sino solamente bastón,
Marcos 6:9	y que calzasen sandalias y no vistiesen dos túnicas.
Marcos 6:10	Y les dijo: Dondequiera que entréis en una casa, quedaos en ella hasta que salgáis de aquel lugar.
Marcos 6:11	Y por todos aquellos que no os recibieren ni os oyeren, saliendo de allí, sacudid el polvo que está debajo de vuestros pies, en testimonio contra ellos. De cierto os digo que en el día del juicio será más tolerable el castigo para los de Sodoma y Gomorra que para aquella ciudad.
Marcos 6:12	Y saliendo, predicaban que los hombres se arrepintiesen.
Marcos 6:13	Y echaban fuera muchos demonios, y ungían con aceite a muchos enfermos y los sanaban.
Marcos 6:14	Y oyó el rey Herodes la fama de Jesús, porque su nombre se había hecho notorio, y dijo: Juan el Bautista ha resucitado de entre los muertos, y por tanto, poderes milagrosos actúan en él.
Marcos 6:15	Otros decían: Es Elías. Y otros decían: Es profeta, o alguno de los profetas.
Marcos 6:16	Y oyéndolo Herodes, dijo: Este es Juan, el que yo decapité; él ha resucitado de los muertos.
Marcos 6:17	Porque el mismo Herodes había enviado a apresar a Juan y le había encadenado en la cárcel a causa de Herodías, esposa de Felipe, su hermano; pues la había tomado por esposa.
Marcos 6:18	Porque Juan decía a Herodes: No te es lícito tener la esposa de tu hermano.
Marcos 6:19	Mas Herodías le acechaba y deseaba matarle. Pero no podía,
Marcos 6:20	porque Herodes temía a Juan, sabiendo que era un hombre justo y santo, y le tenía respeto; y oyéndole, hacía muchas cosas; y le oía de buena gana.
Marcos 6:21	Y llegó un día oportuno en que Herodes, en la fiesta de su cumpleaños, daba una cena a sus príncipes y tribunos, y a los principales de Galilea;
Marcos 6:22	y entró la hija de Herodías y danzó, y agradó a Herodes y a los que estaban con él a la mesa, y el rey dijo a la muchacha: Pídeme lo que quieras, que yo te lo daré.
Marcos 6:23	Y le juró: Todo lo que me pidas te daré, hasta la mitad de mi reino.
Marcos 6:24	Y saliendo ella, dijo a su madre: ¿Qué pediré? Y ella le dijo: La cabeza de Juan el Bautista.
Marcos 6:25	Entonces ella entró prontamente ante el rey, y pidió diciendo: Quiero que ahora mismo me des en un plato la cabeza de Juan el Bautista.
Marcos 6:26	Y el rey se entristeció mucho, pero a causa del juramento y de los que estaban con él a la mesa, no quiso desairarla.
Marcos 6:27	Y enseguida el rey, enviando a uno de la guardia, mandó que fuese traída la cabeza de Juan;
Marcos 6:28	el guardia fue y lo decapitó en la cárcel, y trajo su cabeza en un plato y se la dio a la muchacha, y la muchacha se la dio a su madre.
Marcos 6:29	Y oyéndolo sus discípulos, vinieron y tomaron su cuerpo, y lo pusieron en un sepulcro.
Marcos 6:30	Y los apóstoles se reunieron con Jesús y le contaron todo lo que habían hecho y lo que habían enseñado.
Marcos 6:31	Y él les dijo: Venid vosotros aparte a un lugar desierto, y reposad un poco. Porque eran muchos los que iban y venían, de modo que ni aun tenían oportunidad de comer.
Marcos 6:32	Y se fueron solos en una barca a un lugar desierto.
Marcos 6:33	Pero muchos los vieron ir y le reconocieron; y concurrieron allá muchos a pie desde las ciudades, y llegaron antes que ellos y se reunieron con él.
Marcos 6:34	Y saliendo Jesús, vio una gran multitud y tuvo compasión de ellos, porque eran como ovejas que no tenían pastor; y comenzó a enseñarles muchas cosas.
Marcos 6:35	Y cuando ya era muy avanzada la hora, sus discípulos se acercaron a él, diciendo: El lugar es desierto y la hora ya muy entrada.
Marcos 6:36	Despídelos para que vayan a los campos y las aldeas de alrededor y compren para sí pan, porque no tienen qué comer.
Marcos 6:37	Y respondiendo él, les dijo: Dadles de comer vosotros. Y le dijeron: ¿Quieres que vayamos y compremos pan por doscientos denarios y les demos de comer?
Marcos 6:38	Y él les dijo: ¿Cuántos panes tenéis? Id y vedlo. Y al saberlo, dijeron: Cinco, y dos peces.
Marcos 6:39	Y les mandó que hiciesen recostar a todos por grupos sobre la hierba verde.
Marcos 6:40	Y se recostaron por grupos, de ciento en ciento, y de cincuenta en cincuenta.
Marcos 6:41	Y tomando los cinco panes y los dos peces, y mirando al cielo, bendijo y partió los panes, y dio a sus discípulos para que los pusiesen delante; y repartió entre todos los dos peces.
Marcos 6:42	Y comieron todos y se saciaron.
Marcos 6:43	Y recogieron doce cestas llenas de los pedazos y de lo sobrante de los peces.
Marcos 6:44	Y los que comieron eran cinco mil hombres.
Marcos 6:45	Y enseguida dio prisa a sus discípulos a subir en la barca e ir delante de él a Betsaida, al otro lado, entretanto que él despedía a la multitud.
Marcos 6:46	Y después que los hubo despedido, se fue al monte a orar.
Marcos 6:47	Y cuando fue ya tarde, la barca estaba en medio del mar, y él solo en tierra.
Marcos 6:48	Y los vio fatigados, remando, porque el viento les era contrario; y cerca de la cuarta vigilia de la noche, vino a ellos caminando sobre el mar, y quería adelantárseles.
Marcos 6:49	Y viéndole ellos andar sobre el mar, pensaron que era un fantasma y dieron voces;
Marcos 6:50	porque todos le veían y se turbaron. Pero enseguida habló con ellos y les dijo: ¡Tened buen ánimo; yo soy, no temáis!
Marcos 6:51	Y subió a ellos en la barca, y se calmó el viento; y ellos estaban asombrados en gran manera y se maravillaban;
Marcos 6:52	porque aún no habían entendido lo de los panes, por cuanto estaban endurecidos sus corazones.
Marcos 6:53	Y cuando pasaron al otro lado, llegaron a la tierra de Genesaret y arribaron a la orilla.
Marcos 6:54	Y saliendo ellos de la barca, de inmediato le reconocieron.
Marcos 6:55	Y recorriendo toda la tierra de alrededor, comenzaron a traer enfermos en lechos de todas partes a donde oían que él estaba.
Marcos 6:56	Y dondequiera que entraba, en aldeas, o en ciudades o en campos, ponían en las calles a los que estaban enfermos y le rogaban que les permitiese tocar siquiera el borde de su manto; y todos los que le tocaban quedaban sanos.
Marcos 7:1	Y se reunieron con Jesús los fariseos y algunos de los escribas que habían venido de Jerusalén;
Marcos 7:2	estos, viendo a algunos de sus discípulos comer pan con manos impuras, a saber, no lavadas, los condenaban.
Marcos 7:3	(Porque los fariseos y todos los judíos, siguiendo la tradición de los ancianos, si no se lavan las manos muchas veces, no comen.
Marcos 7:4	Y volviendo de la plaza, si no se lavan, no comen. Y otras muchas cosas hay que tomaron para observar, como el lavado de los vasos de beber, y de los jarros, y de los utensilios de metal y de los lechos).
Marcos 7:5	Y le preguntaron los fariseos y los escribas: ¿Por qué tus discípulos no andan conforme a la tradición de los ancianos, sino que comen pan con manos impuras?
Marcos 7:6	Y respondiendo él, les dijo: ¡Hipócritas! Bien profetizó de vosotros Isaías, como está escrito:Este pueblo con los labios me honra,mas su corazón está lejos de mí.
Marcos 7:7	Pues en vano me honran,enseñando como doctrinas mandamientos de hombres.
Marcos 7:8	Porque dejando el mandamiento de Dios, os aferráis a la tradición de los hombres: el lavado de los jarros y de los vasos de beber; y hacéis otras muchas cosas semejantes.
Marcos 7:9	Les decía también: Bien invalidáis el mandamiento de Dios para guardar vuestra tradición.
Marcos 7:10	Porque Moisés dijo: Honra a tu padre y a tu madre, y: El que maldiga al padre o a la madre ciertamente morirá.
Marcos 7:11	Pero vosotros decís: Basta que un hombre diga al padre o a la madre: Es Corbán, es decir, mi ofrenda a Dios, todo aquello con que pudiera ayudarte;
Marcos 7:12	y no le dejáis hacer más por su padre o por su madre,
Marcos 7:13	invalidando la palabra de Dios con vuestra tradición que habéis transmitido; y muchas cosas hacéis semejantes a estas.
Marcos 7:14	Y llamando a toda la multitud, les dijo: Oídme todos y entended:
Marcos 7:15	Nada hay fuera del hombre que entre en él que le pueda contaminar; mas lo que sale de él, eso es lo que contamina al hombre.
Marcos 7:16	Si alguno tiene oídos para oír, oiga.
Marcos 7:17	Y apartado de la multitud, habiendo entrado en casa, le preguntaron sus discípulos sobre la parábola.
Marcos 7:18	Y les dijo: ¿También vosotros estáis así, sin entendimiento? ¿No entendéis que nada de fuera que entra en el hombre le puede contaminar,
Marcos 7:19	porque no entra en su corazón, sino en el vientre, y sale a la letrina? Esto decía, declarando limpios todos los alimentos.
Marcos 7:20	Mas decía que lo que del hombre sale, eso contamina al hombre.
Marcos 7:21	Porque de dentro, del corazón de los hombres, salen los malos pensamientos, los adulterios, las fornicaciones, los homicidios,
Marcos 7:22	los hurtos, las avaricias, las maldades, el engaño, la lascivia, la envidia, las injurias, la soberbia y la insensatez.
Marcos 7:23	Todas estas maldades salen de dentro y contaminan al hombre.
Marcos 7:24	Y levantándose de allí, se fue a la región de Tiro y de Sidón; y entrando en una casa, no quería que nadie lo supiese, pero no pudo esconderse.
Marcos 7:25	Porque una mujer, cuya hija tenía un espíritu inmundo, enseguida que oyó de él, vino y se postró a sus pies.
Marcos 7:26	Y la mujer era griega, sirofenicia de origen; y le rogaba que echase al demonio fuera de su hija.
Marcos 7:27	Mas Jesús le dijo: Deja primero que se sacien los hijos, porque no está bien tomar el pan de los hijos y echarlo a los perrillos.
Marcos 7:28	Y respondió ella y le dijo: Sí, Señor, pero aun los perrillos debajo de la mesa comen de las migajas de los hijos.
Marcos 7:29	Entonces le dijo: Por causa de esta palabra, ve; el demonio ha salido de tu hija.
Marcos 7:30	Y cuando llegó a su casa, halló que el demonio había salido, y a la hija acostada sobre la cama.
Marcos 7:31	Y Jesús, volviendo a salir de la región de Tiro, vino por Sidón al mar de Galilea, pasando por la región de Decápolis.
Marcos 7:32	Y le trajeron un sordo y tartamudo, y le rogaron que le impusiera la mano.
Marcos 7:33	Y tomándole aparte de la gente, metió sus dedos en las orejas de él, y escupiendo, tocó su lengua;
Marcos 7:34	y mirando al cielo, gimió y le dijo: ¡Efata!, es decir: ¡Sé abierto!
Marcos 7:35	Y al instante fueron abiertos sus oídos y se desató la ligadura de su lengua, y hablaba bien.
Marcos 7:36	Y les mandó que no lo dijesen a nadie; pero cuanto más les mandaba, tanto más y más lo divulgaban.
Marcos 7:37	Y en gran manera se maravillaban, diciendo: Bien lo ha hecho todo; hace a los sordos oír y a los mudos hablar.
Marcos 8:1	En aquellos días, como había una gran multitud y no tenían qué comer, Jesús llamó a sus discípulos y les dijo:
Marcos 8:2	Tengo compasión de la multitud, porque ya hace tres días que están conmigo y no tienen qué comer;
Marcos 8:3	y si los envío en ayunas a sus casas, se desmayarán por el camino, porque algunos de ellos han venido de lejos.
Marcos 8:4	Y sus discípulos le respondieron: ¿De dónde podrá alguien saciar de pan a estos aquí en el desierto?
Marcos 8:5	Y les preguntó: ¿Cuántos panes tenéis? Y ellos dijeron: Siete.
Marcos 8:6	Entonces mandó a la multitud que se recostase en tierra; y tomando los siete panes, habiendo dado gracias, los partió y dio a sus discípulos para que los pusiesen delante; y los pusieron delante de la multitud.
Marcos 8:7	Tenían también unos pocos pececillos; y los bendijo y mandó que también los pusiesen delante.
