Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
1 Samuel 13:12	da dachte ich: ‚Jetzt werden die Philister gegen mich nach Gilgal herabziehen, ehe ich noch die Huld des Herrn für mich gewonnen habe‘; da habe ich mir denn ein Herz gefasst und das Brandopfer dargebracht.“
1 Samuel 13:13	Da sagte Samuel zu Saul: „Du hast töricht gehandelt, dass du das Gebot, das der Herr, dein Gott, dir gegeben hat, nicht beachtet hast; sonst hätte der Herr jetzt dein Königtum über Israel für immer bestätigt;
1 Samuel 13:14	nun aber wird dein Königtum keinen Bestand haben. Der Herr sucht sich bereits einen Mann nach seinem Herzen, und der Herr bestellt ihn zum Fürsten über sein Volk; denn du hast nicht befolgt, was der Herr dir geboten hatte.“
1 Samuel 13:15	Hierauf machte Samuel sich auf, verließ Gilgal und ging seines Weges; der Rest des Heeres aber folgte dem Saul von Gilgal nach Gibea im Stamme Benjamin; dort musterte Saul das Kriegsvolk, das sich noch bei ihm befand, etwa sechshundert Mann,
1 Samuel 13:16	und verblieb mit seinem Sohn Jonatan und den ihm zur Verfügung stehenden Männern zu Geba im Stamm Benjamin, während die Philister sich bei Michmas gelagert hatten.
1 Samuel 13:17	Da zog die plündernde Schar aus dem Lager der Philister in drei Abteilungen aus: Die eine Abteilung wandte sich Richtung Ofra in das Gebiet Schual,
1 Samuel 13:18	die zweite Abteilung zog Richtung Bet-Horon, und die dritte Abteilung schlug die Richtung zu dem Hügel ein, der über die Hyänenschlucht emporragt, zur Wüste hin.
1 Samuel 13:19	Es war aber kein Schmied im ganzen Land Israel zu finden; denn die Philister hatten gedacht: „Die Hebräer sollen sich keine Schwerter und Spieße anfertigen dürfen!“
1 Samuel 13:20	Daher mussten alle Israeliten zu den Philistern hinabgehen, sooft jemand seine Pflugschar oder Hacke, seine Axt oder seine Sichel zu schärfen hatte,
1 Samuel 13:21	und sooft die Schneiden an den Pflugscharen oder an den Spaten und Hacken und Äxten stumpf geworden waren, und um die Ochsenstecken geradezurichten.
1 Samuel 13:22	So kam es denn, dass beim Ausbruch des Krieges kein Schwert und kein Spieß in der Hand des ganzen Kriegsvolks, das Saul und Jonatan bei sich hatten, zu finden war; nur Saul und sein Sohn Jonatan besaßen Waffen.
1 Samuel 13:23	Ein Posten der Philister aber war zum Pass von Michmas vorgerückt.
1 Samuel 14:1	Eines Tages nun sagte Jonatan, der Sohn Sauls, zu dem Burschen, der sein Waffenträger war: „Komm, wir wollen auf den Vorposten der Philister losgehen, der dort drüben steht!“ Seinem Vater aber sagte er nichts davon;
1 Samuel 14:2	denn Saul befand sich gerade an der Grenze von Gibea unter dem Granatbaum, der bei Migron steht; und die Leute, die er bei sich hatte, machten ungefähr 600 Mann aus,
1 Samuel 14:3	und Ahija, der Sohn Ahitubs, des Bruders Ikabods, des Sohnes des Pinhas, des Sohnes Elis, des Priesters des Herrn zu Schilo, trug damals das priesterliche Schulterkleid; auch das Kriegsvolk wusste nichts davon, dass Jonatan weggegangen war.
1 Samuel 14:4	Es lag aber an der Übergangsstelle, durch welche Jonatan an den Posten der Philister heranzukommen suchte, eine Felsspitze diesseits und eine Felsspitze jenseits; die eine hieß Bozez, die andere Senne.
1 Samuel 14:5	Die eine Felsspitze fiel steil nach Norden ab gegen Michmas, die andere nach Süden zu gegen Geba.
1 Samuel 14:6	Jonatan sagte also zu seinem Waffenträger: „Komm, wir wollen auf den Posten dieser Heiden drüben losgehen; vielleicht lässt der Herr uns etwas ausrichten; denn für den Herrn gibt es kein Hindernis, durch viele oder durch wenige Leute zu retten.“
1 Samuel 14:7	Da antwortete ihm sein Waffenträger: „Mache es ganz so, wie du es beabsichtigst; ich bin mit allem einverstanden und zu allem bereit.“
1 Samuel 14:8	Jonatan fuhr fort; „Gut! Wir gehen hinüber auf die Leute los und wollen uns ihnen zeigen;
1 Samuel 14:9	wenn sie uns dann zurufen: ‚Steht still, bis wir zu euch hinkommen!‘, so wollen wir auf unserem Platz stehen bleiben und nicht zu ihnen hinaufsteigen;
1 Samuel 14:10	wenn sie uns aber so zurufen: ‚Kommt nur zu uns herauf!‘, so wollen wir zu ihnen hinaufsteigen; denn dann hat der Herr sie in unsere Hand gegeben: Dies soll uns als Zeichen dienen!“
1 Samuel 14:11	Als nun die beiden dem Posten der Philister sichtbar wurden, sagten die Philister: „Seht, da kommen ja Hebräer aus den Löchern hervor, in die sie sich verkrochen haben!“
1 Samuel 14:12	Hierauf riefen die Männer, die dort auf Posten standen, dem Jonatan und seinem Waffenträger zu: „Kommt nur herauf zu uns! Wir wollen euch einen Denkzettel geben!“ Da sagte Jonatan zu seinem Waffenträger: „Steige mir nach, denn der Herr hat sie in die Hand Israels gegeben!“
1 Samuel 14:13	So kletterte denn Jonatan auf Händen und Füßen hinan und sein Waffenträger hinter ihm her. Jene wollten sich zur Flucht vor Jonathan wenden, aber er hieb sie nieder, und sein Waffenträger tötete sie vollends hinter ihm her.
1 Samuel 14:14	So belief sich das erste Blutbad, das Jonatan mit seinem Waffenträger anrichtete, auf ungefähr zwanzig Mann auf einer Fläche nicht größer als ein halber Morgen Ackers.
1 Samuel 14:15	Da entstand ein Schrecken im Lager, auf dem Feld und unter dem ganzen Kriegsvolk; auch die auf Posten Stehenden und die Plünderschar gerieten in Bestürzung; dazu bebte die Erde, und das rief einen Gottesschrecken hervor.
1 Samuel 14:16	Als nun die Späher Sauls, die sich zu Gibea im Stamm Benjamin befanden, ausschauten, da sahen sie, wie die Menge hin- und herwogte.
1 Samuel 14:17	Nun befahl Saul den Leuten, die bei ihm waren: „Nehmt eine Musterung vor und seht zu, wer von uns weggegangen ist!“ Als man nun die Musterung vornahm, stellte es sich heraus, dass Jonatan und sein Waffenträger fehlten.
1 Samuel 14:18	Da befahl Saul dem Ahija: „Bringe die Lade Gottes her!“ Denn die Lade Gottes befand sich damals bei den Israeliten.
1 Samuel 14:19	Während aber Saul noch mit dem Priester redete, wurde das Getümmel im Lager der Philister immer größer; daher befahl Saul dem Priester: „Lass es sein!“
1 Samuel 14:20	Darauf trat Saul mit allen Männern, die bei ihm waren, zum Kampf an; doch als sie an das feindliche Lager kamen, fanden sie das Schwert des einen gegen den anderen gekehrt, und es herrschte eine heillose Verwirrung.
1 Samuel 14:21	Auch die Hebräer, die es seit längerer Zeit mit den Philistern gehalten hatten und mit ihnen ins Feld gezogen waren, auch diese fielen jetzt ab, um sich den Israeliten unter Saul und Jonatan anzuschließen.
1 Samuel 14:22	Als ferner alle Israeliten, die sich im Gebirge Efraim versteckt hielten, von der Flucht der Philister hörten, setzten sie ihnen gleichfalls nach, um sie zu bekämpfen.
1 Samuel 14:23	So verlieh der Herr den Israeliten an jenem Tag den Sieg. Als aber der Kampf sich bis über Bet-Awen hin ausbreitete,
1 Samuel 14:24	wurden die Männer der Israeliten im Laufe jenes Tages sehr müde. Saul hatte nämlich seine Leute durch folgenden Fluch gebunden: „Verflucht ist jeder, der bis zum Abend etwas genießt, bis ich Rache an meinen Feinden genommen habe!“ So nahm denn auch keiner von den Leuten Nahrung zu sich.
1 Samuel 14:25	Nun hatte sich damals die ganze Gegend mit Bienenwirtschaft befasst, und die Bienenstöcke befanden sich auf freiem Feld.
1 Samuel 14:26	Als nun das Kriegsvolk zu den Stöcken kam, da flossen sie von Honig über; aber niemand führte seine Hand zum Mund, weil die Leute sich vor dem Fluch scheuten.
1 Samuel 14:27	Da Jonatan es aber nicht gehört hatte, als sein Vater das Kriegsvolk beschwor, streckte er seinen Stab aus, den er in der Hand hatte, tauchte seine Spitze in den Honigseim und führte seine Hand zum Mund: Da wurden seine Augen leuchtend.
1 Samuel 14:28	Einer von den Männern aber teilte ihm mit: „Dein Vater hat das Heer durch folgenden feierlichen Fluch gebunden: ‚Verflucht ist jeder, der heute etwas genießt!‘“ Das Heer war aber todmüde,
1 Samuel 14:29	und Jonatan antwortete: „Mein Vater stürzt das Land ins Unglück! Seht doch, wie leuchtend meine Augen geworden sind, weil ich ein wenig von diesem Honig genossen habe!
1 Samuel 14:30	Was wäre es erst gewesen, wenn die Leute von der feindlichen Beute, die sie vorgefunden haben, gehörig hätten essen dürfen! So aber ist die Niederlage unter den Philistern nicht groß geworden.“
1 Samuel 14:31	Sie hatten aber an jenem Tag ein Blutbad unter den Philistern von Michmas bis nach Ajalon angerichtet, obgleich das Kriegsvolk sehr ermattet war.
1 Samuel 14:32	Am Abend aber fielen die Leute über die Beute her, nahmen Kleinvieh, Rinder und Kälber und schlachteten sie zur Erde hin, und die Leute aßen das Fleisch samt dem Blut.
1 Samuel 14:33	Als man nun dem Saul meldete: „Die Leute versündigen sich ja gegen den Herrn, indem sie das Fleisch samt dem Blut essen“, rief er aus: „Ihr handelt gottlos! Wälzt mir einen großen Stein hierher!“
1 Samuel 14:34	Dann befahl Saul: „Zerstreut euch unter die Leute und macht ihnen bekannt: ‚Bringt ein jeder sein Rind und ein jeder sein Stück Kleinvieh zu mir her und schlachtet die Tiere hier und esst dann erst! Sonst versündigt ihr euch gegen den Herrn, indem ihr das Fleisch samt dem Blut genießt.“ So brachte denn jeder von den Leuten das Stück Vieh, das in seinem Besitz war, an jenem Abend herbei und schlachtete es dort.
1 Samuel 14:35	Dann baute Saul dem Herrn einen Altar; dies war der erste Altar, den er dem Herrn erbaute.
1 Samuel 14:36	Hierauf sagte Saul: „Lasst uns noch in der Nacht hinabziehen hinter den Philistern her, damit wir bis Tagesanbruch Beute unter ihnen machen und keinen von ihnen übriglassen!“ Sie antworteten: „Tu ganz, wie es dir gut scheint!“ Der Priester aber sagte: „Lasst uns zuerst hier vor Gott treten!“
1 Samuel 14:37	Als nun Saul bei Gott anfragte: „Soll ich zur Verfolgung der Philister hinabziehen? Wirst du sie in die Hand Israels geben?“, erteilte ihm der Herr an jenem Tage keine Antwort.
1 Samuel 14:38	Da befahl Saul: „Tretet hierher, ihr Anführer des Heeres alle, und untersucht sorgfältig, durch wen diese Versündigung heute begangen worden ist!
1 Samuel 14:39	Denn so wahr der Herr lebt, der Israel den Sieg verliehen hat: Selbst wenn die Schuld sich bei meinem Sohn Jonatan fände, so müsste er unfehlbar sterben!“ Aber keiner von allen Leuten gab ihm eine Antwort.
1 Samuel 14:40	Hierauf befahl er dem gesamten Israel: „Ihr sollt auf der einen Seite stehen, ich aber und mein Sohn Jonatan wollen die andere Seite bilden.“ Das Heer antwortete ihm: „Tu, was dir gut dünkt.“
1 Samuel 14:41	Dann betete Saul zum Herrn, „Gott Israels, lass die Wahrheit zutage treten!“ Da wurden Jonatan und Saul getroffen, das Heer aber ging frei aus.
1 Samuel 14:42	Darauf befahl Saul: „Werft das Los zwischen mir und meinem Sohn Jonatan!“ Da wurde Jonatan getroffen.
1 Samuel 14:43	Nun sagte Saul zu Jonatan: „Bekenne mir, was du getan hast!“
1 Samuel 14:44	Da bekannte ihm Jonatan: „Ich habe nur ein wenig Honig mit der Spitze des Stabes gekostet, den ich in meiner Hand hatte: Dafür soll ich jetzt sterben?“ Saul erwiderte: „Gott tue mir jetzt und künftig an, was er will: Ja, Jonatan, du musst unbedingt sterben!“
1 Samuel 14:45	Aber das Heer erklärte dem Saul: „Jonatan soll sterben, der diesen großen Sieg in Israel errungen hat? Das sei fern! So wahr der Herr lebt: Kein Haar soll von seinem Haupt auf die Erde fallen! Denn mit Gott im Bund hat er den Sieg heute errungen!“ So machte das Heer den Jonatan frei, dass er nicht zu sterben brauchte.
1 Samuel 14:46	Hierauf sah Saul von der Verfolgung der Philister ab und zog heim, während die Philister in ihr Land zurückkehrten.
1 Samuel 14:47	Nachdem Saul das Königtum über Israel übernommen hatte, führte er Kriege gegen alle seine Feinde ringsum: Gegen die Moabiter, die Ammoniter und die Edomiter, gegen die Könige von Zoba und gegen die Philister, und überall, wohin er sich wandte, war er siegreich.
1 Samuel 14:48	Er erwies sich als tapferer Mann, besiegte die Amalekiter und befreite Israel von denen, die es bis dahin ausgeplündert hatten.
1 Samuel 14:49	Die Söhne Sauls waren: Jonatan, Jischwi und Malkischua; und von seinen zwei Töchtern hieß die ältere Merab und die jüngere Michal.
1 Samuel 14:50	Sauls Gattin hieß Ahinoam, sie war die Tochter des Ahimaaz; sein Heerführer hieß Abner und war der Sohn Ners, des Onkels Sauls;
1 Samuel 14:51	denn Kisch, der Vater Sauls, und Ner, der Vater Abners, waren beide Söhne Abiëls.
1 Samuel 14:52	Mit den Philistern aber hatte Saul schwere Kämpfe zu bestehen, solange er lebte; wenn Saul daher irgendwo einen tapferen und kriegstüchtigen Mann sah, nahm er ihn in seine Dienste.
1 Samuel 15:1	Samuel aber sagte zu Saul: „Mich hat der Herr einst gesandt, dich zum König über sein Volk Israel zu salben; so gehorche nun dem bestimmten Befehl des Herrn!
1 Samuel 15:2	So hat Gott, der Herr der Heerscharen, gesprochen: ‚Ich will das Unrecht ahnden, das die Amalekiter einst den Israeliten zugefügt haben, indem sie ihnen beim Auszug aus Ägypten den Weg verlegten.
1 Samuel 15:3	Darum ziehe jetzt hin, schlage die Amalekiter und vollstrecke den Bann an ihnen und an allem, was sie besitzen! Schone sie nicht, sondern töte alle, Männer wie Frauen, Kinder wie Säuglinge, Rinder wie Kleinvieh, Kamele wie Esel!‘“
1 Samuel 15:4	Da bot Saul das Volk auf und musterte es in Telaim: 200.000 Mann Fußvolk und 10.000 Mann aus Juda.
1 Samuel 15:5	Nachdem Saul dann vor die Hauptstadt der Amalekiter gerückt war, legte er einen Hinterhalt im Bachtal;
1 Samuel 15:6	den Kenitern aber ließ er sagen: „Auf! Zieht euch zurück und entfernt euch aus der Mitte der Amalekiter, damit ich euch nicht zugleich mit ihnen vernichte! Denn ihr habt allen Israeliten bei ihrem Auszug aus Ägypten Freundschaft erwiesen.“ Da zogen die Keniter aus dem Gebiet der Amalekiter weg.
1 Samuel 15:7	Hierauf besiegte Saul die Amalekiter und richtete ein Blutbad unter ihnen an von Hawila bis nach Schur, das östlich von Ägypten liegt.
1 Samuel 15:8	Agag, den König der Amalekiter, nahm er lebendig gefangen und vollstreckte den Bann an dem ganzen Volk mit der Schärfe des Schwertes;
1 Samuel 15:9	doch verschonten Saul und seine Leute den Agag und die besten Stücke des Kleinviehs und der Rinder, die feisten Tiere und die Lämmer und überhaupt alles Wertvolle, und sie wollten den Bann an ihnen nicht vollstrecken; nur was vom Vieh gering und wertlos war, an dem vollstreckten sie den Bann.
1 Samuel 15:10	Da erging das Wort des Herrn an Samuel also:
1 Samuel 15:11	„Es reut mich, dass ich Saul zum König gemacht habe; denn er hat sich vom Gehorsam gegen mich abgewandt und meine Befehle nicht ausgeführt.“ Darüber geriet Samuel in schmerzliche Aufregung, sodass er die ganze Nacht hindurch zum Herrn schrie.
1 Samuel 15:12	Am folgenden Morgen früh aber machte Samuel sich auf, um Saul entgegenzugehen; da wurde ihm die Botschaft gebracht, Saul habe sich nach Karmel begeben und sich dort ein Denkmal errichtet, sei dann aber umgekehrt und weiter nach Gilgal hinabgezogen.
1 Samuel 15:13	Als nun Samuel zu Saul kam, sagte Saul zu ihm: „Gesegnet seist du vom Herrn! Ich habe den Befehl des Herrn ausgeführt.“
1 Samuel 15:14	Da antwortete Samuel: „Was ist denn das für ein Blöken von Kleinvieh, das an meine Ohren dringt, und ein Gebrüll von Rindern, das ich höre?“
1 Samuel 15:15	Saul erwiderte: „Von den Amalekitern haben unsere Leute sie mitgebracht, weil sie die besten Stücke von dem Kleinvieh und den Rindern verschont haben, um sie dem Herrn, deinem Gott, zu opfern; aber an dem Übrigen haben wir den Bann vollstreckt.“
1 Samuel 15:16	Da entgegnete Samuel dem Saul: „Halt ein! Ich will dir mitteilen, was der Herr in dieser Nacht zu mir gesagt hat.“ Jener erwiderte ihm: „Rede!“
1 Samuel 15:17	Da sagte Samuel: „Nicht wahr? Obgleich du dir selbst klein vorkamst, bist du doch das Haupt der Stämme Israels geworden; denn der Herr hat dich zum König über Israel gesalbt.
1 Samuel 15:18	Nun hat der Herr dich zu einem Kriegszug ausgesandt und dir geboten: ‚Ziehe hin, vollstrecke den Bann an den Frevlern, den Amalekitern, und bekriege sie, bis du sie vernichtet hast!‘
1 Samuel 15:19	Warum bist du nun der Weisung des Herrn nicht nachgekommen, sondern hast dich über die Beute hergemacht und das getan, was dem Herrn missfällt?“
1 Samuel 15:20	Saul antwortete dem Samuel: „Ich bin ja doch der Weisung des Herrn nachgekommen und habe den Kriegszug, zu dem der Herr mich ausgesandt hatte, ausgeführt und habe Agag, den König der Amalekiter, mitgebracht und an den Amalekitern den Bann vollstreckt.
1 Samuel 15:21	Aber das Kriegsvolk hat von der Beute Kleinvieh und Rinder genommen, das Beste von dem Banngut, um es dem Herrn, deinem Gott, in Gilgal zu opfern.“
1 Samuel 15:22	Da antwortete Samuel: „Hat der Herr etwa an Brandopfern und Schlachtopfern das gleiche Wohlgefallen wie am Gehorsam gegenüber seiner Stimme? Wisse wohl: Gehorsam ist besser als Schlachtopfer, Folgsamkeit besser als das Fett von Widdern;
1 Samuel 15:23	denn Ungehorsam ist ebenso schlimm wie die Sünde der Zauberei, und Eigenwille ist wie Abgötterei und Götzendienst. Weil du den Befehl des Herrn verworfen hast, hat er dich auch verworfen, dass du nicht mehr König sein sollst!
1 Samuel 15:24	Da sagte Saul zu Samuel: „Ich habe gesündigt, weil ich den Befehl des Herrn und deine Weisungen übertreten habe; denn ich habe mich vor dem Kriegsvolk gefürchtet und deshalb seiner Forderung nachgegeben.
1 Samuel 15:25	Doch nun vergib mir meine Versündigung und kehre mit mir um, damit ich den Herrn anbete!“
1 Samuel 15:26	Aber Samuel erwiderte ihm: „Ich kehre nicht mit dir um; weil du den Befehl des Herrn verworfen hast, so hat der Herr dich auch verworfen, dass du nicht länger König über Israel sein sollst.“
1 Samuel 15:27	Als nun Samuel sich umwandte, um wegzugehen, erfasste Saul den Zipfel seines Mantels, aber dieser riss ab.
1 Samuel 15:28	Da sagte Samuel zu ihm: „Der Herr hat heute das Königtum über Israel von dir gerissen und gibt es einem andern, der besser ist als du.
1 Samuel 15:29	Und niemals lügt der, der Israels Ruhm ist, und er empfindet keine Reue; denn er ist kein Mensch, dass ihn etwas gereuen müsste.“
1 Samuel 15:30	Saul antwortete: „Ich habe gesündigt; aber erweise mir doch jetzt vor den Ältesten meines Volkes und vor Israel die Ehre, mit mir umzukehren, damit ich den Herrn, deinen Gott, anbete!“
1 Samuel 15:31	Da kehrte Samuel um, und zwar hinter Saul her, und Saul verrichtete seine Anbetung vor dem Herrn.
1 Samuel 15:32	Hierauf befahl Samuel: „Bringt Agag, den König der Amalekiter, zu mir her!“ Da trat Agag wohlgemut vor ihn und sagte: „Fürwahr, der Tod hat seine Bitterkeit für mich verloren!“
1 Samuel 15:33	Samuel aber sagte: „Wie dein Schwert Frauen ihrer Kinder beraubt hat, so soll auch deine Mutter ihrer Kinder unter den Frauen beraubt sein!“ Hierauf hieb Samuel den Agag in Stücke vor dem Herrn in Gilgal.
1 Samuel 15:34	Samuel begab sich dann nach Rama, während Saul nach Gibea-Saul heimkehrte.
1 Samuel 15:35	Samuel besuchte dann Saul bis zu seinem Todestage nicht wieder; denn Samuel trauerte um Saul; und der Herr bereute es, Saul zum König über Israel gemacht zu haben.
1 Samuel 16:1	Da sagte der Herr zu Samuel: „Wie lange willst du noch um Saul trauern, da ich ihn doch für unwürdig erachtet habe, noch länger König über Israel zu sein? Fülle dein Horn mit Öl und mache dich auf den Weg: Ich will dich nach Betlehem zu Isai senden; denn unter seinen Söhnen habe ich mir einen König ausersehen.“
1 Samuel 16:2	Samuel antwortete: „Wie kann ich hingehen? Wenn Saul davon hört, bringt er mich um!“ Da antwortete der Herr: „Nimm eine junge Kuh mit dir und sage: ‚Ich bin hergekommen, um dem Herrn ein Opfer zu bringen.‘
1 Samuel 16:3	Wenn du dann Isai zum Opfermahl eingeladen hast, werde ich selbst dir kundtun, was du zu tun hast; denn du sollst mir den salben, den ich dir nennen werde.“
1 Samuel 16:4	Samuel tat hierauf, was der Herr ihm geboten hatte, und begab sich nach Betlehem. Da gingen ihm die Ältesten des Ortes ängstlich entgegen und fragten ihn: „Bedeutet dein Kommen etwas Gutes?“
1 Samuel 16:5	Er antwortete: „Ja, Gutes! Ich bin gekommen, um dem Herrn ein Opfer zu bringen; heiligt euch also und kommt mit mir zum Opfermahl.“ Hierauf heiligte er auch Isai und seine Söhne und lud sie zum Opfermahl ein.
1 Samuel 16:6	Als sie sich nun einfanden und er Eliab sah, dachte er: „Sicherlich steht hier vor dem Herrn der, den er zu seinem Gesalbten machen will.“
1 Samuel 16:7	Aber der Herr sagte zu Samuel: „Sieh nicht auf seine äußere Gestalt und seinen hohen Wuchs! Denn diesen habe ich nicht erkoren; Gott sieht ja nicht das an, worauf Menschen sehen; denn die Menschen sehen auf das Äußere, der Herr aber sieht ins Herz.“
1 Samuel 16:8	Da rief Isai den Abinadab und ließ ihn vor Samuel treten; doch der erklärte: „Auch diesen hat der Herr nicht erwählt.“
1 Samuel 16:9	Da ließ Isai den Schima vortreten, aber Samuel erklärte: „Auch diesen hat der Herr nicht erwählt.“
1 Samuel 16:10	So führte Isai dem Samuel sieben seiner Söhne vor, aber Samuel erklärte dem Isai: „Von diesen hat der Herr keinen erwählt.“
1 Samuel 16:11	Hierauf fragte Samuel den Isai: „Sind das alle jungen Leute?“ Jener erwiderte: „Es ist noch der Jüngste übrig; der hütet eben das Kleinvieh.“ Da sagte Samuel zu Isai: „Sende hin und lass ihn holen; denn wir werden uns nicht eher zum Mahl setzen, als bis er hergekommen ist.“
1 Samuel 16:12	Da sandte er hin und ließ ihn holen. David war aber rotbraun, hatte schöne Augen und eine kräftige Gestalt. Da sagte der Herr: „Auf! Salbe ihn, denn dieser ist es!“
1 Samuel 16:13	Da nahm Samuel das Ölhorn und salbte ihn inmitten seiner Brüder; da kam der Geist des Herrn über David von diesem Tage an und blieb auch späterhin auf ihm. Samuel aber machte sich auf und kehrte nach Rama zurück.
1 Samuel 16:14	Als nun der Geist des Herrn von Saul gewichen war und ihn ein vom Herrn gesandter böser Geist ängstigte,
1 Samuel 16:15	sagten Sauls Diener zu ihm: „Du weißt, dass ein böser Geist Gottes dich ängstigt.
1 Samuel 16:16	Unser Herr braucht nur zu gebieten: Deine Knechte stehen dir zu Diensten und werden einen Mann suchen, der sich auf das Saitenspiel versteht; wenn dann der böse Geist von Gott über dich kommt, soll er die Saiten vor dir rühren, dann wird dir wohler werden.“
1 Samuel 16:17	Da befahl Saul seinen Dienern: „So seht euch für mich nach einem Manne um, der gut zu spielen versteht, und bringt ihn zu mir!“
1 Samuel 16:18	Da nahm einer von den Dienern das Wort und sagte: „Siehe, ich habe einen Sohn Isais in Betlehem kennengelernt, der sich auf das Saitenspiel versteht; er ist auch ein tapferer Mann und kriegsgeübt, dazu redegewandt und von schönem Äußeren, und der Herr ist mit ihm.“
1 Samuel 16:19	Da schickte Saul Boten zu Isai und ließ ihm sagen: „Schicke mir doch deinen Sohn David, der beim Kleinvieh ist.“
1 Samuel 16:20	Da nahm Isai einen mit Brot beladenen Esel, einen Schlauch Wein und ein Ziegenböckchen und sandte es durch seinen Sohn David an Saul.
1 Samuel 16:21	So kam David zu Saul und trat in seine Dienste; und Saul gewann ihn sehr lieb, sodass er sein Waffenträger wurde
1 Samuel 16:22	und Saul dem Isai sagen ließ: „Lass doch David in meinem Dienste bleiben, denn er gefällt mir wohl.“
1 Samuel 16:23	Sooft nun der böse Geist Gottes über Saul kam, nahm David die Zither und spielte; dann fand Saul Erleichterung, sodass er sich wohler fühlte und der böse Geist von ihm wich.
1 Samuel 17:1	Da boten die Philister ihre Heere zum Kriege auf, sammelten sich bei Socho, das zu Juda gehört, und schlugen ein Lager zwischen Socho und Aseka bei Efes-Dammim auf.
1 Samuel 17:2	Saul aber und die Israeliten sammelten sich und bezogen ein Lager im Terebinthental und rüsteten sich zum Kampf gegen die Philister;
1 Samuel 17:3	die Philister standen am Berge jenseits, die Israeliten am Berge diesseits, sodass das Tal zwischen ihnen lag.
1 Samuel 17:4	Da trat aus den Reihen der Philister der Vorkämpfer namens Goliat hervor, ein Gatiter, der sechs Ellen und eine Spanne hoch war;
1 Samuel 17:5	er trug einen ehernen Helm auf dem Kopfe und hatte einen Schuppenpanzer an, dessen Gewicht fünftausend Schekel Erz betrug.
1 Samuel 17:6	An den Beinen trug er eherne Schienen und zwischen den Schultern einen ehernen Wurfspieß;
1 Samuel 17:7	der Schaft seines Speeres war wie ein Weberbaum, und die Spitze seines Speeres bestand aus sechshundert Schekel Eisen; sein Schildträger ging vor ihm her.
1 Samuel 17:8	Er stellte sich hin und rief den in Reihen stehenden Israeliten die Worte zu: „Warum zieht ihr aus, euch in Schlachtordnung aufzustellen? Bin ich nicht ein Philister und ihr die Knechte Sauls? Wählt euch einen Mann aus, der komme zu mir herab!
1 Samuel 17:9	Vermag er mich im Kampfe zu besiegen und erschlägt er mich, so wollen wir euch untertan sein; bin aber ich ihm überlegen und erschlage ich ihn, so sollt ihr uns untertan sein und müsst uns dienen!“
1 Samuel 17:10	Dann fügte der Philister noch hinzu: „Heute habe ich die in Reihen stehenden Israeliten verhöhnt: Stellt mir einen Mann, dass wir miteinander kämpfen!“
1 Samuel 17:11	Als Saul und alle Israeliten diese Worte des Philisters hörten, erschraken sie und fürchteten sich sehr.
1 Samuel 17:12	David aber war der Sohn jenes Efratiters aus Betlehem in Juda, der Isai hieß und acht Söhne hatte und zur Zeit Sauls schon ein älterer, in den Jahren vorgerückter Mann war.
1 Samuel 17:13	Die drei ältesten Söhne Isais waren unter Saul in den Krieg gezogen; von diesen seinen drei Söhnen, die ins Feld gezogen waren, hieß der älteste Eliab, der zweite Abinadab, der dritte Schima;
1 Samuel 17:14	David aber war der jüngste. Da die drei ältesten unter Saul in den Krieg gezogen waren,
1 Samuel 17:15	ging David ab und zu von Sauls Hofe heim, um in Betlehem das Kleinvieh seines Vaters zu hüten.
1 Samuel 17:16	Der Philister aber trat morgens und abends auf und stellte sich vierzig Tage lang vor die Israeliten hin.
1 Samuel 17:17	Da sagte Isai eines Tages zu seinem Sohne David: „Nimm doch für deine Brüder ein Efa von diesem gerösteten Getreide und diese zehn Brote und bringe sie schnell zu deinen Brüdern ins Lager;
1 Samuel 17:18	diese zehn frischen Käse aber nimm für den Hauptmann der Tausendschaft mit und erkundige dich nach dem Befinden deiner Brüder und lass dir ein Pfand von ihnen mitgeben!“
1 Samuel 17:19	Saul und sie und alle Israeliten befanden sich nämlich im Terebinthental im Kriege mit den Philistern.
1 Samuel 17:20	Da machte sich David am anderen Morgen früh reisefertig, überließ das Kleinvieh einem Hüter, packte die Lebensmittel ein und begab sich auf den Weg, wie Isai ihm befohlen hatte. Er kam zur Wagenburg, als das Heer gerade in Schlachtordnung ausrückte und man das Kriegsgeschrei erhob;
1 Samuel 17:21	Israel und die Philister stellten sich zum Kampf auf, Schlachtreihe gegen Schlachtreihe.
1 Samuel 17:22	Da übergab David das Gepäck, das er mitgebracht hatte, dem Gepäckhüter, lief dann in die Schlachtreihe und erkundigte sich, als er hinkam, bei seinen Brüdern nach ihrem Ergehen.
1 Samuel 17:23	Während er sich noch mit ihnen besprach, trat der Vorkämpfer – er hieß Goliat und war ein Philister aus Gat – aus den Reihen der Philister hervor und führte dieselben Reden wie früher, sodass David es hörte;
1 Samuel 17:24	alle Israeliten aber, die den Mann erblickten, flohen vor ihm und fürchteten sich sehr.
1 Samuel 17:25	Da sagte einer von den Israeliten: „Habt ihr diesen Mann gesehen, der da heraufkommt? Ja, um Israel zu verhöhnen, tritt er auf! Und wer ihn erschlägt, den will der König mit großem Reichtum belohnen und will ihm seine Tochter geben und seines Vaters Haus steuerfrei in Israel machen!“
