Mosè 1:1	Parole di Dio, che egli disse a Mosè al tempo in cui Mosè fu rapito su una montagna altissima,
Mosè 5:32	E Caino andò nei campi; e Caino parlò con Abele, suo fratello. E avvenne che mentre erano nei campi, Caino si levò contro Abele, suo fratello, e lo uccise.
Mosè 5:33	E Caino esultò di ciò che aveva fatto, dicendo: Sono libero; certamente le greggi di mio fratello cadranno nelle mie mani.
Mosè 5:34	E il Signore disse a Caino: Dov’è Abele, tuo fratello? Ed egli disse: Non so. Sono io il guardiano di mio fratello?
Mosè 5:35	E il Signore disse: Cosa hai fatto? La voce del sangue di tuo fratello grida a me dalla terra.
Mosè 5:36	Ed ora sarai maledetto dalla terra, che ha aperto la sua bocca per ricevere il sangue di tuo fratello dalla tua mano.
Mosè 5:37	Quando coltiverai il suolo, esso non ti darà d’ora in avanti la sua forza. Sarai un fuggiasco e un vagabondo sulla terra.
Mosè 5:38	E Caino disse al Signore: Satana mi ha tentato a causa delle greggi di mio fratello. Ed ero anche adirato, perché hai accettato la sua offerta e la mia no; la mia punizione è più grande di quanto possa sopportare.
Mosè 5:39	Ecco, tu mi hai scacciato in questo giorno dalla faccia del Signore, e dalla tua faccia sarò tenuto nascosto; e sarò un fuggiasco e un vagabondo sulla terra; e avverrà che chiunque mi troverà mi ucciderà, a causa delle mie iniquità, poiché queste cose non sono celate al Signore.
Mosè 5:40	E io, il Signore, gli dissi: Chiunque ti ucciderà, su di lui cadrà la vendetta sette volte. E io, il Signore, misi un segno su Caino, per timore che qualcuno, trovandolo, lo uccidesse.
Mosè 5:41	E Caino fu escluso dalla presenza del Signore, e dimorò con sua moglie e molti dei suoi fratelli nella terra di Nod, a oriente di Eden.
Mosè 5:42	E Caino conobbe sua moglie, ed ella concepì e partorì Enoc, e generò anche molti figli e figlie. E costruì una città, e la chiamò col nome di suo figlio, Enoc.
Mosè 5:43	E ad Enoc nacque Irad, e altri figli e figlie. E Irad generò Mehujael e altri figli e figlie. E Mehujael generò Methushael, e altri figli e figlie. E Methushael generò Lamec.
Mosè 5:44	E Lamec si prese due mogli: il nome di una era Ada, e il nome dell’altra, Zilla.
Mosè 5:45	E Ada partorì Jabal; egli fu il padre di coloro che dimorano nelle tende, e erano custodi di bestiame; e il nome di suo fratello era Jubal, che fu il padre di tutti coloro che suonano l’arpa e il flauto.
Mosè 5:46	E Zilla partorì anch’essa Tubal-cain, maestro di tutti gli artigiani del bronzo e del ferro. E la sorella di Tubal-cain fu chiamata Naama.
Mosè 5:47	E Lamec disse alle sue mogli, Ada e Zilla: Ascoltate la mia voce, voi, mogli di Lamec; date ascolto al mio dire, poiché ho ucciso un uomo per essere ferito, e un giovane per essere colpito.
Mosè 5:48	Se Caino sarà vendicato sette volte, davvero Lamec lo sarà settantasette volte;
Mosè 5:49	Poiché Lamec era entrato in alleanza con Satana secondo la maniera di Caino, per la quale era divenuto Mastro Mahan, padrone di quel gran segreto che era stato dato a Caino da Satana; e Irad, figlio di Enoc, avendo conosciuto il loro segreto, cominciò a rivelarlo ai figli di Adamo.
Mosè 5:50	Pertanto Lamec, essendo in collera, lo uccise, non come Caino con suo fratello Abele, allo scopo di ottenere guadagno, ma lo uccise a causa del giuramento.
Mosè 5:51	Poiché, dai giorni di Caino vi era una associazione segreta, e le loro opere erano nell’oscurità, e ogni uomo conosceva suo fratello.
Mosè 5:52	Pertanto il Signore maledisse Lamec e la sua casa, e tutti quelli che avevano fatto alleanza con Satana, poiché essi non rispettavano i comandamenti di Dio, ed essa dispiaceva a Dio; ed Egli non si manifestò più a loro, e le loro opere erano delle abominazioni e cominciarono a diffondersi fra tutti i figli degli uomini. Ed essa era tra i figli degli uomini.
Mosè 5:53	E fra le figlie degli uomini non si parlava di queste cose, per il fatto che Lamec aveva parlato del segreto alle sue mogli, ed esse si erano ribellate contro di lui e avevano proclamato in giro queste cose e non avevano avuto compassione;
Mosè 5:54	Pertanto Lamec fu disprezzato e scacciato, e non venne tra i figli degli uomini, per timore di morire.
Mosè 5:55	E così le opere delle tenebre cominciarono a prevalere fra tutti i figli degli uomini.
Mosè 5:56	E Dio maledisse la terra con una grave maledizione, e fu in collera con i malvagi, con tutti i figli degli uomini che Egli aveva fatto.
Mosè 5:57	Poiché non volevano dare ascolto alla Sua voce, né credere nel suo Figlio Unigenito, sì, in colui che egli aveva proclamato che sarebbe venuto nel meridiano dei tempi, e che era preparato fin da prima della fondazione del mondo.
Mosè 5:58	E così il Vangelo cominciò ad essere predicato, fin dal principio, essendo proclamato mediante santi angeli mandati dalla presenza di Dio, e mediante la sua propria voce e mediante il dono dello Spirito Santo.
Mosè 5:59	E così tutte le cose furono confermate ad Adamo mediante una santa ordinanza, e il Vangelo fu predicato, e un decreto fu emanato che esso sarebbe stato nel mondo, fino alla sua fine. E così fu. Amen.
Mosè 6:1	E Adamo dette ascolto alla voce di Dio, e chiamò i suoi figli a pentirsi.
Mosè 6:2	E Adamo conobbe di nuovo sua moglie, ed ella partorì un figlio, e lo chiamò con il nome Seth. E Adamo glorificò il nome di Dio, poiché disse: Dio mi ha assegnato un altro seme al posto di Abele che Caino uccise.
Mosè 6:3	E Dio si rivelò a Seth, ed egli non si ribellò, ma offerse un sacrificio accettabile, come suo fratello Abele. E anche a lui nacque un figlio, e lo chiamò con il nome Enosh.
Mosè 6:4	E allora questi uomini cominciarono a invocare il nome del Signore, e il Signore li benedisse;
Mosè 6:5	E fu tenuto un libro di memorie, in cui si scriveva nella lingua di Adamo, poiché era accordato a quanti invocavano Dio di scrivere mediante lo spirito di ispirazione;
Mosè 6:6	E da essi i loro figli furono istruiti a leggere e scrivere, e avevano un linguaggio che era puro ed incorrotto.
Mosè 6:7	Ora, questo stesso Sacerdozio che era nel principio sarà anche alla fine del mondo.
Mosè 6:8	Ora, questa profezia la pronunciò Adamo mentre era sospinto dallo Spirito Santo, e fu tenuta una genealogia dei figli di Dio. E questa era il libro delle generazioni di Adamo, che dice: Nel giorno in cui Dio creò l’uomo, lo fece a somiglianza di Dio;
Mosè 6:9	Ad immagine del suo proprio corpo, maschio e femmina, li creò, e li benedisse, e li chiamò con il nome Adamo, nel giorno in cui furono creati e divennero anime viventi nel paese sullo sgabello dei piedi di Dio.
Mosè 6:10	E Adamo visse centotrenta anni e generò un figlio a sua somiglianza, secondo la sua immagine, e lo chiamò con il nome Seth.
Mosè 6:11	E i giorni di Adamo, dopo che ebbe generato Seth, furono ottocento anni, ed egli generò molti figli e figlie:
Mosè 6:12	E tutti i giorni che Adamo visse furono novecentotrenta anni, e morì.
Mosè 6:13	Seth visse centocinque anni e generò Enosh, e profetizzò per tutti i suoi giorni, ed istruì suo figlio Enosh nelle vie di Dio; pertanto anche Enosh profetizzò.
Mosè 6:14	E Seth visse, dopo che ebbe generato Enosh, ottocentosette anni, e generò molti figli e figlie.
Mosè 6:15	E i figlioli degli uomini erano numerosi su tutta la faccia del paese. E in quei giorni Satana aveva un grande dominio fra gli uomini, e imperversava nel loro cuore; e da allora in poi vennero guerre e spargimenti di sangue, e la mano dell’uomo era contro il suo stesso fratello nel dare la morte, a causa delle opere segrete, alla ricerca del potere.
Mosè 6:16	Tutti i giorni di Seth furono novecentododici anni, e morì.
Mosè 6:17	Ed Enosh visse novant’anni e generò Kenan. Ed Enosh e il resto del popolo di Dio uscirono dal paese che era chiamato Shulon e dimorarono in una terra di promessa, che egli chiamò come suo figlio, che aveva chiamato Kenan.
Mosè 6:18	Ed Enosh visse, dopo che ebbe generato Kenan, ottocentoquindici anni, e generò molti figli e figlie. E tutti i giorni di Enosh furono novecentocinque anni, e morì.
Mosè 6:19	E Kenan visse settant’anni e generò Mahalaleel; e Kenan visse, dopo che ebbe generato Mahalaleel, ottocentoquarant’anni e generò figli e figlie. E tutti i giorni di Kenan furono novecentodieci anni, e morì.
Mosè 6:20	E Mahalaleel visse sessantacinque anni e generò Jared; e Mahalaleel visse, dopo che ebbe generato Jared, ottocentotrenta anni, e generò figlie e figlie. E tutti i giorni di Mahalaleel furono ottocentonovantacinque anni, e morì.
Mosè 6:21	E Jared visse centosessantadue anni e generò Enoc; e Jared visse, dopo che ebbe generato Enoc, ottocento anni, e generò figli e figlie. E Jared istruì Enoc in tutte le vie di Dio.
Mosè 6:22	E questa è la genealogia dei figli di Adamo, che era figlio di Dio, con il quale Dio stesso conversò.
Mosè 6:23	Ed essi erano predicatori di rettitudine, e parlavano e profetizzavano, e chiamavano tutti gli uomini, ovunque, a pentirsi; e la fede veniva insegnata ai figlioli degli uomini.
Mosè 6:24	E avvenne che tutti i giorni di Jared furono novecentosessantadue anni, e morì.
Mosè 6:25	Ed Enoc visse sessantacinque anni e generò Methushelah.
Mosè 6:26	E avvenne che Enoc viaggiò nel paese, fra il popolo; e mentre viaggiava, lo Spirito di Dio discese dal cielo, e stette su di lui.
Mosè 6:27	Ed egli udì una voce dal cielo, che diceva: Enoc, figlio mio, profetizza a questo popolo e di’ loro: Pentitevi, poiché così dice il Signore: Io sono in collera contro questo popolo, e la mia ardente collera è accesa contro di loro; poiché il loro cuore si è indurito e le loro orecchie sono tarde ad udire e i loro occhi non possono vedere lontano;
Mosè 6:28	E per queste molte generazioni, fin dal giorno in cui li creai, essi si sono sviati e mi hanno rinnegato, e hanno cercato il loro proprio consiglio nell’oscurità; e nelle loro abominazioni hanno escogitato omicidi, e non hanno rispettato i comandamenti che io ho dato al loro padre, Adamo.
Mosè 6:29	Pertanto, si sono resi spergiuri, e con i loro giuramenti hanno portato su di sé la morte; e ho preparato per loro un inferno, se non si pentono.
Mosè 6:30	E questo è un decreto che ho emanato al principio del mondo dalla mia propria bocca, fin dalla sua fondazione, per bocca dei miei servitori, i tuoi padri, io l’ho decretato, sì, così come sarà mandato nel mondo, fino alle sue estremità.
Mosè 6:31	E quando Enoc ebbe udito queste parole, si prostrò a terra dinanzi al Signore, e parlò dinanzi al Signore, dicendo: Come è che io ho trovato favore ai tuoi occhi, e non sono che un ragazzo e tutte le persone mi odiano, perché sono lento nel parlare; perché dunque sono tuo servitore?
Mosè 6:32	E Il Signore disse ad Enoc: Va’, e fa come ti ho comandato, e nessuno ti trafiggerà. Apri la bocca ed essa sarà riempita, e ti darò di esprimerti, poiché ogni carne è nelle mie mani e io farò come mi sembra bene.
Mosè 6:33	Di’ a questo popolo: Scegliete oggi di servire il Signore Iddio che vi ha fatto.
Mosè 6:34	Ecco, il mio spirito è su di te, pertanto giustificherò tutte le tue parole; e le montagne fuggiranno dinanzi a te, e i fiumi devieranno dal loro corso; e tu dimorerai in me e io in te; cammina dunque con me.
Mosè 6:35	E il Signore parlò ad Enoc, e gli disse: Ungi i tuoi occhi con l’argilla e lavali, e tu vedrai. Ed egli fece così.
Mosè 6:36	Ed egli vide gli spiriti che Dio aveva creato; e vide anche cose che non erano visibili all’occhio naturale; e da quel momento in avanti venne il detto ovunque nel paese: Il Signore ha suscitato un veggente al suo popolo.
Mosè 6:37	E avvenne che Enoc uscì nel paese, fra il popolo, stando sulle colline e sulle alture, e gridava a voce alta, attestando contro le loro opere; e tutti gli uomini si offesero a causa sua.
Mosè 6:38	Ed essi uscirono per udirlo, sulle alture, e dissero ai guardiani delle tende: Rimanete qui e custodite le tende mentre andiamo laggiù a vedere il veggente, poiché egli profetizza, e c’è una cosa strana nel paese: un uomo selvaggio è venuto fra noi.
Mosè 6:39	E avvenne che quando l’udirono, nessuno mise le mani su di lui; poiché un timore venne su tutti coloro che l’udirono; poiché egli camminava con Dio.
Mosè 6:40	E venne a lui un uomo, il cui nome era Mahijah, e gli disse: Dicci chiaramente chi sei, e da dove vieni?
Mosè 6:41	Ed egli disse loro: Sono uscito dal paese di Kenan, la terra dei miei padri, una terra di rettitudine fino ad oggi. E mio padre mi ha istruito in tutte le vie di Dio.
Mosè 6:42	E avvenne che mentre viaggiavo dal paese di Kenan, lungo il mare a oriente, ebbi una visione; ed ecco, io vidi i cieli, e il Signore parlò con me e mi diede un comandamento; pertanto, per questa ragione, per rispettare il comandamento, pronuncio queste parole.
Mosè 6:43	Ed Enoc continuò il suo discorso, dicendo: Il Signore che parlò con me è il Dio del cielo, ed è il mio Dio ed il vostro Dio, e voi siete miei fratelli; e perché vi consigliate da voi stessi e rinnegate il Dio del cielo?
Mosè 6:44	Egli ha fatto i cieli; la terra è lo sgabello dei suoi piedi, e sue sono le fondamenta d’essa. Ecco, Egli le ha poste, e ha portato una schiera di uomini sulla faccia di essa.
Mosè 6:45	Ed è giunta la morte sui nostri padri; nondimeno noi li conosciamo, e non possiamo negarlo, e conosciamo anche il primo di tutti, sì, Adamo.
Mosè 6:46	Poiché abbiamo scritto un libro di memorie fra noi, secondo il modello dato dal dito di Dio; ed è dato nella nostra lingua.
Mosè 6:47	E mentre Enoc pronunciava le parole di Dio, il popolo tremò e non poté stare in sua presenza.
Mosè 6:48	Ed egli disse loro: Per il fatto che Adamo cadde, noi siamo; e mediante la sua caduta venne la morte, e noi siamo resi partecipi di infelicità e di guai.
Mosè 6:49	Ecco, Satana è venuto fra i figlioli degli uomini e li tenta ad adorarlo, e gli uomini sono divenuti carnali, sensuali e diabolici, e sono esclusi dalla presenza di Dio.
Mosè 6:50	Ma Dio ha fatto sapere ai nostri padri che tutti gli uomini devono pentirsi.
Mosè 6:51	E chiamò il nostro padre Adamo con la sua propria voce, dicendo: Io sono Dio; io ho fatto il mondo, e gli uomini prima che fossero nella carne.
Mosè 6:52	E gli disse anche: Se vorrai volgerti a me e dare ascolto alla mia voce, e credere e pentirti di tutte le tue trasgressioni, ed essere battezzato, sì, nell’acqua, nel nome del mio Figlio Unigenito, che è pieno di grazia e di verità, che è Gesù Cristo, il solo nome che sarà dato sotto il cielo, mediante il quale la salvezza verrà ai figlioli degli uomini, riceverai il dono dello Spirito Santo; e chiederai ogni cosa nel suo nome, e qualsiasi cosa chiederai ti sarà data.
Mosè 6:53	E nostro padre Adamo parlò al Signore, e disse: Com’è che gli uomini devono pentirsi ed essere battezzati nell’acqua? E il Signore disse ad Adamo: Ecco, io ti ho perdonato la tua trasgressione nel giardino di Eden.
Mosè 6:54	Di qui venne il detto, diffuso fra il popolo, che il Figlio di Dio ha espiato per la colpa originale, per cui i peccati dei genitori non possono ricadere sulla testa dei figli, poiché questi sono puri fin dalla fondazione del mondo.
Mosè 6:55	E il Signore parlò ad Adamo, dicendo: Dato che i tuoi figli sono concepiti nel peccato, così, quando cominciano a crescere, il peccato concepisce nel loro cuore, ed essi assaporano l’amaro, affinché sappiano apprezzare il bene.
Mosè 6:56	Ed è dato loro di distinguere il bene dal male, pertanto agiscono in piena libertà, e io ti ho dato un’altra legge e un altro comandamento.
Mosè 6:57	Insegnalo dunque ai tuoi figli, che tutti gli uomini, ovunque, devono pentirsi, o non possono in alcun modo ereditare il regno di Dio, poiché nessuna cosa impura può dimorarvi, ossia dimorare in sua presenza; poiché, nella lingua di Adamo, Uomo di Santità è il suo nome, e il nome del suo Unigenito è il Figlio dell’Uomo, sì, Gesù Cristo, un Giudice giusto che verrà nel meridiano dei tempi.
Mosè 6:58	Perciò ti do un comandamento, di insegnare liberamente queste cose ai tuoi figli, dicendo:
Mosè 6:59	Che per via della trasgressione viene la caduta, caduta che porta la morte; e dato che nasceste nel mondo mediante l’acqua, e il sangue, e lo spirito, che io ho fatto, e così diveniste dalla polvere un’anima vivente, proprio così dovete nascere di nuovo nel regno del cielo, di acqua e di Spirito, ed essere purificati mediante il sangue, sì, il sangue del mio Unigenito, affinché possiate essere santificati da ogni peccato e godere delle parole di vita eterna in questo mondo, e della vita eterna nel mondo a venire, sì, di gloria immortale;
Mosè 6:60	Poiché mediante l’acqua rispettate il comandamento, mediante lo Spirito siete giustificati e mediante il sangue siete santificati;
Mosè 6:61	Perciò esso è dato per dimorare in voi; la testimonianza del cielo; il Consolatore; le cose pacifiche di gloria immortale; la verità di ogni cosa; ciò che vivifica ogni cosa, che rende viva ogni cosa; ciò che conosce ogni cosa e ha ogni potere secondo la saggezza, la misericordia, la verità, la giustizia e il giudizio.
Mosè 6:62	Ed ora ecco, io ti dico: Questo è il piano di salvezza per tutti gli uomini, tramite il sangue del mio Unigenito che verrà nel meridiano dei tempi.
Mosè 6:63	Ed ecco, tutte le cose hanno la loro somiglianza, e tutte le cose sono create e fatte per portare testimonianza di me, sia le cose che sono materiali che le cose che sono spirituali; le cose che sono in alto nei cieli, e le cose che sono sulla terra, e le cose che sono nella terra, e le cose che sono sotto terra, sia sopra che sotto: tutte le cose portano testimonianza di me.
Mosè 6:64	E avvenne, quando il Signore ebbe parlato con Adamo, nostro padre, che Adamo gridò al Signore, e fu portato via dallo Spirito del Signore, fu immerso nell’acqua, fu steso sott’acqua e fu portato fuori dall’acqua.
Mosè 6:65	E così egli fu battezzato e lo Spirito di Dio scese su di lui, e così nacque dallo Spirito e fu vivificato nell’uomo interiore.
Mosè 6:66	Ed egli udì una voce dal cielo che diceva: Tu sei battezzato con il fuoco e con lo Spirito Santo. Questa è la testimonianza del Padre, e del Figlio, d’ora in avanti e per sempre;
Mosè 6:67	E tu sei secondo l’ordine di colui che era senza principio di giorni o fine d’anni, da tutta l’eternità a tutta l’eternità.
Mosè 6:68	Ecco, tu sei uno in me, un figlio di Dio; e così tutti possono divenire miei figli. Amen.
Mosè 7:1	E avvenne che Enoc continuò il suo discorso, dicendo: Ecco, nostro padre Adamo insegnò queste cose, e molti hanno creduto e sono diventati i figli di Dio, e molti non hanno creduto e sono periti nei loro peccati e attendono con timore, nel tormento, che si riversi su di loro l’ardente indignazione dell’ira di Dio.
Mosè 7:2	E da quel tempo in avanti Enoc cominciò a profetizzare, dicendo questo al popolo: Mentre stavo viaggiando e stavo nel luogo Mahuja, e gridavo al Signore, venne una voce dal cielo che disse: Voltati e recati sul monte Simeone.
Mosè 7:3	E avvenne che mi voltai e salii sul monte; e mentre stavo sul monte, vidi i cieli aperti e fui rivestito di gloria;
Mosè 7:4	E vidi il Signore; ed egli stette dinanzi al mio volto e conversò con me, sì, come un uomo conversa con l’altro, faccia a faccia; ed egli mi disse: Guarda, e io ti mostrerò il mondo per lo spazio di molte generazioni.
Mosè 7:5	E avvenne che io guardai nella valle di Shum, ed ecco, un grande popolo che dimorava in tende, che era il popolo di Shum.
Mosè 7:6	E di nuovo il Signore mi disse: Guarda; e io guardai verso il nord, e vidi il popolo di Canaan, che dimorava in tende.
Mosè 7:7	Ed il Signore mi disse: Profetizza; e io profetizzai, dicendo: Ecco, il popolo di Canaan, che è numeroso, avanzerà in assetto di battaglia contro il popolo di Shum e lo sterminerà, cosicché sarà completamente distrutto; e il popolo di Canaan si dividerà nel paese e il paese sarà sterile e infruttifero, e nessun altro popolo vi abiterà se non il popolo di Canaan;
Mosè 7:8	Poiché ecco, il Signore maledirà il paese con un gran calore, e la sua sterilità durerà per sempre; e un colore nero venne su tutti i figli di Canaan cosicché furono disprezzati fra tutti i popoli.
Mosè 7:9	E avvenne che il Signore mi disse: Guarda; e io guardai e vidi la terra di Sharon, e la terra di Enoc, e la terra di Omner, e la terra di Heni, e la terra di Shem, e la terra di Haner, e la terra di Hananniha e tutti i loro abitanti;
Mosè 7:10	E il Signore mi disse: Va da questi popoli e di’ loro: Pentitevi; per timore che io esca e li colpisca con una maledizione, ed essi muoiano.
Mosè 7:11	E mi dette un comandamento, che io battezzassi nel nome del Padre, e del Figlio, che è pieno di grazia e di verità, e dello Spirito Santo, che porta testimonianza del Padre e del Figlio.
Mosè 7:12	E avvenne che Enoc continuò a chiamare tutti i popoli, salvo il popolo di Canaan, a pentirsi;
Mosè 7:13	E così grande era la sua fede, che egli guidò il popolo di Dio; e i loro nemici vennero a combattere contro di loro; ed egli pronunciò la parola del Signore, e la terra tremò e le montagne fuggirono, sì, secondo il suo comando; e i fiumi d’acqua furono stornati dal loro corso; e il ruggito dei leoni fu udito dal deserto, e tutte le nazioni temettero grandemente, tanto era possente la parola di Enoc e tanto grande era il potere del linguaggio che Dio gli aveva dato.
Mosè 7:14	Sorse anche una terra dalle profondità del mare, e così grande fu il timore dei nemici del popolo di Dio che fuggirono e stettero lontani, e andarono sulla terra che era sorta dalle profondità del mare.
Mosè 7:15	E anche i giganti del paese stettero lontano; e venne una maledizione su tutti i popoli che combattevano contro Dio;
Mosè 7:16	E da quel tempo in avanti vi furono fra loro guerre e spargimenti di sangue; ma il Signore venne e dimorò col Suo popolo, ed essi dimorarono in rettitudine.
Mosè 7:17	Il timore del Signore era su tutte le nazioni, tanto grande era la gloria del Signore che era sul Suo popolo. E il Signore benedisse il paese, ed essi furono benedetti sulle montagne e sulle alture, e fiorirono.
Mosè 7:18	E il Signore chiamò il suo popolo Sion, perché erano di un solo cuore e di una sola mente, e dimoravano in rettitudine; e non vi erano poveri fra essi.
Mosè 7:19	Ed Enoc continuò a predicare in rettitudine al popolo di Dio. E avvenne, ai suoi giorni, che egli fondò una città che fu chiamata Città di Santità, cioè Sion.
Mosè 7:20	E avvenne che Enoc parlò con il Signore, e disse al Signore: Per certo Sion dimorerà in sicurezza per sempre. Ma il Signore disse ad Enoc: Sion, l’ho benedetta, ma il resto del popolo l’ho maledetto.
Mosè 7:21	E avvenne che il Signore mostrò ad Enoc tutti gli abitanti della terra; ed egli guardò, ed ecco, Sion dopo qualche tempo fu assunta in cielo. E il Signore disse ad Enoc: Ecco la mia dimora per sempre.
Mosè 7:22	Ed Enoc vide anche il resto dei popoli, che erano i figli di Adamo; ed erano un miscuglio di tutta la posterità di Adamo, salvo la posterità di Caino, poiché la posterità di Caino era nera, e non aveva posto fra loro.
Mosè 7:23	E dopo che Sion fu assunta in cielo, Enoc guardò, ed ecco, tutte le nazioni della terra erano dinanzi a lui;
Mosè 7:24	E vennero generazioni su generazioni; ed Enoc era in alto e sollevato, sì, nel seno del Padre e del Figlio dell’Uomo; ed ecco, il potere di Satana era su tutta la faccia della terra.
Mosè 7:25	E vide degli angeli che scendevano dal cielo; e udì una voce forte, che diceva: Guai, guai agli abitanti della terra.
Mosè 7:26	E vide Satana; e aveva una grande catena in mano, ed essa velava di tenebre l’intera faccia della terra; ed egli guardò in su e rise, e i suoi angeli gioirono.
Mosè 7:27	Ed Enoc vide degli angeli che scendevano dal cielo, e portavano testimonianza del Padre e del Figlio; e lo Spirito Santo cadde su molti, ed essi furono portati su dai poteri del cielo, in Sion.
Mosè 7:28	E avvenne che il Dio del cielo guardò il resto del popolo e pianse; ed Enoc ne portò testimonianza, dicendo: Come è possibile che i cieli piangano e versino le loro lacrime come la pioggia sulle montagne?
Mosè 7:29	Ed Enoc disse al Signore: Come è possibile che tu possa piangere, visto che sei santo, e da tutta l’eternità a tutta l’eternità?
Mosè 7:30	E se fosse possibile che l’uomo potesse contare le particelle della terra, e i milioni di terre come questa, non sarebbe neppure il principio del numero delle tue creazioni; e le tue cortine sono ancora distese; e tuttavia tu sei là, e il tuo seno è là; e anche sei giusto, sei misericordioso e benevolo per sempre.
Mosè 7:31	E hai preso Sion nel tuo seno, da tutte le tue creazioni, da tutta l’eternità a tutta l’eternità; e nulla, se non la pace, la giustizia e la verità, sono la dimora del tuo trono; e la misericordia andrà dinanzi al tuo volto e non avrà fine; come è possibile che tu possa piangere?
Mosè 7:32	Il Signore disse ad Enoc: Guarda questi tuoi fratelli; sono l’opera delle mie mani, e io diedi loro la conoscenza che hanno, nel giorno in cui li creai; e nel Giardino di Eden diedi all’uomo il suo arbitrio;
Mosè 7:33	E ai tuoi fratelli ho detto, e ho dato anche un comandamento, che si amassero l’un l’altro e che scegliessero me, loro Padre; ma ecco, sono senza affezione e odiano il loro stesso sangue;
Mosè 7:34	E il fuoco della mia indignazione è acceso contro di loro; e nel mio bruciante dispiacere manderò su di loro il diluvio, poiché la mia collera ardente è accesa contro di loro.
Mosè 7:35	Ecco, io sono Dio; Uomo di Santità è il mio nome; Uomo di Consiglio è il mio nome; e Infinito ed Eterno è anche il mio nome.
Mosè 7:36	Pertanto, posso stendere le mani e tenere tutte le creazioni che ho fatto; e anche i miei occhi possono penetrarle, e fra tutte le opere delle mie mani non v’è mai stata malvagità così grande come fra i tuoi fratelli.
Mosè 7:37	Ma ecco, i loro peccati saranno sul capo dei loro padri; Satana sarà loro padre e l’infelicità sarà la loro sorte; e il cielo intero piangerà su di loro, sì, tutta l’opera delle mie mani: non piangeranno dunque i cieli, vedendo che questi dovranno soffrire?
Mosè 7:38	Ma ecco, questi sui quali stanno i tuoi occhi, periranno nel diluvio; ed ecco, io li rinchiuderò; ho preparato una prigione per loro.
Mosè 7:39	E colui che ho scelto ha interceduto dinanzi al mio volto. Pertanto, egli soffre per i loro peccati; nella misura in cui si pentiranno nel giorno in cui il mio Eletto ritornerà a me, e fino a quel giorno essi rimarranno nei tormenti;
Mosè 7:40	Pertanto, è per questo che i cieli piangeranno, sì, e tutte le opere delle mie mani.
Mosè 7:41	E avvenne che il Signore parlò ad Enoc e narrò ad Enoc tutte le azioni dei figlioli degli uomini; pertanto Enoc conobbe e vide la loro malvagità e la loro infelicità, e pianse, e stese le braccia, e il suo cuore si gonfiò, vasto come l’eternità; e le sue viscere si impietosirono e tutta l’eternità fu scossa.
Mosè 7:42	Ed Enoc vide anche Noè e la sua famiglia; e vide che la posterità di tutti i figli di Noè sarebbe stata salvata con una salvezza materiale;
Mosè 7:43	Enoc vide dunque che Noè costruì un’arca; e che il Signore sorrise su di essa e la tenne nella Sua mano; ma sul resto dei malvagi venne il diluvio e li inghiottì.
Mosè 7:44	E quando Enoc vide ciò, ebbe amarezza nell’anima e pianse sui suoi fratelli, e disse ai cieli: Rifiuterò d’essere consolato; ma il Signore disse ad Enoc: Rincuorati e sii contento; e guarda.
Mosè 7:45	E avvenne che Enoc guardò; e dopo Noè, vide tutte le famiglie della terra; e gridò al Signore, dicendo: Quando verrà il giorno del Signore? Quando sarà versato il sangue del Giusto, affinché tutti coloro che piangono possano essere santificati e avere vita eterna?
Mosè 7:46	E il Signore disse: Sarà nel meridiano dei tempi, nei giorni della malvagità e della vendetta.
Mosè 7:47	Ed ecco, Enoc vide il giorno della venuta del Figlio dell’Uomo, sì, nella carne; e la sua anima gioì e disse: Il Giusto è elevato e l’Agnello è immolato fin dalla fondazione del mondo; e tramite la fede io sono nel seno del Padre; ed ecco, Sion è con me.
Mosè 7:48	E avvenne che Enoc guardò verso la terra; e udì una voce dalle viscere d’essa, che diceva: Guai, guai a me, madre degli uomini; sono afflitta, sono esausta, a causa della malvagità dei miei figlioli. Quando mi riposerò e sarò purificata dalla sozzura che è uscita da me? Quando il mio Creatore mi santificherà, affinché io possa riposarmi e la rettitudine, per una stagione, dimori sulla mia faccia?
Mosè 7:49	E quando Enoc udì la terra gemere, pianse e gridò al Signore, dicendo: O Signore, non avrai compassione della terra? Non benedirai i figlioli di Noè?
Mosè 7:50	E avvenne che Enoc continuò il suo grido al Signore, dicendo: Ti chiedo, o Signore, nel nome del tuo Unigenito, sì, Gesù Cristo, che tu abbia misericordia di Noè e della sua posterità, affinché la terra non sia mai più coperta dal diluvio.
Mosè 7:51	E il Signore non poté rifiutare; e fece una alleanza con Enoc, e gli giurò solennemente che avrebbe fermato il diluvio; che avrebbe chiamato i figlioli di Noè.
Mosè 7:52	Ed emanò un decreto inalterabile, che un resto della sua posterità sarebbe stato sempre trovato fra tutte le nazioni, finché sarebbe durata la terra;
Mosè 7:53	E il Signore disse: Benedetto colui tramite il cui seme nascerà il Messia; poiché, Egli disse: Io sono il Messia, il Re di Sion, la Roccia del Cielo che è vasta come l’eternità; chiunque entra dalla porta e sale mediante me non cadrà mai; benedetti dunque coloro di cui ho parlato, poiché verranno con canti di gioia eterna.
Mosè 7:54	E avvenne che Enoc gridò al Signore, dicendo: Quando il Figlio dell’Uomo verrà nella carne, si riposerà la terra? Ti prego, mostrami queste cose.
