Genesi 1:1	Nel principio Dio creò i cieli e la terra.
Giosuè 9:24	E quelli risposero a Giosuè e dissero: “Era stato espressamente riferito ai tuoi servi che il tuo Dio, l’Eterno, aveva ordinato al suo servo Mosè di darvi tutto il paese e di sterminare d’innanzi a voi tutti gli abitanti. E noi, al vostro appressarvi, abbiamo avuto grande timore per le nostre vite, e abbiamo fatto questo.
Giosuè 9:25	Ed ora eccoci qui nelle tue mani; trattaci come ti pare che sia bene e giusto fare”.
Giosuè 9:26	Giosuè li trattò dunque così: li liberò dalle mani dei figli d’Israele, perché questi non li uccidessero;
Giosuè 9:27	ma in quel giorno li destinò ad essere spaccalegna ed acquaioli per la comunità e per l’altare dell’Eterno, nel luogo che l’Eterno si sarebbe scelto: ed è ciò che fanno ancora al dì d’oggi.
Giosuè 10:1	Ora, quando Adoni-Sedec, re di Gerusalemme, udì che Giosuè aveva preso Ai e l’aveva votata allo sterminio, che aveva trattato Ai e il suo re nel modo in cui aveva trattato Gerico e il suo re, che gli abitanti di Gabaon avevano fatto la pace con gli Israeliti ed erano in mezzo a loro,
Giosuè 10:2	fu tutto spaventato; perché Gabaon era una città grande come una delle città reali, anche più grande di Ai, e tutti gli uomini suoi erano valorosi.
Giosuè 10:3	Perciò Adoni-Sedec, re di Gerusalemme, mandò a dire a Oam re di Hebron, a Piram re di Iarmut, a Iafia re di Lachis e a Debir re di Eglon:
Giosuè 10:4	“Salite da me, soccorretemi, e noi sconfiggeremo Gabaon, perché ha fatto la pace con Giosuè e con i figli d’Israele”.
Giosuè 10:5	E cinque re degli Amorei, il re di Gerusalemme, il re di Hebron, il re di Iarmut, il re di Lachis e il re di Eglon si radunarono, salirono con tutti i loro eserciti, si accamparono dirimpetto a Gabaon, e l’attaccarono.
Giosuè 10:6	Allora i Gabaoniti mandarono a dire a Giosuè, al campo di Ghilgal: “Non negare ai tuoi servi il tuo aiuto; affrettati a salire da noi, liberaci, soccorrici, perché tutti i re degli Amorei che abitano la contrada montuosa si sono radunati contro di noi”.
Giosuè 10:7	E Giosuè salì da Ghilgal, con tutti gli uomini di guerra e con tutti i guerrieri valorosi.
Giosuè 10:8	E l’Eterno disse a Giosuè: “Non li temere, perché io li ho dati in tuo potere; nessuno di loro potrà tenerti testa”.
Giosuè 10:9	E Giosuè piombò loro addosso all’improvviso: aveva marciato tutta la notte da Ghilgal.
Giosuè 10:10	E l’Eterno li mise in rotta davanti ad Israele, che fece loro subire una grande sconfitta presso Gabaon, li inseguì per la via che sale a Beth-Horon, e li percosse fino ad Azeka e a Makkeda.
Giosuè 10:11	Mentre fuggivano d’innanzi a Israele ed erano alla discesa di Beth-Horon, l’Eterno fece cader dal cielo su di loro delle grosse pietre fino ad Azeka, ed essi perirono: quelli che morirono per le pietre della grandinata furon più numerosi di quelli che i figli d’Israele uccisero con la spada.
Giosuè 10:12	Allora Giosuè parlò all’Eterno, il giorno in cui l’Eterno diede gli Amorei in potere dei figli d’Israele, e disse in presenza d’Israele: “Sole, fermati su Gabaon, e tu, luna, sulla valle d’Aialon!”.
Giosuè 10:13	E il sole si fermò, e la luna rimase immobile, finché la nazione si fu vendicata dei suoi nemici. Questo non è forse scritto nel libro del Giusto? E il sole si fermò in mezzo al cielo e non si affrettò a tramontare per quasi un giorno intero.
Giosuè 10:14	E mai, né prima né poi, c’è stato un giorno simile a quello, nel quale l’Eterno abbia esaudito la voce di un uomo; poiché l’Eterno combatteva per Israele.
Giosuè 10:15	E Giosuè, con tutto Israele, tornò al campo di Ghilgal.
Giosuè 10:16	Ora, i cinque re erano fuggiti, e si erano nascosti nella spelonca di Makkeda.
Giosuè 10:17	La cosa fu riferita a Giosuè e gli fu detto: “I cinque re sono stati trovati nascosti nella spelonca di Makkeda”.
Giosuè 10:18	Allora Giosuè disse: “Rotolate delle grosse pietre all’imboccatura della spelonca, e ponetevi degli uomini per far loro la guardia;
Giosuè 10:19	ma voi non vi fermate; inseguite i vostri nemici, e colpite le retroguardie; non li lasciate entrare nelle loro città, perché l’Eterno, il vostro Dio, li ha dati in vostro potere”.
Giosuè 10:20	E quando Giosuè e i figli d’Israele ebbero finito di infliggere loro una grande, completa disfatta, e quelli che scamparono si furono rifugiati nelle città fortificate,
Giosuè 10:21	tutto il popolo tornò tranquillamente da Giosuè al campo di Makkeda, senza che alcuno osasse fiatare contro i figli d’Israele.
Giosuè 10:22	Allora Giosuè disse: “Aprite l’imboccatura della caverna, traetene fuori quei cinque re, e portateli da me”.
Giosuè 10:23	Quelli fecero così, trassero dalla spelonca quei cinque re, il re di Gerusalemme, il re di Hebron, il re di Iarmuth, il re di Lachis, il re di Eglon, e glieli portarono.
Giosuè 10:24	E quando ebbero tratto dalla spelonca e portato da Giosuè quei re, Giosuè chiamò tutti gli uomini d’Israele, e disse ai capi dell’esercito che era andato con lui: “Accostatevi, mettete il piede sul collo di questi re”. Quelli si accostarono e misero loro il piede sul collo.
Giosuè 10:25	E Giosuè disse loro: “Non temete, non vi sgomentate, siate forti, e fatevi animo, perché così farà l’Eterno a tutti i vostri nemici contro i quali combattete”.
Giosuè 10:26	Dopo ciò Giosuè li percosse e li fece morire, quindi li impiccò a cinque alberi; e quelli rimasero appesi agli alberi fino a sera.
Giosuè 10:27	E sul tramontar del sole, Giosuè ordinò che fossero calati dagli alberi e gettati nella spelonca dove si erano nascosti; e che all’imboccatura della caverna fossero messe delle grosse pietre, le quali vi sono rimaste fino al dì d’oggi.
Giosuè 10:28	In quel medesimo giorno Giosuè prese Maccheda e fece passare a fil di spada la città e il suo re; li votò allo sterminio con tutte le persone che vi si trovavano; non ne lasciò scampare una, e trattò il re di Maccheda come aveva trattato il re di Gerico.
Giosuè 10:29	Poi Giosuè con tutto Israele passò da Maccheda a Libna, e l’attaccò.
Giosuè 10:30	E l’Eterno diede anche quella con il suo re nelle mani d’Israele, e Giosuè la mise a fil di spada con tutte le persone che vi si trovavano; non ne lasciò scampare una, e trattò il re d’essa come aveva trattato il re di Gerico.
Giosuè 10:31	Poi Giosuè con tutto Israele passò da Libna a Lachis; si accampò dirimpetto a questa, e l’attaccò.
Giosuè 10:32	E l’Eterno diede Lachis nelle mani d’Israele, che la prese il secondo giorno, e la mise a fil di spada, con tutte le persone che vi si trovavano, esattamente come aveva fatto a Libna. Allora Oram, re di Ghezer, salì in soccorso di Lachis;
Giosuè 10:33	ma Giosuè colpì lui e il suo popolo così da non lasciarne scampare alcuno.
Giosuè 10:34	Poi Giosuè con tutto Israele passò da Lachis ad Eglon; si accamparono dirimpetto a questa, e l’attaccarono.
Giosuè 10:35	La presero quel medesimo giorno e la misero a fil di spada. In quel giorno Giosuè votò allo sterminio tutte le persone che vi si trovavano, esattamente come aveva fatto a Lachis.
Giosuè 10:36	Poi Giosuè con tutto Israele salì da Eglon ad Hebron, e l’attaccarono.
Giosuè 10:37	La presero, la passarono a fil di spada insieme con il suo re, con tutte le sue città e con tutte le persone che vi si trovavano; non ne lasciò sfuggire una, esattamente come aveva fatto ad Eglon; la votò allo sterminio con tutte le persone che vi si trovavano.
Giosuè 10:38	Poi Giosuè con tutto Israele tornò verso Debir, e l’attaccò.
Giosuè 10:39	La prese con il suo re e con tutte le sue città; la passarono a fil di spada e votarono allo sterminio tutte le persone che vi si trovavano, senza che ne scampasse una. Egli trattò Debir e il suo re come aveva trattato Hebron, come aveva trattato Libna e il suo re.
Giosuè 10:40	Giosuè dunque colpì tutto il paese, la contrada montuosa, il meridione, la regione bassa, le pendici, e tutti i loro re; non lasciò scampare alcuno, ma votò allo sterminio tutto ciò che aveva vita, come l’Eterno, l’Iddio d’Israele, aveva comandato.
Giosuè 10:41	Così Giosuè li colpì da Cades-Barnea fino a Gaza, e colpì tutto il paese di Goscen fino a Gabaon.
Giosuè 10:42	E Giosuè prese in una sola volta tutti quei re e i loro paesi, perché l’Eterno, l’Iddio d’Israele, combatteva per Israele.
Giosuè 10:43	Poi Giosuè, con tutto Israele, fece ritorno al campo di Ghilgal.
Giosuè 11:1	Ora, quando Iabin, re di Hatsor, ebbe udito queste cose, mandò dei messi a Iobab re di Madon, al re di Scimron, al re di Acsaf,
Giosuè 11:2	ai re che erano al nord nella contrada montuosa, nella pianura al sud di Chinneret, nella regione bassa, e sulle alture di Dor a ponente,
Giosuè 11:3	ai Cananei d’oriente e di ponente, agli Amorei, agli Ittiti, ai Ferezei, ai Gebusei nella contrada montuosa, agli Ivvei ai piedi dell’Hermon nel paese di Mizpa.
Giosuè 11:4	E quelli uscirono, con tutti i loro eserciti, formando un popolo innumerevole come la sabbia che è sul lido del mare, e con cavalli e carri in grandissima quantità.
Giosuè 11:5	Tutti questi re si riunirono e vennero ad accamparsi assieme presso le acque di Merom per combattere contro Israele.
Giosuè 11:6	E l’Eterno disse a Giosuè: “Non li temere, perché domani, a quest’ora, io farò sì che siano tutti uccisi davanti a Israele; tu taglierai i garetti ai loro cavalli e darai fuoco ai loro carri”.
Giosuè 11:7	Giosuè dunque, con tutti gli uomini di guerra, marciò all’improvviso contro di essi alle acque di Merom, e piombò loro addosso;
Giosuè 11:8	e l’Eterno li diede nelle mani degli Israeliti, i quali li colpirono e li inseguirono fino a Sidone la grande, fino a Misrefot-Maim e fino alla valle di Mizpa, verso oriente; li colpirono così da non lasciarne scampare uno.
Giosuè 11:9	E Giosuè li trattò come gli aveva detto l’Eterno: tagliò i garetti ai loro cavalli e dette fuoco ai loro carri.
Giosuè 11:10	Al suo ritorno, e in quel medesimo tempo, Giosuè prese Azor e ne fece perire di spada il re; poiché Azor era stata in precedenza la capitale di tutti quei regni.
Giosuè 11:11	Passò anche a fil di spada tutte le persone che vi si trovavano, votandole allo sterminio; non vi restò anima viva, e dette Azor alle fiamme.
Giosuè 11:12	Giosuè prese pure tutte le città di quei re e tutti i loro re, e li passò a fil di spada e li votò allo sterminio, come aveva ordinato Mosè, servo dell’Eterno.
Giosuè 11:13	Ma Israele non arse alcuna delle città poste in collina, salvo Azor, la sola che Giosuè incendiò.
Giosuè 11:14	E i figli d’Israele si tennero per sé tutto il bottino di quelle città e il bestiame, ma passarono a fil di spada tutti gli uomini fino al loro completo sterminio, senza lasciare anima viva.
Giosuè 11:15	Come l’Eterno aveva comandato a Mosè suo servo, così Mosè ordinò a Giosuè, e così fece Giosuè, il quale non trascurò alcuno degli ordini che l’Eterno aveva dato a Mosè.
Giosuè 11:16	Giosuè dunque prese tutto quel paese, la contrada montuosa, tutto il meridione, tutto il paese di Goscen, il basspiano, la pianura, la contrada montuosa d’Israele e il suo bassopiano,
Giosuè 11:17	dal monte Alac che si eleva verso Seir, fino a Baal-Gad nella valle del Libano ai piedi del monte Hermon; prese tutti i loro re, li colpì e li mise a morte.
Giosuè 11:18	Giosuè fece per lungo tempo guerra a tutti quei re.
Giosuè 11:19	Non ci fu città che fece pace con i figli d’Israele, eccetto gli Ivvei che abitavano Gabaon; le presero tutte combattendo;
Giosuè 11:20	perché l’Eterno faceva sì che il loro cuore si ostinasse a dar battaglia ad Israele, affinché Israele li votasse allo sterminio senza che ci fosse pietà per loro, e li distruggesse come l’Eterno aveva comandato a Mosè.
Giosuè 11:21	In quel medesimo tempo, Giosuè si mise in marcia e sterminò gli Anachiti della contrada montuosa, di Hebron, di Debir, di Anab, di tutta la contrada montuosa di Giuda e di tutta la contrada montuosa d’Israele; Giosuè li votò allo sterminio con le loro città.
Giosuè 11:22	Non rimasero più Anachiti nel paese dei figli d’Israele; non ne restarono che alcuni a Gaza, a Gat e ad Asdod.
Giosuè 11:23	Giosuè dunque prese tutto il paese, esattamente come l’Eterno aveva detto a Mosè; e Giosuè lo diede in eredità a Israele, tribù per tribù, secondo la parte che toccava a ciascuna. E il paese ebbe riposo dalla guerra.
Giosuè 12:1	Ora, questi sono i re del paese sconfitti dai figli d’Israele, i quali presero possesso del loro territorio di là dal Giordano, verso levante, dalla valle dell’Arnon fino al monte Hermon, con tutta la pianura orientale:
Giosuè 12:2	Sicon, re degli Amorei, che abitava a Eshbon e dominava da Aroer, che è sull’orlo della valle dell’Arnon, e dalla metà della valle e dalla metà di Galaad, fino al torrente di Iabboc, confine dei figli di Ammon;
Giosuè 12:3	sulla pianura fino al mare di Chinneret, verso oriente, e fino al mare della pianura ch’è il mar Salato, a oriente verso Bet-Iescimot; e dal lato meridionale fino ai piedi delle pendici del Pisga.
Giosuè 12:4	Poi il territorio di Og re di Basan, uno dei superstiti dei Refaim, che abitava ad Astarot e a Edrei,
Giosuè 12:5	e dominava sul monte Hermon, su Salca, su tutto Basan sino ai confini dei Ghesuriti e dei Maacatiti, e sulla metà di Galaad, confine di Sicon re di Eshbon.
Giosuè 12:6	Mosè, servo dell’Eterno, e i figli d’Israele li sconfissero; e Mosè, servo dell’Eterno, diede il loro paese come possesso ai Rubeniti, ai Gaditi e a mezza tribù di Manasse.
Giosuè 12:7	Ed ecco i re del paese che Giosuè e i figli d’Israele sconfissero di qua dal Giordano, a occidente, da Baal-Gad nella valle del Libano fino al monte Alac che si eleva verso Seir, paese che Giosuè diede in possesso alle tribù d’Israele, secondo la parte che ne toccava a ciascuna,
Giosuè 12:8	nella contrada montuosa, nel bassopiano, nella pianura, sulle pendici, nel deserto e nel meridione; il paese degli Ittiti, degli Amorei, dei Cananei, dei Ferezei, degli Ivvei e dei Gebusei:
Giosuè 12:9	Il re di Gerico, il re di Ai, vicino a Betel,
Giosuè 12:10	il re di Gerusalemme, il re di Hebron,
Giosuè 12:11	il re di Iarmut, il re di Lachis,
Giosuè 12:12	il re di Eglon, il re di Ghezer,
Giosuè 12:13	il re di Debir, il re di Gheder,
Giosuè 12:14	il re di Horma, il re di Arad,
Giosuè 12:15	il re di Libna, il re di Adullam,
Giosuè 12:16	il re di Maccheda, il re di Betel,
Giosuè 12:17	il re di Tappua, il re di Hefer,
Giosuè 12:18	il re di Afec, il re di Sharon,
Giosuè 12:19	il re di Madon, il re di Azor,
Giosuè 12:20	il re di Scimron-Meron, il re di Acsaf,
Giosuè 12:21	il re di Taanac, il re di Meghiddo,
Giosuè 12:22	il re di Chedes, il re di Iocneam al Carmelo,
Giosuè 12:23	il re di Dor, sulle alture di Dor, il re di Goim nel Ghilgal,
Giosuè 12:24	il re di Tirza. In tutto trentun re.
Giosuè 13:1	Ora, Giosuè era vecchio, ben avanti negli anni; e l’Eterno gli disse: “Tu sei vecchio, bene avanti negli anni, e rimane ancora una grandissima parte del paese da conquistare.
Giosuè 13:2	Ecco quel che rimane: tutti i distretti dei Filistei e tutto il territorio dei Ghesuriti,
Giosuè 13:3	dallo Scihor che scorre a oriente dell’Egitto, sino al confine di Ecron a settentrione: regione che va ritenuta come cananea e che appartiene ai cinque principi dei Filistei: a quello di Gaza, a quello di Asdod, a quello di Ascalon, a quello di Gat, a quello di Ecron, e anche agli Avvei, a mezzogiorno;
Giosuè 13:4	tutto il paese dei Cananei, e Meara che è dei Sidoni, sino ad Afec, sino al confine degli Amorei;
Giosuè 13:5	il paese dei Ghibliti e tutto il Libano verso il levante, da Baal-Gad, ai piedi del monte Hermon, sino all’ingresso di Amat;
Giosuè 13:6	tutti gli abitanti della contrada montuosa dal Libano fino a Misrefot-Maim, tutti i Sidoni. Io li caccerò d’innanzi ai figli d’Israele; e tu spartisci pure a sorte l’eredità di questo paese fra gli Israeliti, nel modo che ti ho comandato.
Giosuè 13:7	Ora dunque spartisci l’eredità di questo paese fra nove tribù e la mezza tribù di Manasse”.
Giosuè 13:8	I Rubeniti e i Gaditi, con l’altra metà della tribù di Manasse, hanno ricevuto la loro eredità, che Mosè, servo dell’Eterno, diede loro di là dal Giordano, a oriente:
Giosuè 13:9	da Aroer sull’orlo della valle d’Arnon, e dalla città che è in mezzo alla valle, tutto l’altipiano di Medeba fino a Dibon;
Giosuè 13:10	tutte le città di Sicon re degli Amorei, che regnava a Eshbon, sino al confine dei figli di Ammon;
Giosuè 13:11	Galaad, il territorio dei Ghesuriti e dei Maacatiti, tutto il monte Hermon e tutto Basan fino a Salca;
Giosuè 13:12	tutto il regno di Og, in Basan, che regnava a Astarot e a Edrei, ultimo superstite dei Refaim. Mosè sconfisse questi re e li cacciò.
Giosuè 13:13	Ma i figli d’Israele non cacciarono i Ghesuriti e i Maacatiti; e Ghesur e Maacat abitano in mezzo a Israele fino al dì d’oggi.
Giosuè 13:14	Solo alla tribù di Levi Mosè non dette alcuna eredità; i sacrifici offerti mediante il fuoco all’Eterno, all’Iddio d’Israele, sono la sua eredità, come egli disse.
Giosuè 13:15	Mosè dunque diede alla tribù dei figli di Ruben la loro parte, secondo le loro famiglie;
Giosuè 13:16	essi ebbero per territorio, partendo da Aroer sull’orlo della valle dell’Arnon, e dalla città che è in mezzo alla valle, tutto l’altipiano presso Medeba,
Giosuè 13:17	Eshbon e tutte le sue città che sono sull’altipiano: Dibon, Bamot-Baal, Bet-Baal-Meon,
Giosuè 13:18	Iahaz, Chedemot, Mefaat,
Giosuè 13:19	Chiriataim, Sibma, Zeret-Ashahar sul monte della valle,
Giosuè 13:20	Bet-Peor, le pendici del Pisga e Bet-Iescimot;
Giosuè 13:21	tutte le città dell’altipiano, tutto il regno di Sicon, re degli Amorei che regnava a Heshbon, quello che Mosè sconfisse con i principi di Madian, Evi, Rechem, Zur, Hur e Reba, principi vassalli di Sicon, che abitavano il paese.
Giosuè 13:22	I figli d’Israele fecero morire di spada anche Balaam, figlio di Beor, l’indovino, insieme con gli altri che uccisero.
Giosuè 13:23	Al territorio dei figli di Ruben serviva di confine il Giordano. Tale fu l’eredità dei figli di Ruben secondo le loro famiglie: con le città ed i villaggi annessi.
Giosuè 13:24	Mosè dette pure alla tribù di Gad, ai figli di Gad, la loro parte, secondo le loro famiglie.
Giosuè 13:25	Essi ebbero per territorio Iaezer, tutte le città di Galaad, la metà del paese dei figli di Ammon fino ad Aroer che è dirimpetto a Rabba,
Giosuè 13:26	da Eshbon fino a Ramat-Mizpè e Betonim, da Mahanaim sino al confine di Debir,
Giosuè 13:27	e, nella valle, Bet-Haram, Bet-Nimra, Succot e Zafon, residuo del regno di Sicon re di Eshbon, avendo il Giordano per confine sino all’estremità del mare di Chinneret, di là dal Giordano, a oriente.
Giosuè 13:28	Tale fu l’eredità dei figli di Gad, secondo le loro famiglie, con le città e i villaggi annessi.
Giosuè 13:29	Mosè diede pure alla mezza tribù di Manasse, ai figli di Manasse, la loro parte, secondo le loro famiglie.
Giosuè 13:30	Il loro territorio comprendeva, da Mahanaim, tutto Basan, tutto il regno di Og re di Basan, tutti i borghi di Iair in Basan, in tutto, sessanta terre.
Giosuè 13:31	La metà di Galaad, Astarot e Edrei, città del regno di Og in Basan, toccarono ai figli di Machir, figlio di Manasse, alla metà dei figli di Machir, secondo le loro famiglie.
Giosuè 13:32	Tali sono le parti che Mosè fece quando era nelle pianure di Moab, di là dal Giordano, dirimpetto a Gerico, a oriente.
Giosuè 13:33	Ma alla tribù di Levi Mosè non dette alcuna eredità: l’Eterno, l’Iddio d’Israele, è la sua eredità, come egli le disse.
Giosuè 14:1	Ora, queste sono le terre che i figli d’Israele ebbero come eredità nel paese di Canaan, e che il sacerdote Eleazar, Giosuè figlio di Nun e i capifamiglia delle tribù dei figli d’Israele distribuirono loro.
Giosuè 14:2	L’eredità fu distribuita a sorte, come l’Eterno aveva comandato per mezzo di Mosè, alle nove tribù e alla mezza tribù,
Giosuè 14:3	perché alle altre due tribù e alla mezza tribù Mosè aveva dato la loro eredità di là dal Giordano; mentre ai Leviti non aveva dato, tra i figli d’Israele, alcuna eredità,
Giosuè 14:4	perché i figli di Giuseppe formavano due tribù: Manasse ed Efraim; e ai Leviti non fu data alcuna parte nel paese, tranne delle città per abitarvi, con i loro dintorni per il loro bestiame e i loro averi.
Giosuè 14:5	I figli d’Israele fecero come l’Eterno aveva comandato a Mosè e spartirono il paese.
Giosuè 14:6	Ora, i figli di Giuda andarono da Giosuè a Ghilgal; e Caleb, figlio di Gefunne, il Chenizeo, gli disse: “Tu sai quel che l’Eterno disse a Mosè, uomo di Dio, riguardo a me ed a te a Cades-Barnea.
Giosuè 14:7	Io avevo quarant’anni quando Mosè, servo dell’Eterno, mi mandò da Cades-Barnea ad esplorare il paese; e io gli feci la mia relazione con sincerità di cuore.
Giosuè 14:8	Ma i miei fratelli che erano saliti con me scoraggiarono il popolo, mentre io seguii pienamente l’Eterno, il mio Dio.
Giosuè 14:9	E in quel giorno Mosè fece questo giuramento: ‘La terra che il tuo piede ha calcato sarà eredità tua e dei tuoi figli in perpetuo, perché hai pienamente seguito l’Eterno, il mio Dio’.
Giosuè 14:10	Ed ora ecco, l’Eterno mi ha conservato in vita, come aveva detto, durante i quarantacinque anni ormai trascorsi da quando l’Eterno disse quella parola a Mosè, quando Israele viaggiava nel deserto; ed ora ecco che ho ottantacinque anni;
Giosuè 14:11	sono oggi ancora robusto come ero il giorno in cui Mosè mi mandò; le mie forze sono le stesse di allora, tanto per combattere quanto per andare e venire.
Giosuè 14:12	Ora dunque dammi questo monte del quale l’Eterno parlò quel giorno; poiché tu udisti allora che vi stanno degli Anachim e che vi sono delle città grandi e fortificate. Forse l’Eterno sarà con me, e io li caccerò, come disse l’Eterno”.
Giosuè 14:13	Allora Giosuè lo benedisse, e dette Hebron come eredità a Caleb, figlio di Gefunne.
Giosuè 14:14	Per questo Caleb, figlio di Gefunne, il Chenizeo, ha avuto Hebron come eredità, fino al dì d’oggi: perché aveva pienamente seguito l’Eterno, l’Iddio d’Israele.
Giosuè 14:15	Ora Hebron si chiamava in precedenza Chiriat-Arba; Arba era stato l’uomo più grande fra gli Anachim. E il paese ebbe riposo dalla guerra.
Giosuè 15:1	Ora, la parte toccata a sorte alla tribù dei figli di Giuda secondo le loro famiglie si estendeva sino al confine di Edom, al deserto di Zin verso sud, all’estremità meridionale di Canaan.
Giosuè 15:2	Il loro confine meridionale partiva dall’estremità del mar Salato, dalla lingua che volge a sud,
Giosuè 15:3	e si prolungava al sud della salita di Acrabbim, passava per Zin, poi saliva al sud di Cades-Barnea, passava da Hezron, saliva verso Addar e si volgeva verso Carcaa;
Giosuè 15:4	passava quindi da Azmon e continuava fino al torrente d’Egitto, per arrivare fino al mare. Questo sarà, disse Giosuè, il vostro confine meridionale.
Giosuè 15:5	Il confine orientale era il mar Salato, sino alla foce del Giordano. Il confine settentrionale partiva dal braccio di mare dove si trova la foce del Giordano;
Giosuè 15:6	di là saliva verso Bet-Ogla, passava a nord di Bet-Araba, saliva fino al sasso di Boan figlio di Ruben;
Giosuè 15:7	poi, partendo dalla valle di Acor, saliva a Debir e si dirigeva verso nord dal lato di Ghilgal, che è dirimpetto alla salita di Adummim, a sud del torrente; poi passava presso le acque di En-Scemesh, e arrivava fino a En-Roghel.
Giosuè 15:8	Di là il confine saliva per la valle di Ben-Hinnom fino al versante meridionale del monte dei Gebusei che è Gerusalemme, poi si elevava fino alla sommità del monte che è dirimpetto alla valle di Hinnom a occidente, e all’estremità della valle dei Refaim, a nord.
Giosuè 15:9	Dalla sommità del monte, il confine si estendeva fino alla sorgente delle acque di Neftoah, continuava verso le città del monte Efron, e si prolungava fino a Baala, che è Chiriat-Iearim.
Giosuè 15:10	Da Baala volgeva poi a occidente verso la montagna di Seir, passava per il versante settentrionale del monte Iearim, che è Chesalon, scendeva a Bet-Scemesh e passava per Timna.
Giosuè 15:11	Di là il confine continuava verso il lato settentrionale di Escron, si estendeva verso Scicron, passava per il monte Baala, si prolungava fino a Iabneel, e arrivava fino al mare.
Giosuè 15:12	Il confine occidentale era il mar grande. Tali furono da tutti i lati i confini dei figli di Giuda secondo le loro famiglie.
Giosuè 15:13	A Caleb, figlio di Gefunne, Giosuè dette una parte in mezzo ai figli di Giuda, come l’Eterno gli aveva comandato, cioè la città di Arba, padre di Anac, la quale è Hebron.
Giosuè 15:14	E Caleb ne cacciò i tre figli di Anac, Sceshai, Aiman e Talmai, discendenti di Anac.
Giosuè 15:15	Di là salì contro gli abitanti di Debir, che prima si chiamava Chiriat-Sefer.
Giosuè 15:16	E Caleb disse: “A chi conquisterà Chiriat-Sefer e la prenderà io darò in moglie Acsa mia figlia”.
Giosuè 15:17	Allora Otniel, figlio di Chenaz, fratello di Caleb la prese, e Caleb gli diede in moglie Acsa sua figlia.
Giosuè 15:18	E quando ella andò a star con lui, persuase Otniel a chiedere un campo a Caleb, suo padre. Essa scese dall’asino, e Caleb le disse: “Che vuoi?”.
Giosuè 15:19	E quella rispose: “Fammi un dono; dato che tu mi hai stabilito in una terra arida, dammi anche delle sorgenti d’acqua”. Ed egli le donò le sorgenti superiori e le sorgenti sottostanti.
Giosuè 15:20	Questa è l’eredità della tribù dei figli di Giuda, secondo le loro famiglie:
Giosuè 15:21	Le città poste all’estremità della tribù dei figli di Giuda, verso il confine di Edom, dal lato meridionale, erano:
Giosuè 15:22	Cabzeel, Eder, Jagur, China, Dimona, Adeada,
Giosuè 15:23	Cades, Aazor, Itnan,
Giosuè 15:24	Zif, Telem, Bealot,
Giosuè 15:25	Azor-Adatta, Cheriot-Ezron, che è Azor,
Giosuè 15:26	Amam, Scema, Molada,
Giosuè 15:27	Azar-Gadda, Eshmon, Bet-Palet,
Giosuè 15:28	Azar-Shual, Beer-Sceba, Biziotia, Baala, Iim, Atsem,
Giosuè 15:29	Eltolad, Chesil, Horma,
Giosuè 15:30	Ziclag, Madmanna,
Giosuè 15:31	Sansanna,
Giosuè 15:32	Lebaot, Scilim, Ain, Rimmon: in tutto ventinove città e i loro villaggi.
Giosuè 15:33	Nel bassopiano: Eshtaol, Zorea, Ashna,
Giosuè 15:34	Zanoa, En-Gannim, Tappua, Enam,
Giosuè 15:35	Iarmut, Adullam, Soco, Azeca,
Giosuè 15:36	Shaaraim, Aditaim, Ghedera e Ghederotaim: quattordici città e i loro villaggi;
Giosuè 15:37	Zenan, Adasha, Migdal-Gad,
Giosuè 15:38	Dilean, Mizpe, Iocteel,
Giosuè 15:39	Lachis, Bozcat, Eglom,
Giosuè 15:40	Cabbon, Lamas, Chitlish,
Giosuè 15:41	Ghederot, Bet-Dagon, Naama e Maccheda: sedici città e i loro villaggi;
Giosuè 15:42	Libna, Eter, Ashan,
Giosuè 15:43	Ifta, Ashna, Nezib,
Giosuè 15:44	Cheila, Aczib e Maresha: nove città e i loro villaggi;
Giosuè 15:45	Ecron, le città del suo territorio e i suoi villaggi;
Giosuè 15:46	da Ecron e a occidente, tutte le città vicine ad Asdod e i loro villaggi;
Giosuè 15:47	Asdod, le città del suo territorio e i suoi villaggi; Gaza, le città del suo territorio e i suoi villaggi fino al torrente d’Egitto e al mar grande, che serve di confine.
Giosuè 15:48	Nella contrada montuosa: Shanoir, Iattir, Soco,
Giosuè 15:49	Danna, Chiriat-Sanna, che è Debir,
Giosuè 15:50	Anab, Eshtemo, Anim,
Giosuè 15:51	Goscen, Olon e Ghilo: undici città e i loro villaggi;
Giosuè 15:52	Arab, Duma, Escean,
Giosuè 15:53	Ianum, Bet-Tappua, Afeca,
Giosuè 15:54	Umta, Chiriat-Arba, che è Hebron, e Zior: nove città e i loro villaggi;
Giosuè 15:55	Maon, Carmel, Zif, Iuta,
Giosuè 15:56	Izreel, Iocdeam, Zanoa,
Giosuè 15:57	Cain, Ghibea e Timna: dieci città e i loro villaggi;
Giosuè 15:58	Alul, Bet-Zur, Ghedor,
Giosuè 15:59	Maarat, Bet-Anot e Eltecon: sei città e i loro villaggi;
Giosuè 15:60	Chiriat-Baal, che è Chiriat-Iearim, e Rabba: due città e i loro villaggi.
Giosuè 15:61	Nel deserto: Bet-Araba, Middin, Secacah,
Giosuè 15:62	Nibshan, Ir-Ammela e Enghedi: sei città e i loro villaggi.
