Mateus 1:1	Livro da geração de Jesus Cristo, filho de Davi, filho de Abraão.
Marcos 1:45	Mas, tendo ele saído, começou a apregoar muitas coisas, e a divulgar o que acontecera; de sorte que Jesus já não podia entrar publicamente na cidade, mas conservava-se fora em lugares desertos; e de todas as partes iam ter com ele.
Marcos 2:1	E alguns dias depois, entrou outra vez em Cafarnaum, e ouviu-se que estava em casa.
Marcos 2:2	E logo se ajuntaram tantos, que nem ainda nos lugares junto à porta cabiam; e anunciava-lhes a palavra.
Marcos 2:3	Então foram ter com ele uns que conduziam um paralítico, trazido por quatro,
Marcos 2:4	E não podendo aproximar-se dele, por causa da multidão, descobriram o telhado onde ele estava, e fazendo um buraco, baixaram o leito em que jazia o paralítico.
Marcos 2:5	E Jesus, vendo a fé deles, disse ao paralítico: Filho, estão perdoados os teus pecados.
Marcos 2:6	E estavam ali assentados alguns dos escribas, que arrazoavam em seu coração, dizendo:
Marcos 2:7	Por que diz este assim blasfêmias? Quem pode perdoar pecados, senão Deus?
Marcos 2:8	E Jesus, conhecendo logo em seu espírito que assim arrazoavam entre si, lhes disse: Por que arrazoais sobre estas coisas em vosso coração?
Marcos 2:9	Qual é mais fácil? dizer ao paralítico: Estão perdoados os teus pecados; ou dizer-lhe: Levanta-te, e toma o teu leito, e anda?
Marcos 2:10	Pois para que saibais que o Filho do Homem tem na terra poder para perdoar pecados (disse ao paralítico),
Marcos 2:11	A ti te digo: Levanta-te, e toma o teu leito, e vai para tua casa.
Marcos 2:12	E levantou-se, e tomando logo o leito, saiu em presença de todos, de sorte que todos se admiraram e glorificaram a Deus, dizendo: Nunca tal vimos.
Marcos 2:13	E tornou a sair para o mar, e toda a multidão ia ter com ele, e ele os ensinava.
Marcos 2:14	E passando, viu Levi, filho de Alfeu, assentado na alfândega, e disse-lhe: Segue-me. E levantando-se, o seguiu.
Marcos 2:15	E aconteceu que, estando ele sentado à mesa em casa dele, também estavam assentados à mesa com Jesus e seus discípulos muitos publicanos e pecadores; porque eram muitos, e o tinham seguido.
Marcos 2:16	E os escribas e fariseus, vendo-o comer com os publicanos e pecadores, disseram aos seus discípulos: Por que come e bebe ele com os publicanos e pecadores?
Marcos 2:17	E Jesus, tendo ouvido isso, disse-lhes: Os sãos não necessitam de médico, mas, sim, os que estão doentes; eu não vim chamar os justos, mas, sim, os pecadores ao arrependimento.
Marcos 2:18	Ora, os discípulos de João e os dos fariseus jejuavam; e foram e disseram-lhe: Por que jejuam os discípulos de João e os dos fariseus, e não jejuam os teus discípulos?
Marcos 2:19	E Jesus disse-lhes: Podem porventura os filhos das bodas jejuar enquanto está com eles o noivo? Enquanto têm consigo o noivo, não podem jejuar;
Marcos 2:20	Mas dias virão em que lhes será tirado o noivo, e então jejuarão naqueles dias.
Marcos 2:21	Ninguém põe remendo de pano novo em roupa velha; de outra sorte o mesmo remendo novo rompe o velho, e a rotura fica maior;
Marcos 2:22	E ninguém põe vinho novo em odres velhos; de outra sorte, o vinho novo rompe os odres, o vinho entorna-se, e os odres estragam-se; porém o vinho novo deve ser posto em odres novos.
Marcos 2:23	E aconteceu que, passando ele num sábado pelas searas, os seus discípulos, caminhando, começaram a colher espigas.
Marcos 2:24	E os fariseus lhe disseram: Vês? Por que fazem no sábado o que não é lícito?
Marcos 2:25	Mas ele disse-lhes: Nunca lestes o que fez Davi quando estava em necessidade e teve fome, ele e os que com ele estavam?
Marcos 2:26	Como entrou na casa de Deus, no tempo de Abiatar, sumo sacerdote, e comeu os pães da proposição, dos quais não era lícito comer, senão aos sacerdotes, e também deu aos que com ele estavam?
Marcos 2:27	E disse-lhes: O sábado foi feito por causa do homem, e não o homem por causa do sábado.
Marcos 2:28	Assim, o Filho do Homem é Senhor até do sábado.
Marcos 3:1	E outra vez entrou na sinagoga, e estava ali um homem que tinha uma das mãos ressequida.
Marcos 3:2	E estavam observando-o se curaria no sábado, para o acusarem.
Marcos 3:3	E disse ao homem que tinha a mão ressequida: Levanta-te e vem para o meio.
Marcos 3:4	E disse-lhes: É lícito no sábado fazer o bem, ou fazer o mal? salvar a vida, ou matar? E eles calaram-se.
Marcos 3:5	E olhando para eles em redor com indignação, condoendo-se da dureza do seu coração, disse ao homem: Estende a tua mão. E ele a estendeu, e foi-lhe restaurada a sua mão, sã como a outra.
Marcos 3:6	E tendo saído os fariseus, aconselharam-se logo com os herodianos contra ele, sobre como o matariam.
Marcos 3:7	E retirou-se Jesus com os seus discípulos para o mar, e seguia-o uma grande multidão da Galileia e da Judeia,
Marcos 3:8	E de Jerusalém, e da Idumeia, e de além do Jordão; e de perto de Tiro e Sidom uma grande multidão, ouvindo quão grandes coisas fazia, veio ter com ele.
Marcos 3:9	E disse aos seus discípulos que lhe tivessem sempre pronto um barquinho junto dele, por causa da multidão, para que não o oprimisse,
Marcos 3:10	Porque tinha curado muitos, de tal maneira que todos quantos tinham algum mal se arrojavam sobre ele, para o tocarem.
Marcos 3:11	E os espíritos imundos, vendo-o, prostravam-se diante dele, e clamavam, dizendo: Tu és o Filho de Deus.
Marcos 3:12	E ele os advertia muito, para que não o dessem a conhecer.
Marcos 3:13	E subiu ao monte, e chamou para si os que ele quis; e vieram a ele.
Marcos 3:14	E designou doze para que estivessem com ele, para os enviar a pregar,
Marcos 3:15	E para que tivessem o poder de curar as enfermidades e expulsar os demônios:
Marcos 3:16	Simão, a quem pôs o nome de Pedro,
Marcos 3:17	E Tiago, filho de Zebedeu, e João, irmão de Tiago, aos quais pôs o nome de Boanerges, que significa: Filhos do trovão;
Marcos 3:18	E André, e Filipe, e Bartolomeu, e Mateus, e Tomé, e Tiago, filho de Alfeu, e Tadeu, e Simão, o Zelote,
Marcos 3:19	E Judas Iscariotes, o que o entregou.
Marcos 3:20	E foram para casa. E ajuntou-se outra vez a multidão, de tal maneira que nem sequer podiam comer pão.
Marcos 3:21	E quando os seus ouviram isso, saíram para o prender; porque diziam: Está fora de si.
Marcos 3:22	E os escribas, que tinham descido de Jerusalém, diziam: Tem Belzebu, e pelo príncipe dos demônios expulsa os demônios.
Marcos 3:23	E chamando-os a si, disse-lhes por parábolas: Como pode Satanás expulsar Satanás?
Marcos 3:24	E se um reino se dividir contra si mesmo, tal reino não pode subsistir.
Marcos 3:25	E se uma casa se dividir contra si mesma, tal casa não pode subsistir.
Marcos 3:26	E se Satanás se levantar contra si mesmo, e for dividido, não pode subsistir; antes, tem fim.
Marcos 3:27	Ninguém pode roubar os bens do valente, entrando-lhe em sua casa, se primeiro não manietar o valente; e então roubará a sua casa.
Marcos 3:28	Na verdade vos digo que todos os pecados serão perdoados aos filhos dos homens, e toda sorte de blasfêmias, com que blasfemarem;
Marcos 3:29	Qualquer, porém, que blasfemar contra o Espírito Santo, nunca obterá perdão, mas será réu do eterno juízo.
Marcos 3:30	(Porque diziam: Tem espírito imundo.)
Marcos 3:31	Chegaram então seus irmãos e sua mãe, e estando do lado de fora, mandaram chamá-lo.
Marcos 3:32	E a multidão estava assentada ao redor dele, e disseram-lhe: Eis que tua mãe e teus irmãos te buscam lá fora.
Marcos 3:33	E ele lhes respondeu, dizendo: Quem são minha mãe e meus irmãos?
Marcos 3:34	E olhando em redor para os que estavam assentados junto dele, disse: Eis aqui minha mãe e meus irmãos.
Marcos 3:35	Porque qualquer que fizer a vontade de Deus esse é meu irmão, e minha irmã, e minha mãe.
Marcos 4:1	E outra vez começou a ensinar junto do mar, e juntou-se a ele uma grande multidão, de sorte que ele, entrando em um barco, se assentou dentro, no mar; e toda a multidão estava em terra junto do mar.
Marcos 4:2	E ensinava-lhes muitas coisas por parábolas, e lhes dizia na sua doutrina:
Marcos 4:3	Ouvi: Eis que saiu o semeador a semear;
Marcos 4:4	E aconteceu que, semeando ele, uma parte da semente caiu junto do caminho, e vieram as aves do céu, e a comeram;
Marcos 4:5	E outra caiu sobre pedregais, onde não havia muita terra, e nasceu logo, porque não tinha terra profunda;
Marcos 4:6	Mas, saindo o sol, queimou-se; e porque não tinha raiz, secou-se.
Marcos 4:7	E outra caiu entre espinhos; e crescendo os espinhos, a sufocaram e não deu fruto.
Marcos 4:8	E outra caiu em boa terra e deu fruto, que vingou e cresceu; e um produziu trinta, outro, sessenta, e outro, cem.
Marcos 4:9	E disse-lhes: Quem tem ouvidos para ouvir, ouça.
Marcos 4:10	E quando se achou só, os que estavam junto dele com os doze interrogaram-no acerca da parábola.
Marcos 4:11	E ele disse-lhes: A vós é dado saber os mistérios do reino de Deus, mas aos que estão de fora todas estas coisas se dizem por parábolas,
Marcos 4:12	Para que vendo, vejam, e não percebam; e ouvindo, ouçam, e não entendam; para que não se convertam, e lhes sejam perdoados os seus pecados.
Marcos 4:13	E disse-lhes: Não sabeis esta parábola? como, pois, entendereis todas as parábolas?
Marcos 4:14	O que semeia, semeia a palavra;
Marcos 4:15	E os que estão junto do caminho são aqueles em quem a palavra é semeada; mas, tendo-a ouvido, vem logo Satanás e tira a palavra que foi semeada no seu coração.
Marcos 4:16	E da mesma forma os que recebem a semente sobre pedregais, os quais, ouvindo a palavra, logo com alegria a recebem,
Marcos 4:17	Mas não têm raiz em si mesmos, antes são de pouca duração; depois, sobrevindo tribulação ou perseguição por causa da palavra, logo se escandalizam.
Marcos 4:18	E outros são os que recebem a semente entre espinhos, os quais ouvem a palavra,
Marcos 4:19	Mas os cuidados deste mundo, e a sedução das riquezas e as ambições de outras coisas, entrando, sufocam a palavra, e fica infrutífera.
Marcos 4:20	E os que recebem a semente em boa terra, são os que ouvem a palavra e a recebem, e dão fruto, um, trinta, outro, sessenta, outro, cem.
Marcos 4:21	E disse-lhes: Traz-se porventura a candeia para se colocar debaixo do alqueire, ou debaixo da cama? não se traz antes para se colocar no velador?
Marcos 4:22	Porque nada há encoberto que não haja de ser manifesto; e nada se faz para ficar oculto, mas para ser descoberto.
Marcos 4:23	Se alguém tem ouvidos para ouvir, ouça.
Marcos 4:24	E disse-lhes: Atentai ao que ides ouvir. Com a medida com que medirdes ser-vos-á medido, e ser-vos-á acrescentado.
Marcos 4:25	Porque ao que tem, ser-lhe-á dado; e ao que não tem, até o que tem lhe será tirado.
Marcos 4:26	E dizia: O reino de Deus é assim como se um homem lançasse semente à terra,
Marcos 4:27	E dormisse, e se levantasse de noite e de dia, e a semente brotasse e crescesse, não sabendo ele como.
Marcos 4:28	Porque a terra por si mesma frutifica, primeiro a erva, depois a espiga, e por último o grão cheio na espiga.
Marcos 4:29	E quando já o fruto se mostra, mete-se-lhe logo a foice, porque é chegada a ceifa.
Marcos 4:30	E dizia: A que assemelharemos o reino de Deus? ou com que parábola o compararemos?
Marcos 4:31	É como um grão de mostarda que, quando se semeia na terra, é a menor de todas as sementes que há na terra;
Marcos 4:32	Mas, tendo sido semeado, cresce; e faz-se a maior de todas as hortaliças, e cria grandes ramos, de tal maneira que as aves do céu podem aninhar-se debaixo da sua sombra.
Marcos 4:33	E com muitas parábolas como essas lhes anunciava a palavra, segundo o que podiam ouvir.
Marcos 4:34	E sem parábolas nunca lhes falava; porém tudo declarava em particular aos seus discípulos.
Marcos 4:35	E naquele dia, sendo já tarde, disse-lhes: Passemos para o outro lado.
Marcos 4:36	E eles, deixando a multidão, o levaram consigo, assim como estava, no barco; e havia também com ele outros barquinhos.
Marcos 4:37	E levantou-se uma grande tempestade de vento, e subiam as ondas por cima do barco, de maneira que já se enchia.
Marcos 4:38	E ele estava na popa dormindo sobre uma almofada, e despertaram-no, e disseram-lhe: Mestre, não te importa que pereçamos?
Marcos 4:39	E ele, despertando, repreendeu o vento, e disse ao mar: Cala-te, aquieta-te. E o vento se aquietou, e houve grande bonança.
Marcos 4:40	E disse-lhes: Por que sois tão tímidos? Por que não tendes fé?
Marcos 4:41	E sentiram um grande temor, e diziam uns aos outros: Mas quem é este, que até o vento e o mar lhe obedecem?
Marcos 5:1	E chegaram ao outro lado do mar, à província dos gadarenos.
Marcos 5:2	E saindo ele do barco, lhe saiu ao seu encontro logo, dos sepulcros, um homem com espírito imundo;
Marcos 5:3	O qual tinha a sua morada nos sepulcros, e nem ainda com cadeias o podia alguém prender;
Marcos 5:4	Porque, tendo sido muitas vezes preso com grilhões e cadeias, as cadeias foram por ele feitas em pedaços, e os grilhões, em migalhas, e ninguém o podia amansar.
Marcos 5:5	E andava sempre, de dia e de noite, clamando pelos montes, e pelos sepulcros, e ferindo-se com pedras.
Marcos 5:6	E quando viu Jesus ao longe, correu e adorou-o.
Marcos 5:7	E clamando com grande voz, disse: Que tenho eu contigo, Jesus, Filho do Deus Altíssimo? Conjuro-te por Deus que não me atormentes.
Marcos 5:8	(Porque lhe dizia: Sai deste homem, espírito imundo.)
Marcos 5:9	E perguntou-lhe: Qual é o teu nome? E lhe respondeu, dizendo: Legião é o meu nome, porque somos muitos.
Marcos 5:10	E rogava-lhe muito que não os enviasse para fora daquela província.
Marcos 5:11	E andava ali pastando no monte uma grande manada de porcos.
Marcos 5:12	E todos aqueles demônios lhe rogaram, dizendo: Manda-nos para aqueles porcos, para que entremos neles.
Marcos 5:13	E Jesus logo lho permitiu. E saindo aqueles espíritos imundos, entraram nos porcos; e a manada se precipitou por um despenhadeiro no mar (eram quase dois mil), e afogaram-se no mar.
Marcos 5:14	E os que apascentavam os porcos fugiram, e o anunciaram na cidade e nos campos; e saíram para ver o que era aquilo que tinha acontecido.
Marcos 5:15	E foram ter com Jesus, e viram o endemoniado, o que tivera a legião, assentado, vestido e em perfeito juízo, e temeram.
Marcos 5:16	E os que aquilo tinham visto contaram-lhes o que acontecera ao endemoniado; e acerca dos porcos.
Marcos 5:17	E começaram a rogar-lhe que saísse dos seus termos.
Marcos 5:18	E entrando ele no barco, rogava-lhe o que fora endemoninhado que o deixasse estar com ele.
Marcos 5:19	Jesus, porém, não lho permitiu, mas disse-lhe: Vai para tua casa, para os teus, e anuncia-lhes quão grandes coisas o Senhor te fez, e como teve misericórdia de ti.
Marcos 5:20	E foi, e começou a anunciar em Decápolis quão grandes coisas Jesus lhe fizera; e todos se maravilhavam.
Marcos 5:21	E passando Jesus outra vez num barco para o outro lado, ajuntou-se a ele uma grande multidão; e ele estava junto do mar.
Marcos 5:22	E eis que chegou um dos principais da sinagoga, por nome Jairo, e vendo-o, prostrou-se aos seus pés,
Marcos 5:23	E rogava-lhe muito, dizendo: Minha filha está morrendo; rogo-te que venhas e lhe imponhas as mãos para que sare, e viva.
Marcos 5:24	E foi com ele, e seguia-o uma grande multidão, que o apertava.
Marcos 5:25	E uma certa mulher, que por doze anos tinha um fluxo de sangue,
Marcos 5:26	E que havia padecido muito com muitos médicos, e despendido tudo quanto tinha, nada lhe aproveitando, antes indo a pior;
Marcos 5:27	Ouvindo falar de Jesus, veio por detrás, entre a multidão, e tocou a sua veste.
Marcos 5:28	Porque dizia: Se tão somente tocar as suas vestes, sararei.
Marcos 5:29	E logo se lhe secou a fonte do seu sangue; e sentiu no seu corpo estar já curada daquele mal.
Marcos 5:30	E logo Jesus, percebendo que saíra de si poder, voltando-se para a multidão, disse: Quem tocou as minhas vestes?
Marcos 5:31	E disseram-lhe os seus discípulos: Vês que a multidão te aperta, e dizes: Quem me tocou?
Marcos 5:32	E ele olhava em redor, para ver aquela que isso fizera.
Marcos 5:33	Então a mulher, que sabia o que lhe tinha acontecido, temendo e tremendo, aproximou-se, e prostrou-se diante dele, e disse-lhe toda a verdade.
Marcos 5:34	E ele lhe disse: Filha, a tua fé te salvou; vai em paz, e sê curada deste teu mal.
Marcos 5:35	Estando ele ainda falando, chegaram alguns do principal da sinagoga, dizendo: A tua filha está morta; para que enfadas mais o Mestre?
Marcos 5:36	E Jesus, tendo ouvido essa palavra que se dizia, disse ao principal da sinagoga: Não temas, crê somente.
Marcos 5:37	E não permitiu que ninguém o seguisse, senão Pedro, e Tiago, e João, irmão de Tiago.
Marcos 5:38	E tendo chegado à casa do principal da sinagoga, viu o alvoroço, e os que choravam muito e pranteavam.
Marcos 5:39	E entrando, disse-lhes: Por que vos alvoroçais e chorais? A menina não está morta, mas dorme.
Marcos 5:40	E riam-se dele; porém ele, tendo-os posto todos para fora, tomou consigo o pai e a mãe da menina, e os que com ele estavam, e entrou onde a menina estava deitada.
Marcos 5:41	E tomando a mão da menina, disse-lhe: Talita cumi; que traduzido é: Menina, a ti te digo, levanta-te.
Marcos 5:42	E logo a menina se levantou, e andava, pois já tinha doze anos; e assombraram-se com grande espanto.
Marcos 5:43	E ordenou-lhes expressamente que ninguém o soubesse; e disse que lhe dessem de comer.
Marcos 6:1	E partiu dali, e chegou à sua pátria, e os seus discípulos o seguiram.
Marcos 6:2	E chegando o sábado, começou a ensinar na sinagoga; e muitos, ouvindo-o, se admiravam, dizendo: De onde vêm a este estas coisas? e que sabedoria é esta que lhe foi dada? e tais maravilhas, que por suas mãos se fazem?
Marcos 6:3	Não é este o carpinteiro, filho de Maria, e irmão de Tiago, e de José, e de Judas e de Simão? e não estão aqui conosco suas irmãs? E escandalizavam-se nele.
Marcos 6:4	E Jesus lhes dizia: Não há profeta sem honra senão na sua pátria, entre os seus parentes, e na sua casa.
Marcos 6:5	E não podia fazer ali maravilha alguma; somente curou alguns poucos enfermos, impondo-lhes as mãos.
Marcos 6:6	E estava admirado da incredulidade deles. E percorreu as aldeias vizinhas, ensinando.
Marcos 6:7	Chamou a si os doze, e começou a enviá-los de dois em dois, e deu-lhes poder sobre os espíritos imundos;
Marcos 6:8	E ordenou-lhes que nada tomassem para o caminho, senão somente um bordão; nem alforje, nem pão, nem dinheiro no cinto;
Marcos 6:9	Mas que calçassem sandálias, e que não vestissem duas túnicas.
Marcos 6:10	E dizia-lhes: Quando entrardes nalguma casa, ficai nela até sairdes dali.
Marcos 6:11	E se nalgum lugar não vos receberem, nem vos ouvirem, saindo dali, sacudi o pó que estiver debaixo dos vossos pés, em testemunho contra eles. Em verdade vos digo que haverá mais tolerância no dia do juízo para Sodoma e Gomorra do que para os daquela cidade.
Marcos 6:12	E saindo eles, pregavam que se arrependessem.
Marcos 6:13	E expulsavam muitos demônios, e ungiam muitos enfermos com azeite, e os curavam.
Marcos 6:14	E ouviu isso o rei Herodes (porque o nome de Jesus se tornara notório), e disse: João, o que batizava, ressuscitou dos mortos, e por isso essas maravilhas operam nele.
Marcos 6:15	Outros diziam: É Elias. E diziam outros: É um profeta, ou como um dos profetas.
Marcos 6:16	Herodes, porém, ouvindo isso, disse: Este é João, que mandei decapitar; ressuscitou dos mortos.
Marcos 6:17	Porque o mesmo Herodes mandara prender João, e encerrá-lo manietado no cárcere, por causa de Herodias, mulher de Filipe, seu irmão, porquanto tinha casado com ela.
Marcos 6:18	Porque dizia João a Herodes: Não te é lícito possuir a mulher de teu irmão.
Marcos 6:19	E Herodias o detestava, e queria matá-lo, mas não podia,
Marcos 6:20	Porque Herodes temia João, sabendo que era homem justo e santo; e estimava-o, e fazia muitas coisas, escutando-o, e de bom grado o ouvia.
Marcos 6:21	E chegando um dia oportuno em que Herodes, no dia do seu aniversário dava uma ceia aos grandes, e tribunos, e príncipes da Galileia,
Marcos 6:22	E tendo entrado a filha da mesma Herodias, e dançando, e agradando a Herodes e aos que estavam com ele à mesa, o rei disse à moça: Pede-me o que quiseres, e eu to darei.
Marcos 6:23	E jurou-lhe, dizendo: Tudo o que me pedires te darei, até metade do meu reino.
Marcos 6:24	E saindo ela, disse à sua mãe: Que pedirei? E ela disse: A cabeça de João Batista.
Marcos 6:25	E entrando logo apressadamente, pediu ao rei, dizendo: Quero que imediatamente me dês num prato a cabeça de João Batista.
Marcos 6:26	E o rei entristeceu-se muito; todavia, por causa do juramento e dos que estavam com ele à mesa, não lha quis negar.
Marcos 6:27	E enviando logo o rei o executor, mandou que lhe trouxessem ali a cabeça de João. E ele foi, e decapitou-o na prisão;
Marcos 6:28	E trouxe a cabeça num prato, e deu-a à moça, e a moça a deu a sua mãe.
Marcos 6:29	E os seus discípulos, tendo ouvido isso, foram, tomaram o seu corpo, e o puseram num sepulcro.
Marcos 6:30	E os apóstolos reuniram-se com Jesus, e contaram-lhe tudo, tanto o que tinham feito como o que tinham ensinado.
Marcos 6:31	E ele disse-lhes: Vinde vós aqui à parte, a um lugar deserto, e repousai um pouco. Porque havia muitos que iam e vinham, e não tinham tempo para comer.
Marcos 6:32	E foram num barco para um lugar deserto, em particular.
Marcos 6:33	E a multidão viu-os partir, e muitos o reconheceram; e correram para lá a pé, de todas as cidades, e ali chegaram primeiro do que eles, e aproximavam-se dele.
Marcos 6:34	E Jesus, saindo, viu uma grande multidão, e teve compaixão deles, porque eram como ovelhas que não têm pastor; e começou a ensinar-lhes muitas coisas.
Marcos 6:35	E como o dia fosse já muito adiantado, os seus discípulos se aproximaram dele, e lhe disseram: O lugar é deserto, e o dia está já muito adiantado;
Marcos 6:36	Despede-os, para que vão aos lugares e aldeias circunvizinhas, e comprem pão para si; porque não têm o que comer.
Marcos 6:37	Ele, porém, respondendo, lhes disse: Dai-lhes vós de comer. E eles disseram-lhe: Iremos nós, e compraremos duzentos denários de pão para lhes darmos de comer?
Marcos 6:38	E ele disse-lhes: Quantos pães tendes? Ide ver. E sabendo-o eles, disseram: Cinco, e dois peixes.
Marcos 6:39	E ordenou-lhes que fizessem assentar a todos, em grupos, sobre a relva verde.
Marcos 6:40	E assentaram-se repartidos de cem em cem, e de cinquenta em cinquenta.
Marcos 6:41	E tomando ele os cinco pães e os dois peixes, levantou os olhos ao céu, abençoou e partiu os pães, e deu-os aos seus discípulos para que os pusessem diante deles. E repartiu os dois peixes por todos;
Marcos 6:42	E todos comeram, e se saciaram.
Marcos 6:43	E levantaram doze cestos cheios de pedaços de pão e de peixes.
Marcos 6:44	E os que comeram os pães eram quase cinco mil homens.
Marcos 6:45	E logo obrigou os seus discípulos a subir no barco, e ir adiante, para o outro lado, defronte de Betsaida, enquanto ele despedia a multidão.
Marcos 6:46	E tendo-os despedido, foi ao monte para orar.
Marcos 6:47	E chegando o entardecer, estava o barco no meio do mar, e ele sozinho, em terra.
Marcos 6:48	E viu que se fatigavam remando muito, porque o vento lhes era contrário; e perto da quarta vigília da noite aproximou-se deles, andando sobre o mar, e queria passar adiante deles.
Marcos 6:49	Mas, quando o viram andar sobre o mar, pensaram que era um fantasma, e deram grandes gritos.
Marcos 6:50	Porque todos o viam, e perturbaram-se; mas logo falou com eles, e disse-lhes: Tende bom ânimo; sou eu, não temais.
Marcos 6:51	E subiu no barco para estar com eles, e o vento se aquietou; e entre si ficaram muito assombrados e maravilhados;
Marcos 6:52	Pois ainda não tinham compreendido o milagre dos pães; porque o seu coração estava endurecido.
Marcos 6:53	E quando já estavam no outro lado, dirigiram-se à terra de Genezaré, e ali aportaram.
Marcos 6:54	E saindo eles do barco, logo o reconheceram;
Marcos 6:55	E percorrendo toda a terra em redor, começaram a trazer-lhe em leitos, aonde quer que sabiam que estava, os que se achavam enfermos.
Marcos 6:56	E aonde quer que entrava, em cidades, ou aldeias, ou campos, apresentavam os enfermos nas praças, e rogavam-lhe que ao menos os deixasse tocar a orla da sua veste; e todos os que lhe tocavam saravam.
Marcos 7:1	E reuniram-se com ele os fariseus, e alguns dos escribas que tinham vindo de Jerusalém,
Marcos 7:2	E vendo que alguns dos seus discípulos comiam pão com as mãos impuras, isto é, sem lavá-las, os repreendiam.
Marcos 7:3	Porque os fariseus, e todos os judeus, conservando a tradição dos antigos, não comem sem lavar as mãos muitas vezes;
Marcos 7:4	E quando voltam do mercado, se não se lavarem, não comem. E muitas outras coisas há que se encarregaram de observar, como lavar os copos, e os jarros, e os vasos de metal e as camas.
Marcos 7:5	Depois perguntaram-lhe os fariseus e os escribas: Por que não andam os teus discípulos conforme a tradição dos antigos, mas comem o pão com as mãos por lavar?
Marcos 7:6	E ele, respondendo, disse-lhes: Bem profetizou Isaías acerca de vós, hipócritas, como está escrito: Este povo honra-me com os lábios, mas o seu coração está longe de mim;
Marcos 7:7	Em vão, porém, me honram, ensinando doutrinas que são mandamentos de homens.
Marcos 7:8	Porque, deixando o mandamento de Deus, retendes a tradição dos homens; como o lavar dos jarros e dos copos; e fazeis muitas outras coisas semelhantes a estas.
Marcos 7:9	E dizia-lhes: Bem invalidais o mandamento de Deus para guardardes a vossa tradição.
Marcos 7:10	Porque Moisés disse: Honra teu pai e tua mãe; e quem maldisser, ou o pai ou a mãe, certamente morrerá.
Marcos 7:11	Porém vós dizeis: Se um homem disser ao pai ou à mãe: Aquilo que poderias aproveitar de mim é Corbã, isto é, oferta ao Senhor;
Marcos 7:12	E nada mais lhe deixais fazer por seu pai ou por sua mãe,
Marcos 7:13	Invalidando assim a palavra de Deus pela vossa tradição, que vós transmitistes. E muitas coisas fazeis semelhantes a estas.
Marcos 7:14	E chamando a si toda a multidão, disse-lhes: Ouvi-me vós todos, e compreendei.
Marcos 7:15	Nada há, fora do homem, que, entrando nele, o possa contaminar; mas o que sai dele, isso é que contamina o homem.
Marcos 7:16	Se alguém tem ouvidos para ouvir, ouça.
Marcos 7:17	Depois, quando deixou a multidão, e entrou em casa, os seus discípulos o interrogavam acerca dessa parábola.
Marcos 7:18	E ele disse-lhes: Assim também vós estais sem entendimento? Não compreendeis que tudo o que de fora entra no homem não o pode contaminar;
Marcos 7:19	Porque não entra no seu coração, mas no ventre, e vai depois para a latrina, purificando todos os alimentos?
Marcos 7:20	E dizia: O que sai do homem, isso contamina o homem.
Marcos 7:21	Porque do interior do coração dos homens saem os maus pensamentos, os adultérios, as fornicações, os homicídios,
Marcos 7:22	Os furtos, a avareza, as maldades, o engano, a dissolução, a inveja, a blasfêmia, a soberba, a loucura.
Marcos 7:23	Todos esses males procedem de dentro e contaminam o homem.
Marcos 7:24	E levantando-se dali, foi para os termos de Tiro e de Sidom. E entrando numa casa, não queria que ninguém o soubesse, mas não pôde esconder-se,
Marcos 7:25	Porque uma mulher, cuja filha tinha um espírito imundo, ouvindo falar dele, foi, e lançou-se aos seus pés;
Marcos 7:26	E essa mulher era grega, de origem sirofenícia, e rogava-lhe que expulsasse de sua filha o demônio.
Marcos 7:27	Mas Jesus disse-lhe: Deixa primeiro saciar os filhos; porque não convém tomar o pão dos filhos e lançá-lo aos cachorrinhos.
Marcos 7:28	Ela, porém, respondeu, e disse-lhe: Sim, Senhor; mas também os cachorrinhos comem, debaixo da mesa, as migalhas dos filhos.
Marcos 7:29	Então ele disse-lhe: Por essa palavra, vai; o demônio já saiu de tua filha.
Marcos 7:30	E indo ela para sua casa, achou a filha deitada sobre a cama, e o demônio já tinha saído.
Marcos 7:31	E ele, tornando a sair dos termos de Tiro e de Sidom, foi para o mar da Galileia, pelos confins de Decápolis.
Marcos 7:32	E trouxeram-lhe um surdo, que falava com dificuldade; e rogaram-lhe que pusesse a mão sobre ele.
Marcos 7:33	E tirando-o à parte, de entre a multidão, pôs-lhe os dedos nos ouvidos; e cuspindo, tocou-lhe a língua.
Marcos 7:34	E levantando os olhos ao céu, suspirou, e disse: Efatá; isto é, Abre-te.
Marcos 7:35	E logo se abriram os seus ouvidos, e a língua se lhe desprendeu, e falava perfeitamente.
Marcos 7:36	E ordenou-lhes que a ninguém o dissessem; mas, quanto mais lhos proibia, tanto mais o divulgavam.
Marcos 7:37	E admirando-se sobremaneira, diziam: Tudo ele faz bem; faz ouvir os surdos e falar os mudos.
Marcos 8:1	Naqueles dias, havendo outra vez uma grande multidão, e não tendo o que comer, Jesus chamou a si os seus discípulos, e disse-lhes:
Marcos 8:2	Tenho compaixão da multidão, porque já há três dias que estão comigo, e não têm o que comer.
Marcos 8:3	E se os deixar ir em jejum para suas casas, desfalecerão no caminho, porque alguns deles vieram de longe.
Marcos 8:4	E os seus discípulos responderam-lhe: De onde poderá alguém saciar estes de pão aqui no deserto?
Marcos 8:5	E perguntou-lhes: Quantos pães tendes? E disseram-lhe: Sete.
