Gênesis 1:1	No princípio, Deus criou os céus e a terra.
Gênesis 26:32	E aconteceu, naquele mesmo dia, que vieram os servos de Isaque, e anunciaram-lhe acerca do assunto do poço que tinham cavado; e disseram-lhe: Achamos água.
Gênesis 26:33	E chamou-o Seba; por isso é o nome daquela cidade Berseba até o dia de hoje.
Gênesis 26:34	Ora, sendo Esaú da idade de quarenta anos, tomou por mulher Judite, filha de Beeri, o heteu, e Basemate, filha de Elom, o heteu.
Gênesis 26:35	E elas foram para Isaque e para Rebeca uma amargura de espírito.
Gênesis 27:1	E aconteceu que, como Isaque envelheceu, e os seus olhos se escureceram, de maneira que não podia ver, chamou Esaú, seu filho mais velho, e disse-lhe: Meu filho. E ele lhe disse: Eis-me aqui.
Gênesis 27:2	E ele disse: Eis que já agora estou velho, e não sei o dia da minha morte;
Gênesis 27:3	Agora, pois, toma as tuas armas, a tua aljava e o teu arco, e sai ao campo, e apanha para mim alguma caça,
Gênesis 27:4	E faze-me um guisado saboroso, como eu gosto, e traze-mo, para que eu coma; para que minha alma te abençoe, antes que eu morra.
Gênesis 27:5	E Rebeca escutou quando Isaque falava a seu filho Esaú; e foi Esaú ao campo, para apanhar a caça que havia de trazer.
Gênesis 27:6	Então falou Rebeca a seu filho Jacó, dizendo: Eis que ouvi o teu pai, que falava com Esaú, teu irmão, dizendo:
Gênesis 27:7	Traze-me caça, e faze-me um guisado saboroso, para que eu coma, e te abençoe diante da face do Senhor, antes da minha morte.
Gênesis 27:8	Agora, pois, filho meu, ouve a minha voz naquilo que eu te mando:
Gênesis 27:9	Vai agora ao rebanho, e traze-me de lá dois bons cabritos das cabras, e eu farei deles um guisado saboroso para teu pai, como ele gosta,
Gênesis 27:10	E levá-lo-ás a teu pai, para que o coma, para que te abençoe antes da sua morte.
Gênesis 27:11	Então disse Jacó a Rebeca, sua mãe: Eis que meu irmão Esaú é peludo, e eu homem liso;
Gênesis 27:12	Talvez me apalpe o meu pai, e serei aos seus olhos enganador; assim, trarei eu sobre mim maldição, e não bênção.
Gênesis 27:13	E disse-lhe sua mãe: Meu filho, sobre mim seja a tua maldição; somente obedece à minha voz, e vai, traze-mos.
Gênesis 27:14	E foi, e tomou-os, e levou-os à sua mãe; e sua mãe fez um guisado saboroso, como seu pai gostava.
Gênesis 27:15	Depois tomou Rebeca as melhores vestes de Esaú, seu filho mais velho, que tinha consigo em casa, e vestiu Jacó, seu filho menor;
Gênesis 27:16	E com as peles dos cabritos das cabras cobriu as suas mãos e a lisura do seu pescoço;
Gênesis 27:17	E deu o guisado saboroso e o pão que tinha preparado na mão de seu filho Jacó.
Gênesis 27:18	E foi ele a seu pai, e disse: Meu pai! E ele disse: Eis-me aqui; quem és tu, meu filho?
Gênesis 27:19	E Jacó disse a seu pai: Eu sou Esaú, teu primogênito; fiz como me disseste; levanta-te agora, assenta-te, e come da minha caça, para que a tua alma me abençoe.
Gênesis 27:20	Então disse Isaque a seu filho: Como é isso, que tão cedo a achaste, filho meu? E ele disse: Porque o Senhor teu Deus a mandou ao meu encontro.
Gênesis 27:21	E disse Isaque a Jacó: Chega-te agora, para que te apalpe, meu filho, se és meu filho Esaú mesmo, ou não.
Gênesis 27:22	Então se chegou Jacó a seu pai Isaque, que o apalpou, e disse: A voz é a voz de Jacó, porém as mãos são as mãos de Esaú.
Gênesis 27:23	E não o reconheceu, porquanto as suas mãos estavam peludas, como as mãos de seu irmão Esaú; e abençoou-o.
Gênesis 27:24	E disse: És tu meu filho Esaú mesmo? E ele disse: Eu sou.
Gênesis 27:25	Então disse: Traze isso para perto de mim, para que coma da caça de meu filho; para que a minha alma te abençoe. E levou-lho, e ele comeu; levou-lhe também vinho, e ele bebeu.
Gênesis 27:26	E disse-lhe seu pai Isaque: Ora, chega-te, e beija-me, filho meu.
Gênesis 27:27	E chegou-se, e beijou-o; então cheirou o cheiro de suas vestes, e abençoou-o, e disse: Eis que o cheiro do meu filho é como o cheiro de um campo que o Senhor abençoou;
Gênesis 27:28	Assim, pois, Deus te dê do orvalho dos céus, e das gorduras da terra, e abundância de trigo e de mosto;
Gênesis 27:29	Sirvam-te povos, e nações se curvem a ti; sê senhor de teus irmãos, e os filhos da tua mãe se curvem a ti; malditos sejam os que te amaldiçoarem, e benditos sejam os que te abençoarem.
Gênesis 27:30	E aconteceu que, acabando Isaque de abençoar Jacó, apenas Jacó acabava de sair de diante da face de seu pai Isaque, chegou seu irmão Esaú da sua caça.
Gênesis 27:31	E fez também ele um guisado saboroso, e levou-o a seu pai; e disse a seu pai: Levanta-te, meu pai, e come da caça de teu filho, para que me abençoe a tua alma.
Gênesis 27:32	E disse-lhe seu pai Isaque: Quem és tu? E ele disse: Eu sou teu filho, o teu primogênito, Esaú.
Gênesis 27:33	Então estremeceu Isaque de um estremecimento muito grande, e disse: Quem, pois, é aquele que apanhou a caça, e ma trouxe? E comi de tudo, antes que tu viesses, e abençoei-o; sim, ele será bendito.
Gênesis 27:34	Esaú, ouvindo as palavras de seu pai, bradou com grande e muito amargo brado, e disse a seu pai: Abençoa-me também a mim, meu pai.
Gênesis 27:35	E ele disse: Veio o teu irmão com sutileza, e tomou a tua bênção.
Gênesis 27:36	Então disse ele: Não foi com razão o seu nome chamado Jacó, tanto que já duas vezes me suplantou? A minha primogenitura me tomou, e eis que agora me tomou a minha bênção. E disse ele: Não reservaste, pois, para mim bênção alguma?
Gênesis 27:37	Então respondeu Isaque, e disse a Esaú: Eis que o pus por senhor sobre ti, e todos os seus irmãos lhe dei por servos; e de trigo e de mosto o fortaleci; que te farei, pois, agora a ti, meu filho?
Gênesis 27:38	E disse Esaú a seu pai: Tens uma só bênção, meu pai? Abençoa-me também a mim, meu pai. E levantou Esaú a sua voz, e chorou.
Gênesis 27:39	Então respondeu seu pai Isaque, e disse-lhe: Eis que a tua habitação será nas gorduras da terra, e no orvalho do alto dos céus;
Gênesis 27:40	E pela tua espada viverás, e ao teu irmão servirás. Acontecerá, porém, que, quando te assenhoreares, então sacudirás o seu jugo do teu pescoço.
Gênesis 27:41	E Esaú odiou Jacó por causa daquela bênção, com que seu pai o tinha abençoado; e Esaú disse no seu coração: Chegar-se-ão os dias de luto de meu pai; e matarei meu irmão Jacó.
Gênesis 27:42	E foram relatadas a Rebeca essas palavras de Esaú, seu filho mais velho; e ela mandou chamar Jacó, seu filho menor, e disse-lhe: Eis que teu irmão Esaú se consola a teu respeito, propondo-se matar-te.
Gênesis 27:43	Agora, pois, meu filho, ouve a minha voz, e levanta-te; foge para junto de meu irmão Labão, em Harã,
Gênesis 27:44	E mora com ele alguns dias, até que passe o furor de teu irmão;
Gênesis 27:45	Até que se desvie de ti a ira de teu irmão, e se esqueça do que lhe fizeste; então mandarei trazer-te de lá; por que seria eu desfilhada também de vós ambos num mesmo dia?
Gênesis 27:46	E disse Rebeca a Isaque: Enfadada estou da minha vida, por causa das filhas de Hete; se Jacó tomar mulher das filhas de Hete, como estas são, das filhas desta terra, para que me servirá a vida?
Gênesis 28:1	E Isaque chamou Jacó, e abençoou-o, e ordenou-lhe, e disse-lhe: Não tomes mulher dentre as filhas de Canaã.
Gênesis 28:2	Levanta-te, vai a Padã-Arã, à casa de Betuel, pai de tua mãe, e toma de lá uma mulher das filhas de Labão, irmão de tua mãe;
Gênesis 28:3	E Deus Todo-Poderoso te abençoe, e te faça frutificar, e te multiplique, para que sejas uma multidão de povos;
Gênesis 28:4	E te dê a bênção de Abraão, a ti e à tua semente contigo, para que em herança possuas a terra de tuas peregrinações, que Deus deu a Abraão.
Gênesis 28:5	Assim, Isaque despediu Jacó, o qual foi a Padã-Arã, a Labão, filho de Betuel, o arameu, irmão de Rebeca, mãe de Jacó e de Esaú.
Gênesis 28:6	Vendo, pois, Esaú que Isaque abençoara Jacó, e o enviara a Padã-Arã, para tomar dali mulher para si, e que, abençoando-o, lhe ordenara, dizendo: Não tomes mulher das filhas de Canaã;
Gênesis 28:7	E que Jacó obedecera a seu pai e à sua mãe, e fora a Padã-Arã;
Gênesis 28:8	Vendo também Esaú que as filhas de Canaã eram más aos olhos de seu pai Isaque,
Gênesis 28:9	Foi Esaú a Ismael, e tomou para si por mulher, além das suas mulheres, Maalate, filha de Ismael, filho de Abraão, irmã de Nebaiote.
Gênesis 28:10	Partiu, pois, Jacó de Berseba, e foi para Harã;
Gênesis 28:11	E chegou a um lugar onde passou a noite, porque o sol já se havia posto; e tomou uma das pedras daquele lugar, e a pôs por sua cabeceira, e deitou-se naquele lugar,
Gênesis 28:12	E sonhou, e eis que uma escada estava posta na terra, cujo topo tocava nos céus; e eis que os anjos de Deus subiam e desciam por ela;
Gênesis 28:13	E eis que o Senhor estava em cima dela, e disse: Eu sou o Senhor Deus de Abraão, teu pai, e o Deus de Isaque; esta terra, em que estás deitado, darei a ti e à tua semente;
Gênesis 28:14	E a tua semente será como o pó da terra, e estender-se-á ao ocidente, e ao oriente, e ao norte, e ao sul, e em ti e na tua semente serão todas as famílias da terra abençoadas.
Gênesis 28:15	E eis que estou contigo, e te guardarei por onde quer que fores, e te farei retornar a esta terra; porque não te deixarei, até que te haja feito o que te disse.
Gênesis 28:16	Tendo acordado, pois, Jacó do seu sono, disse: Certamente o Senhor está neste lugar; e eu não o sabia.
Gênesis 28:17	E temeu, e disse: Quão terrivel é este lugar! Este não é outro lugar senão a casa de Deus; e esta é a porta dos céus.
Gênesis 28:18	Então, levantou-se Jacó pela manhã, de madrugada, e tomou a pedra que tinha posto por sua cabeceira, e a pôs por coluna, e derramou azeite em cima dela.
Gênesis 28:19	E chamou o nome daquele lugar Betel; o nome, porém, daquela cidade dantes era Luz.
Gênesis 28:20	E Jacó fez um voto, dizendo: Se Deus for comigo, e me guardar nesta viagem que faço, e me der pão para comer, e roupas para vestir,
Gênesis 28:21	E eu em paz retornar à casa de meu pai, o Senhor me será por Deus;
Gênesis 28:22	E esta pedra, que pus por coluna, será casa de Deus; e de tudo quanto me deres certamente te darei o dízimo.
Gênesis 29:1	Então, pôs-se Jacó a caminho, e foi à terra dos filhos do oriente;
Gênesis 29:2	E olhou, e eis um poço no campo, e eis três rebanhos de ovelhas que estavam deitados junto a ele; porque daquele poço davam de beber aos rebanhos, e havia uma grande pedra sobre a boca do poço.
Gênesis 29:3	E ajuntavam ali todos os rebanhos, e removiam a pedra de sobre a boca do poço, e davam de beber às ovelhas; e tornavam a pôr a pedra sobre a boca do poço, no seu lugar.
Gênesis 29:4	E disse-lhes Jacó: Meus irmãos, de onde sois? E disseram: Somos de Harã.
Gênesis 29:5	E ele lhes disse: Conheceis Labão, filho de Naor? E disseram: Conhecemos.
Gênesis 29:6	Disse-lhes mais: Está ele bem? E disseram: Está bem, e eis aqui sua filha Raquel, que vem com as ovelhas.
Gênesis 29:7	E ele disse: Eis que ainda é pleno dia, não é hora de ajuntar o gado; dai de beber às ovelhas, e ide, apascentai-as.
Gênesis 29:8	E disseram: Não podemos, até que todos os rebanhos se ajuntem, e removam a pedra de sobre a boca do poço, para que demos de beber às ovelhas.
Gênesis 29:9	Enquanto ele ainda falava com eles, chegou Raquel com as ovelhas de seu pai, porque ela era pastora.
Gênesis 29:10	E aconteceu que, quando Jacó viu Raquel, filha de Labão, irmão de sua mãe, e as ovelhas de Labão, irmão de sua mãe, chegou Jacó, e revolveu a pedra de sobre a boca do poço, e deu de beber às ovelhas de Labão, irmão de sua mãe.
Gênesis 29:11	E Jacó beijou Raquel, e levantou a sua voz, e chorou.
Gênesis 29:12	E Jacó anunciou a Raquel que era irmão de seu pai, e que era filho de Rebeca; então ela correu, e o anunciou a seu pai.
Gênesis 29:13	E aconteceu que, ouvindo Labão as novas de Jacó, filho de sua irmã, correu-lhe ao encontro, e abraçou-o, e beijou-o, e levou-o à sua casa; e ele contou a Labão todas essas coisas.
Gênesis 29:14	Então Labão disse-lhe: Verdadeiramente és tu o meu osso e a minha carne. E ficou com ele um mês inteiro.
Gênesis 29:15	Depois disse Labão a Jacó: Porque tu és meu irmão, hás de servir-me de graça? Declara-me qual será o teu salário.
Gênesis 29:16	E Labão tinha duas filhas; o nome da mais velha era Lia, e o nome da mais nova, Raquel.
Gênesis 29:17	Lia tinha olhos tenros, mas Raquel era de formoso semblante e formosa à vista.
Gênesis 29:18	E Jacó amava Raquel, e disse: Sete anos te servirei por Raquel, tua filha mais nova.
Gênesis 29:19	Então disse Labão: Melhor é que eu a dê a ti, do que eu a dê a outro homem; fica comigo.
Gênesis 29:20	Assim, serviu Jacó sete anos por Raquel; e foram aos seus olhos como poucos dias, pelo muito que a amava.
Gênesis 29:21	E disse Jacó a Labão: Dá-me minha mulher, porque os meus dias se cumpriram, para que eu me achegue a ela.
Gênesis 29:22	Então ajuntou Labão todos os homens daquele lugar, e fez um banquete.
Gênesis 29:23	E aconteceu, ao entardecer, que tomou sua filha Lia, e trouxe-lha; e ele achegou-se a ela.
Gênesis 29:24	E Labão deu sua serva Zilpa a Lia, sua filha, por serva.
Gênesis 29:25	E aconteceu que, pela manhã, viu que era Lia; pelo que disse a Labão: Por que me fizeste isso? Não te servi por Raquel? Por que, pois, me enganaste?
Gênesis 29:26	E disse Labão: Não se faz assim no nosso lugar, que a mais nova se dê antes da primogênita.
Gênesis 29:27	Cumpre a semana desta; então te daremos também a outra, pelo serviço que ainda outros sete anos servires comigo.
Gênesis 29:28	E Jacó fez assim, e cumpriu a semana desta; então ele lhe deu por mulher Raquel, sua filha.
Gênesis 29:29	E Labão deu sua serva Bila por serva a Raquel, sua filha.
Gênesis 29:30	E uniu-se também a Raquel, e amou também Raquel mais do que Lia; e serviu com ele ainda outros sete anos.
Gênesis 29:31	Vendo, pois, o Senhor que Lia era desprezada, abriu a sua madre; porém Raquel era estéril.
Gênesis 29:32	E concebeu Lia, e deu à luz um filho, e chamou o seu nome Rúben, porque disse: Porque o Senhor viu a minha aflição, por isso agora me amará o meu marido.
Gênesis 29:33	E concebeu outra vez, e deu à luz um filho, dizendo: Porquanto o Senhor ouviu que eu era desprezada, me deu também este; e chamou o seu nome Simeão.
Gênesis 29:34	E concebeu outra vez, e deu à luz um filho, dizendo: Agora esta vez se ajuntará meu marido a mim, porque três filhos lhe dei; por isso chamou o seu nome Levi.
Gênesis 29:35	E concebeu outra vez, e deu à luz um filho, dizendo: Esta vez louvarei ao Senhor. Por isso chamou o seu nome Judá; e cessou de dar à luz.
Gênesis 30:1	Vendo, pois, Raquel que não dava filhos a Jacó, Raquel teve inveja de sua irmã, e disse a Jacó: Dá-me filhos, senão morro.
Gênesis 30:2	Então se acendeu a ira de Jacó contra Raquel, e disse: Estou eu no lugar de Deus, que te impediu o fruto de teu ventre?
Gênesis 30:3	E ela disse: Eis aqui minha serva Bila; achega-te a ela, para que dê à luz sobre os meus joelhos, e eu também seja edificada por ela.
Gênesis 30:4	Assim, lhe deu sua serva Bila por mulher; e Jacó achegou-se a ela.
Gênesis 30:5	E concebeu Bila, e deu a Jacó um filho.
Gênesis 30:6	Então disse Raquel: Julgou-me Deus, e também ouviu a minha voz, e me deu um filho; por isso chamou o seu nome Dã.
Gênesis 30:7	E Bila, serva de Raquel, concebeu outra vez, e deu a Jacó um segundo filho.
Gênesis 30:8	Então disse Raquel: Com lutas de Deus lutei com minha irmã, e venci; e chamou o seu nome Naftali.
Gênesis 30:9	Vendo, pois, Lia que cessava de dar à luz, tomou também sua serva Zilpa, e deu-a a Jacó por mulher.
Gênesis 30:10	E deu Zilpa, serva de Lia, um filho a Jacó.
Gênesis 30:11	Então disse Lia: Vem uma turba; e chamou o seu nome Gade.
Gênesis 30:12	Depois deu Zilpa, serva de Lia, um segundo filho a Jacó.
Gênesis 30:13	Então disse Lia: Para minha ventura; porque as filhas me terão por bem-aventurada; e chamou o seu nome Aser.
Gênesis 30:14	E foi Rúben nos dias da ceifa do trigo, e achou mandrágoras no campo. E trouxe-as a Lia, sua mãe. Então disse Raquel a Lia: Ora, dá-me das mandrágoras do teu filho.
Gênesis 30:15	E ela lhe disse: É já pouco que hajas tomado o meu marido, tomarás também as mandrágoras do meu filho? Então disse Raquel: Por isso ele se deitará contigo esta noite pelas mandrágoras de teu filho.
Gênesis 30:16	Vindo, pois, Jacó do campo, à tarde, saiu-lhe Lia ao encontro, e disse: Achegar-te-ás a mim, porque certamente te aluguei com as mandrágoras do meu filho. E deitou-se com ela aquela noite.
Gênesis 30:17	E Deus ouviu Lia, e ela concebeu, e deu à luz um quinto filho.
Gênesis 30:18	Então disse Lia: Deus me deu a minha recompensa, pois dei minha serva ao meu marido; e chamou o seu nome Issacar.
Gênesis 30:19	E Lia concebeu outra vez, e deu a Jacó um sexto filho.
Gênesis 30:20	E disse Lia: Deus me deu uma boa dádiva; desta vez morará comigo o meu marido, porque lhe dei seis filhos; e chamou o seu nome Zebulom.
Gênesis 30:21	E depois deu à luz uma filha, e chamou o seu nome Diná.
Gênesis 30:22	E lembrou-se Deus de Raquel, e Deus a ouviu, e abriu a sua madre,
Gênesis 30:23	E ela concebeu, e deu à luz um filho, e disse: Tirou-me Deus a minha vergonha.
Gênesis 30:24	E chamou o seu nome José, dizendo: O Senhor me acrescente outro filho.
Gênesis 30:25	E aconteceu que, quando Raquel deu à luz José, disse Jacó a Labão: Deixa-me ir, para que eu vá ao meu lugar, e à minha terra.
Gênesis 30:26	Dá-me as minhas mulheres, pelas quais te servi, e os meus filhos, e ir-me-ei; pois tu sabes o meu serviço, que te fiz.
Gênesis 30:27	Então lhe disse Labão: Se agora achei graça aos teus olhos, fica comigo. Tenho visto sinais de que o Senhor me abençoou por causa de ti.
Gênesis 30:28	E disse mais: Determina-me o teu salário, e eu to darei.
Gênesis 30:29	Então lhe disse: Tu sabes como te tenho servido, e como passou o teu gado comigo.
Gênesis 30:30	Porque o pouco que tinhas antes de mim aumentou em grande número; e o Senhor te abençoou por meu trabalho. Agora, pois, quando hei de trabalhar também por minha casa?
Gênesis 30:31	E disse ele: Que te darei? Então disse Jacó: Nada me darás; se me fizeres isso, tornarei a apascentar e a guardar o teu rebanho.
Gênesis 30:32	Passarei hoje por todo o teu rebanho, separando dele todos os salpicados e malhados, e todos os escuros entre os cordeiros, e os malhados e salpicados entre as cabras; e isso será o meu salário.
Gênesis 30:33	Assim testificará por mim a minha justiça no dia de amanhã, quando vieres e o meu salário estiver diante de tua face; tudo o que não for salpicado e malhado entre as cabras e escuro entre os cordeiros, ser-me-á por furto.
Gênesis 30:34	Então disse Labão: Sim, que seja conforme a tua palavra.
Gênesis 30:35	E separou naquele mesmo dia os bodes listrados e malhados e todas as cabras salpicadas e malhadas, todos em que havia brancura, e todo o escuro entre os cordeiros; e deu-os nas mãos dos seus filhos.
Gênesis 30:36	E pôs três dias de jornada entre si e Jacó; e Jacó apascentava o restante dos rebanhos de Labão.
Gênesis 30:37	Então tomou Jacó varas verdes de álamo, e de aveleira e de castanheiro, e descascou nelas riscas brancas, descobrindo a brancura que nas varas havia,
Gênesis 30:38	E pôs essas varas que tinha descascado em frente do rebanho, nos bebedouros e nos cochos de água, aonde o rebanho vinha beber, e concebiam quando vinham beber.
Gênesis 30:39	E concebia o rebanho diante das varas, e as ovelhas pariam listrados, salpicados e malhados.
Gênesis 30:40	Então separou Jacó os cordeiros, e pôs as faces do rebanho para os listrados, e todo o escuro entre o rebanho de Labão; e pôs o seu rebanho à parte, e não o pôs com o rebanho de Labão.
Gênesis 30:41	E sucedia que cada vez que concebiam as ovelhas fortes, punha Jacó as varas diante dos olhos do rebanho nos bebedouros, para que concebessem diante das varas.
Gênesis 30:42	Mas quando o rebanho era fraco, não as punha. Assim, as fracas eram de Labão, e as fortes de Jacó.
Gênesis 30:43	E prosperou o homem sobremaneira, e teve muitos rebanhos, e servas, e servos, e camelos, e jumentos.
Gênesis 31:1	Então ouvia as palavras dos filhos de Labão, que diziam: Jacó tomou tudo o que era de nosso pai, e do que era de nosso pai obteve ele toda essa glória.
Gênesis 31:2	Viu também Jacó o rosto de Labão, e eis que não era para com ele como anteriormente.
Gênesis 31:3	E disse o Senhor a Jacó: Retorna à terra dos teus pais, e à tua parentela, e eu serei contigo.
Gênesis 31:4	Então Jacó mandou chamar Raquel e Lia ao campo, ao seu rebanho,
Gênesis 31:5	E disse-lhes: Vejo que o rosto de vosso pai para comigo não é como anteriormente; porém o Deus de meu pai tem estado comigo;
Gênesis 31:6	E vós mesmas sabeis que com todas as minhas forças tenho servido vosso pai;
Gênesis 31:7	Mas vosso pai me enganou e mudou o salário dez vezes; porém Deus não lhe permitiu que me fizesse mal.
Gênesis 31:8	Quando ele dizia assim: Os salpicados serão o teu salário, então todos os rebanhos pariam salpicados. E quando ele dizia assim: Os listrados serão o teu salário, então todos os rebanhos pariam listrados.
Gênesis 31:9	Assim, Deus tirou o gado de vosso pai, e deu-o a mim.
Gênesis 31:10	E sucedeu que, ao tempo em que o rebanho concebia, eu levantei os meus olhos, e vi em sonhos, e eis que os machos, que cobriam as ovelhas, eram listrados, salpicados e malhados.
Gênesis 31:11	E disse-me o anjo de Deus em sonhos: Jacó. E eu disse: Eis-me aqui.
Gênesis 31:12	E disse ele: Levanta agora os teus olhos, e vê que todos os machos que cobrem o rebanho são listrados, salpicados e malhados; porque vi tudo o que Labão te fez.
Gênesis 31:13	Eu sou o Deus de Betel, onde ungiste uma coluna, onde me fizeste um voto; levanta-te agora, sai desta terra, e retorna à terra da tua parentela.
Gênesis 31:14	Então responderam Raquel e Lia, e disseram-lhe: Há ainda para nós parte ou herança na casa de nosso pai?
Gênesis 31:15	Não nos considera ele como estranhas? Pois vendeu-nos, e consumiu todo o nosso dinheiro.
Gênesis 31:16	Porque toda a riqueza que Deus tirou de nosso pai é nossa e de nossos filhos; agora, pois, faze tudo o que Deus te disse.
Gênesis 31:17	Então se levantou Jacó, pondo os seus filhos e as suas mulheres sobre os camelos;
Gênesis 31:18	E levou todo o seu gado, e todos os seus bens, que havia adquirido, o gado que possuía, que obtivera em Padã-Arã, para ir a seu pai Isaque, à terra de Canaã.
Gênesis 31:19	E havendo Labão ido tosquiar as suas ovelhas, furtou Raquel os ídolos que seu pai tinha.
Gênesis 31:20	E esquivou-se Jacó de Labão, o arameu, porque não lhe fez saber que fugia.
Gênesis 31:21	E fugiu ele com tudo o que tinha, e levantou-se, e passou o rio; e dirigiu-se à montanha de Gileade.
Gênesis 31:22	E no terceiro dia foi anunciado a Labão que Jacó tinha fugido.
Gênesis 31:23	Então tomou consigo os seus irmãos, e perseguiu-o no caminho por sete dias; e alcançou-o na montanha de Gileade.
Gênesis 31:24	Veio, porém, Deus a Labão, o arameu, num sonho à noite, e disse-lhe: Guarda-te que não fales a Jacó nem bem nem mal.
Gênesis 31:25	Labão, pois, alcançou Jacó; e armara Jacó a sua tenda na montanha; e armou também Labão com os seus irmãos a sua, na montanha de Gileade.
Gênesis 31:26	Então disse Labão a Jacó: Que fizeste, que te esquivaste de mim, e levaste as minhas filhas como cativas pela espada?
Gênesis 31:27	Por que fugiste ocultamente, e te esquivaste de mim, e não me fizeste saber, para que eu te despedisse com alegria, e com cânticos, e com tamboril, e com harpa?
Gênesis 31:28	Também não me permitiste beijar os meus filhos e as minhas filhas. Loucamente, pois, agora agiste, fazendo assim.
Gênesis 31:29	Poder havia em minha mão para vos fazer mal, mas o Deus de vosso pai me falou ontem à noite, dizendo: Guarda-te que não fales a Jacó nem bem nem mal.
Gênesis 31:30	E agora se querias ir embora, porquanto tinhas saudades de voltar à casa de teu pai, por que furtaste os meus deuses?
Gênesis 31:31	Então respondeu Jacó, e disse a Labão: Porque temia; pois que dizia comigo, se porventura não me arrebatarias as tuas filhas.
Gênesis 31:32	Com quem achares os teus deuses, esse não viva; identifica diante de nossos irmãos o que é teu do que está comigo, e toma-o para ti. Pois Jacó não sabia que Raquel os tinha furtado.
Gênesis 31:33	Então entrou Labão na tenda de Jacó, e na tenda de Lia, e na tenda de ambas as servas, e não os achou; e saindo da tenda de Lia, entrou na tenda de Raquel.
Gênesis 31:34	Mas tinha tomado Raquel os ídolos, e os tinha posto na albarda de um camelo, e assentara-se sobre eles; e apalpou Labão toda a tenda, e não os achou.
Gênesis 31:35	E ela disse a seu pai: Não se acenda a ira nos olhos de meu senhor, que não posso levantar-me diante da tua face, porquanto tenho o costume das mulheres. E ele procurou, mas não achou os ídolos.
Gênesis 31:36	Então irou-se Jacó, e contendeu com Labão; e respondeu Jacó, e disse a Labão: Qual é a minha transgressão? Qual é o meu pecado, que tão furiosamente me tens perseguido?
Gênesis 31:37	Havendo apalpado todos os meus móveis, que achaste de todos os móveis da tua casa? Põe-no aqui diante dos meus irmãos, e teus irmãos; e que julguem entre nós ambos.
Gênesis 31:38	Estes vinte anos eu estive contigo, as tuas ovelhas e as tuas cabras nunca abortaram, e não comi os carneiros do teu rebanho.
Gênesis 31:39	Não te trouxe eu o despedaçado; eu o pagava; o furtado de dia e o furtado de noite da minha mão o requerias.
Gênesis 31:40	Eu era de dia consumido pelo calor, e de noite pela geada; e o meu sono foi-se dos meus olhos.
Gênesis 31:41	Eis que estive vinte anos na tua casa; quatorze anos te servi por tuas duas filhas, e seis anos por teu rebanho; mas o meu salário mudaste dez vezes.
Gênesis 31:42	Se o Deus de meu pai, o Deus de Abraão, e o temor de Isaque não fora comigo, por certo me despedirias agora com mãos vazias. Deus atentou para a minha aflição, e para o trabalho das minhas mãos, e repreendeu-te ontem à noite.
Gênesis 31:43	Então respondeu Labão, e disse a Jacó: Estas filhas são minhas filhas, e estes filhos são meus filhos, e este rebanho é o meu rebanho, e tudo o que vês é meu; e que farei hoje a estas minhas filhas, ou a seus filhos, que elas deram à luz?
Gênesis 31:44	Agora, pois, vem e façamos uma aliança eu e tu, que seja por testemunho entre mim e ti.
Gênesis 31:45	Então tomou Jacó uma pedra, e erigiu-a por coluna.
Gênesis 31:46	E disse Jacó a seus irmãos: Ajuntai pedras. E tomaram pedras, e fizeram um montão, e comeram ali sobre aquele montão.
Gênesis 31:47	E chamou-o Labão Jegar-Saaduta; porém, Jacó chamou-o Galeede.
Gênesis 31:48	Então disse Labão: Este montão seja hoje por testemunha entre mim e entre ti; por isso se chamou o seu nome Galeede,
Gênesis 31:49	E Mispá, porquanto disse: Atente o Senhor entre mim e ti, quando nós estivermos apartados um do outro.
Gênesis 31:50	Se afligires as minhas filhas, e se tomares mulheres além das minhas filhas, ninguém está conosco; atenta que Deus é testemunha entre mim e ti.
Gênesis 31:51	Disse mais Labão a Jacó: Eis aqui este montão, e eis aqui esta coluna que levantei entre mim e ti.
Gênesis 31:52	Este montão seja testemunha, e esta coluna seja testemunha, que eu não passarei deste montão para o teu lado, e que tu não passarás deste montão e desta coluna para o meu lado, para mal.
Gênesis 31:53	O Deus de Abraão, e o Deus de Naor, o Deus de seu pai julgue entre nós. E jurou Jacó pelo temor de seu pai Isaque.
Gênesis 31:54	E sacrificou Jacó um sacrifício na montanha, e convidou seus irmãos para comer pão; e comeram pão, e passaram a noite na montanha.
Gênesis 31:55	E levantou-se Labão pela manhã, de madrugada, e beijou seus filhos, e suas filhas, e abençoou-os, e partiu; e voltou Labão ao seu lugar.
Gênesis 32:1	E foi também Jacó pelo seu caminho, e encontraram-no os anjos de Deus.
Gênesis 32:2	E Jacó disse, quando os viu: Este é o exército de Deus. E chamou o nome daquele lugar Maanaim.
Gênesis 32:3	E enviou Jacó mensageiros diante da sua face a seu irmão Esaú, à terra de Seir, território de Edom.
Gênesis 32:4	E ordenou-lhes, dizendo: Assim direis a meu senhor Esaú: Assim diz teu servo Jacó: Como peregrino morei com Labão, e me detive lá até agora;
Gênesis 32:5	E tenho bois e jumentos, ovelhas, e servos e servas; e mandei dizê-lo a meu senhor, para que ache graça aos teus olhos.
Gênesis 32:6	E os mensageiros retornaram a Jacó, dizendo: Fomos a teu irmão Esaú; e também ele vem encontrar-te, e quatrocentos homens com ele.
